id,state.code,name,full_code,city.code,city.name
247,08,San Francisco del Oro,08059
248,08,Santa Bárbara,08060
249,08,Satevó,08061
252,08,El Tule,08064
253,08,Urique,08065
254,08,Uruachi,08066
270,10,Canatlán,10001
271,10,Canelas,10002
272,10,Coneto de Comonfort,10003
273,10,Cuencamé,10004
278,10,Guanaceví,10009
279,10,Indé,10011
281,10,Mapimí,10013
283,10,Nazas,10015
285,10,El Oro,10018
286,10,Otáez,10019
287,10,Pánuco de Coronado,10020
288,10,Peñón Blanco,10021
289,10,Poanas,10022
291,10,Rodeo,10024
38,05,Castaños,05006,6,Monclova-Frontera
198,08,Ahumada,08001
312,11,Celaya,11007,57,Celaya
320,11,Guanajuato,11015
325,11,León,11020,14,León
296,10,San Luis del Cordero,10029
297,10,San Pedro del Gallo,10030
327,11,Pénjamo,11023,27,La Piedad-Pénjamo
300,10,Súchil,10033
301,10,Tamazula,10034
302,10,Tepehuanes,10035
303,10,Tlahualilo,10036
330,11,Salamanca,11027
334,11,San Francisco del Rincón,11031,15,San Francisco del Rincón
304,10,Topia,10037
336,11,San Luis de la Paz,11033
306,10,Nuevo Ideal,10039
340,11,Silao,11037,14,León
309,11,Apaseo el Alto,11004
310,11,Apaseo el Grande,11005
311,11,Atarjea,11006
376,12,Chilapa de Álvarez,12028
383,12,Iguala de la Independencia,12035
313,11,Manuel Doblado,11008
314,11,Comonfort,11009,57,Celaya
316,11,Cortazar,11011
317,11,Cuerámaro,11012
318,11,Doctor Mora,11013
323,11,Jaral del Progreso,11018
324,11,Jerécuaro,11019
326,11,Moroleón,11021,16,Moroleón-Uriangato
329,11,Romita,11026
335,11,San José Iturbide,11032
338,11,Santa Cruz de Juventino Rosas,11035
339,11,Santiago Maravatío,11036
342,11,Tarimoro,11039
343,11,Tierra Blanca,11040
346,11,Victoria,11043
347,11,Villagrán,11044,57,Celaya
348,11,Xichú,11045
351,12,Ahuacuotzingo,12002
352,12,Ajuchitlán del Progreso,12003
353,12,Alcozauca de Guerrero,12004
354,12,Alpoyeca,12005
355,12,Apaxtla,12006
357,12,Atenango del Río,12008
359,12,Atlixtac,12010
360,12,Atoyac de Álvarez,12011
362,12,Azoyú,12013
363,12,Buenavista de Cuéllar,12015
364,12,Coahuayutla de José María Izazaga,12016
365,12,Cocula,12017
366,12,Copala,12018
367,12,Copalillo,12019
368,12,Copanatoyac,12020
369,12,Coyuca de Benítez,12021,17,Acapulco
371,12,Cuajinicuilapa,12023
372,12,Cualác,12024
373,12,Cuautepec,12025
378,12,Florencio Villarreal,12030
379,12,General Canuto A. Neri,12031
380,12,General Heliodoro Castillo,12032
382,12,Huitzuco de los Figueroa,12034
384,12,Igualapa,12036
385,12,Ixcateopan de Cuauhtémoc,12037
73,06,Comala,06003,8,Colima-Villa de Álvarez
295,10,San Juan del Río,10028
2116,30,Tatatila,30156
403,12,Taxco de Alarcón,12055
80,06,Villa de Álvarez,06010,8,Colima-Villa de Álvarez
476,13,Pachuca de Soto,13048,18,Pachuca
390,12,Mártir de Cuilapan,12042
391,12,Metlatónoc,12043
392,12,Mochitlán,12044
394,12,Ometepec,12046
395,12,Pedro Ascencio Alquisiras,12047
396,12,Petatlán,12048
397,12,Pilcaya,12049
399,12,Quechultenango,12051
400,12,San Luis Acatlán,12052
402,12,San Miguel Totolapan,12054
404,12,Tecoanapa,12056
406,12,Teloloapan,12058
407,12,Tepecoacuilco de Trujano,12059
408,12,Tetipac,12060
409,12,Tixtla de Guerrero,12061
411,12,Tlacoapa,12063
412,12,Tlalchapa,12064
414,12,Tlapa de Comonfort,12066
415,12,Tlapehuala,12067
416,12,La Unión de Isidoro Montes de Oca,12068
417,12,Xalpatláhuac,12069
418,12,Xochihuehuetlán,12070
419,12,Xochistlahuaca,12071
421,12,Zirándaro,12073
422,12,Zitlala,12074
424,12,Acatepec,12076
425,12,Marquelia,12077
426,12,Cochoapa el Grande,12078
427,12,José Joaquín de Herrera,12079
428,12,Juchitán,12080
429,12,Iliatenco,12081
432,13,Actopan,13003
433,13,Agua Blanca de Iturbide,13004
434,13,Ajacuba,13005
435,13,Alfajayucan,13006
436,13,Almoloya,13007
437,13,Apan,13008
440,13,Atlapexco,13011
443,13,Calnali,13014
444,13,Cardonal,13015
446,13,Chapantongo,13017
447,13,Chapulhuacán,13018
448,13,Chilcuautla,13019
449,13,Eloxochitlán,13020
450,13,Emiliano Zapata,13021
451,13,Epazoyucan,13022,18,Pachuca
452,13,Huasca de Ocampo,13024
453,13,Huautla,13025
455,13,Huehuetla,13027
457,13,Huichapan,13029
458,13,Ixmiquilpan,13030
459,13,Jacala de Ledezma,13031
460,13,Jaltocán,13032
462,13,Lolotla,13034
463,13,Metepec,13035
464,13,San Agustín Metzquititlán,13036
465,13,Metztitlán,13037
467,13,Mineral del Monte,13039,18,Pachuca
468,13,La Misión,13040
470,13,Molango de Escamilla,13042
471,13,Nicolás Flores,13043
473,13,Omitlán de Juárez,13045
475,13,Pacula,13047
478,13,Progreso de Obregón,13050
388,12,Leonardo Bravo,12040
2128,30,Texhuacán,30171
505,13,Tulancingo de Bravo,13077,19,Tulancingo
549,14,Guadalajara,14039,21,Guadalajara
483,13,Santiago de Anaya,13055
485,13,Singuilucan,13057
486,13,Tasquillo,13058
487,13,Tecozautla,13059
489,13,Tepeapulco,13061
491,13,Tepeji del Río de Ocampo,13063
492,13,Tepetitlán,13064
493,13,Tetepango,13065
494,13,Villa de Tezontepec,13066
496,13,Tianguistengo,13068
499,13,Tlahuiltepa,13071
500,13,Tlanalapa,13072
501,13,Tlanchinol,13073
502,13,Tlaxcoapan,13074,20,Tula
503,13,Tolcayuca,13075
506,13,Xochiatipan,13078
507,13,Xochicoatlán,13079
508,13,Yahualica,13080
510,13,Zapotlán de Juárez,13082,18,Pachuca
511,13,Zempoala,13083,18,Pachuca
513,14,Acatic,14001
514,14,Acatlán de Juárez,14002
515,14,Ahualulco de Mercado,14003
516,14,Amacueca,14004
517,14,Amatitán,14005
518,14,Ameca,14006
520,14,Arandas,14008
521,14,Atemajac de Brizuela,14010
522,14,Atengo,14011
523,14,Atenguillo,14012
525,14,Atoyac,14014
526,14,Autlán de Navarro,14015
527,14,Ayotlán,14016
529,14,La Barca,14018
530,14,Bolaños,14019
531,14,Cabo Corrientes,14020
532,14,Casimiro Castillo,14021
533,14,Cihuatlán,14022
535,14,Colotlán,14025
538,14,Cuautla,14028
539,14,Cuquío,14029
540,14,Chapala,14030
541,14,Chimaltitán,14031
542,14,Chiquilistlán,14032
544,14,Ejutla,14034
545,14,Encarnación de Díaz,14035
546,14,Etzatlán,14036
547,14,El Grullo,14037
548,14,Guachinango,14038
552,14,Huejuquilla el Alto,14042
553,14,La Huerta,14043
554,14,Ixtlahuacán de los Membrillos,14044,21,Guadalajara
555,14,Ixtlahuacán del Río,14045
556,14,Jalostotitlán,14046
557,14,Jamay,14047
559,14,Jocotepec,14050
561,14,Juchitlán,14052
563,14,El Limón,14054
564,14,Magdalena,14055
566,14,La Manzanilla de la Paz,14057
567,14,Mascota,14058
569,14,Mexticacán,14060
570,14,Mezquitic,14061
571,14,Mixtlán,14062
573,14,Ojuelos de Jalisco,14064
100,07,La Concordia,07020
482,13,San Salvador,13054
2135,30,Tlacotepec de Mejía,30179
578,14,Quitupan,14069
600,14,Tepatitlán de Morelos,14093
579,14,El Salto,14070,21,Guadalajara
604,14,Tlajomulco de Zúñiga,14097,21,Guadalajara
626,14,Zapopan,14120,21,Guadalajara
633,15,Acolman,15002,13,Valle de México
580,14,San Cristóbal de la Barranca,14071
644,15,Atizapán de Zaragoza,15013,13,Valle de México
645,15,Atlacomulco,15014
660,15,Chicoloapan,15029,13,Valle de México
583,14,San Julián,14074
662,15,Chimalhuacán,15031,13,Valle de México
584,14,San Martín de Bolaños,14076
586,14,San Miguel el Alto,14078
587,14,San Sebastián del Oeste,14080
664,15,Ecatepec de Morelos,15033,13,Valle de México
588,14,Santa María de los Ángeles,14081
589,14,Sayula,14082
590,14,Tala,14083
