Clave Municipio,OC Identificada,Colonias
10035,Los Ruachos,""
10036,Confederación Autónoma de Trabajadores y Empleados de México (CATEM),""
10036,Cártel de Sinaloa,""
10037,Cártel Jalisco Nueva Generación,""
10037,Cártel de Sinaloa,""
10037,Cártel de Sinaloa (Los Zambada),La Cupía
10038,Cártel de Sinaloa,""
10039,Cártel de Sinaloa,""
10039,Gente Nueva,""
1004,Cártel Jalisco Nueva Generación,""
1004,Cártel de Sinaloa,""
1004,Cártel de Sinaloa (Los Zambada),El Salero
1004,Cárteles Unidos,""
1004,El 30,""
1004,Fuerzas Especiales del Charro,""
1004,La Nueva Familia Michoacana,""
1004,La Oficina,""
1004,Los Mazatlecos,""
1004,Los Talibanes,""
1004,Los Zetas Vieja Escuela,""
1005,Cártel Jalisco Nueva Generación,Cieneguitas; Paseos de Aguascalientes
1005,Cártel de Sinaloa,""
1005,La Flecha,Margaritas
1005,La Nueva Familia Michoacana,""
1005,La Oficina,""
1005,Los Mazatlecos,""
1005,Los Talibanes,""
1005,Los Zetas Vieja Escuela,""
1006,Cártel Jalisco Nueva Generación,""
1006,Cártel de Sinaloa,""
1006,La Nueva Familia Michoacana,""
1006,La Oficina,""
1006,Los Mazatlecos,""
1006,Los Talibanes,""
1006,Los Zetas Vieja Escuela,""
1007,Cártel Jalisco Nueva Generación,Villa de Nuestra Señora de La Asunción Sector Alameda
1007,Cártel de Sinaloa,""
1007,Cárteles Unidos,""
1007,El 30,""
1007,Fuerzas Especiales del Charro,""
1007,La Nueva Familia Michoacana,""
1007,La Oficina,""
1007,Los Mazatlecos,""
1007,Los Talibanes,""
1007,Los Zetas Vieja Escuela,""
1009,Cártel Jalisco Nueva Generación,San Antonio
1009,Cártel de Sinaloa,""
1009,La Nueva Familia Michoacana,""
1009,La Oficina,""
1009,Los Mazatlecos,""
1009,Los Talibanes,""
1009,Los Zetas Vieja Escuela,""
1010,Cártel Jalisco Nueva Generación,El Retoño
1010,Cártel de Sinaloa,""
1010,Gpo. Flechas Operativa M.Z.,""
1010,La Nueva Familia Michoacana,""
1010,La Oficina,""
1010,Los Mazatlecos,""
1010,Los Talibanes,""
1010,Los Zetas Vieja Escuela,""
1011,Cártel Jalisco Nueva Generación,Paseos de la Providencia; Ribera del Sol; Macario J Gómez
1011,Cártel de Sinaloa,""
1011,La Nueva Familia Michoacana,""
1011,La Oficina,""
1011,Los Mazatlecos,""
1011,Los Talibanes,""
1011,Los Zetas Vieja Escuela,""
11000,Banda de la Riviera Maya,""
11000,Banda del Burras Prietas,""
11000,Banda del Costeño,""
11000,Cártel Gente Nueva Salazar,""
11000,Cártel Jalisco Nueva Generación,""
11000,Cártel La Nueva Familia,""
11000,Cártel Nueva Plaza,""
11000,Cártel de Caborca,""
11000,Cártel de Los Arellano Félix,""
11000,Cártel de Santa Rosa de Lima,""
11000,Cártel de Sinaloa,""
11000,Cártel de Sinaloa (Los Zambada),""
11000,Cártel del Golfo,""
11000,Cártel del Noreste,""
11000,Cárteles Unidos,""
11000,El 30,""
11000,El Tren de Aragua,""
11000,Grupo Calavera,""
11000,Grupo Élite,""
11000,Los Cuinis,""
11000,Los Deltas,""
11000,Los RR,""
11000,Los Salazar,""
11000,Los Viagra,""
11000,Sangre Nueva Zeta,""
11001,Cártel Jalisco Nueva Generación,""
11001,Cártel de Sinaloa,""
11002,Cártel Jalisco Nueva Generación,Andocutín
11002,Cártel de Santa Rosa de Lima,Acámbaro Centro
11002,Los Escorpiones,""
11003,Cártel Jalisco Nueva Generación,Santa Cruz de La Paz
11003,Cártel de Santa Rosa de Lima,""
11003,Grupo Élite,Los Rodriguez
11003,Los Escorpiones,""
11004,Cártel Jalisco Nueva Generación,San Juan del Llanito; San Antonio Calichar
11004,Cártel de Santa Rosa de Lima,""
11004,Cártel de Sinaloa,""
11004,Grupo Élite,""
11004,Los Escorpiones,""
11004,Paramilitares Colombianos,""
11005,Cártel Jalisco Nueva Generación,San José Agua Azul; La Purísima
11005,Cártel de Santa Rosa de Lima,El Cerrito; San José Agua Azul; La Purísima
11005,Cártel de Sinaloa,""
11005,Grupo Élite,""
11005,Los Escorpiones,""
11005,Paramilitares Colombianos,""
11007,Cártel Jalisco Nueva Generación,Ejido de De Silva; San Francisco; Santa Rita; Villa de Los Arcos
11007,Cártel Nueva Plaza,""
11007,Cártel de Santa Rosa de Lima,3 Guerras; Álamos; El Campanario; El mayorazgo; El Sauz (El Sauz de Villaseñor); Galaxias del; Juan Martín; La Cruz; La Luz; Las Americas; Los Pinos; Presa Blanca; Roque; San José el Nuevo; San Juan de La Vega; Tres guerras; Villa de Los Arcos; 2 de Abril; López Portillo; Los Mezquites; Plancarte; Rincón de Tamayo Centro; San Isidro de Trojes; San Miguel Octopan; Segunda Fracción de Crespo (Alto del Parral); Villas del Romeral
11007,Cártel de Sinaloa,""
11007,Grupo Élite,Conjunto Habitacional Girasoles; Ejidal; La Cruz; Rancho Seco; Rincón de Tamayo Centro; Villas del Romeral; Rosalinda
11007,La Unión León,""
11007,Los Escorpiones,""
11007,Los Marros,Conjunto Habitacional Girasoles; La Cruz; Rancho Seco; Rincón de Tamayo Centro; Santa Rita; Rosalinda
11007,Los Metros,""
11007,Paramilitares Colombianos,""
11008,Cártel Jalisco Nueva Generación,""
11009,Cártel Jalisco Nueva Generación,Delgado de Abajo
11009,Cártel de Santa Rosa de Lima,Neutla
11009,Los Escorpiones,""
11009,Paramilitares Colombianos,""
11011,Cártel Jalisco Nueva Generación,Jaral Díaz
11011,Cártel de Santa Rosa de Lima,Del Valle; Jaral Díaz
11011,Grupo Élite,Valencia de Fuentes
11011,Paramilitares Colombianos,""
11014,Cártel Jalisco Nueva Generación,""
11014,Cártel de Santa Rosa de Lima,""
11015,Cártel Jalisco Nueva Generación,Santa Teresa; San Antonio de Ovejera
11015,Cártel de Sinaloa,""
11015,Grupo Élite,""
11017,Cártel Jalisco Nueva Generación,Jardines de Arandas; Ernesto Che Guevara
11017,Cártel Nueva Plaza,""
11017,Cártel de Santa Rosa de Lima,Ernesto Che Guevara; Jardines de Arandas; Las Palmas; Aldama
11017,Cártel de Sinaloa,""
11017,Grupo Élite,""
11017,La Unión León,""
11017,Los Escorpiones,""
11018,Cártel Jalisco Nueva Generación,""
11018,Cártel de Santa Rosa de Lima,""
11018,Paramilitares Colombianos,""
11019,Cártel Jalisco Nueva Generación,""
