Clave Municipio,OC Identificada,Colonias
15081,Unión de Sindicatos y Organizaciones Nacionales,""
15082,Cárteles Unidos,""
15082,La Nueva Empresa,Bejucos de Sánchez Colin
15082,La Nueva Familia Michoacana,Lodo Prieto
15082,Los Hermanos Sánchez,""
15082,Los Viagra,""
15083,Banda de Temamatla,""
15085,La Nueva Familia Michoacana,""
15086,La Nueva Empresa,""
15086,La Nueva Familia Michoacana,""
15087,La Nueva Empresa,""
15087,La Nueva Familia Michoacana,""
15088,La Nueva Empresa,San Pedro Ejido Tecomatlán; Santa Ana Ixtlahuatzingo (Santa Ana)
15088,La Nueva Familia Michoacana,San Mateo; La Trinidad
15090,Cártel Jalisco Nueva Generación,""
15090,Guerreros Unidos,""
15090,La Nueva Familia Michoacana,San Pedro Zictepec
15090,Los Deltas,""
15091,Banda de Santa María Caliacac,Santa María Caliacac
15091,Banda de Tlatenco,Tlatenco
15091,Cártel Jalisco Nueva Generación,""
15091,Cártel del Nuevo Imperio,""
15091,El Buchanas,""
15091,La Nueva Alianza,""
15091,Los Abelardos,""
15091,Los Juniors,""
15093,Cártel Jalisco Nueva Generación,""
15093,Los Talibanes,""
15093,Los Águila,""
15095,Cártel Jalisco Nueva Generación,""
15095,Cártel de Los Beltrán Leyva,""
15095,El Buchanas,""
15095,Los Colombianos,""
15095,M4,""
15096,Banda de El Ocra,""
15096,Organización Sindical Unión 300,""
15096,Sindicato Nacional 25 de Marzo,""
15097,La Nueva Empresa,Ojo de Agua
15097,La Nueva Familia Michoacana,""
15099,Banda de La Magdalena Panoaya,Xala
15099,Banda de La Placa,San Diego
15099,Cártel Jalisco Nueva Generación,""
15099,La Nueva Empresa,""
15099,La Nueva Familia Michoacana,""
15099,Los Panchos,""
15099,Los Souverbielle,Salitrería
15099,Los Talibanes,San Jerónimo Amanalco; San Joaquín Coapango
15099,Los Águila,San Jerónimo Amanalco
15099,Mara Salvatrucha,Embotelladores
15099,Pueblos Unidos,""
15100,Los Talibanes,Tequisistlán
15100,Los Águila,Tequisistlán
15101,Cártel Jalisco Nueva Generación,Guadalupe Yancuictlalpan (Gualupita)
15101,Guerreros Unidos,""
15101,La Nueva Empresa,Santiago Tianguistenco de Galeana
15101,La Unión Tepito,""
15101,Los Marcelinos,Tlacomulco
15103,El Diablo,""
15103,La Nueva Empresa,La Cañada
15103,Los Tlalmanalcos,""
15103,Sindicato 22 de Octubre,""
15104,Banda Vallejo,""
15104,Banda del Pejotas,""
15104,Cártel Jalisco Nueva Generación,""
15104,Cártel de Caborca,""
15104,Cártel de Sinaloa,""
15104,Cártel del Nuevo Imperio,""
15104,El Buchanas,""
15104,La Hermandad,""
15104,La Nueva Alianza,""
15104,La Nueva Empresa,""
15104,La Unión Tepito,San Pedro Barrientos
15104,Los Ardillas,Valle Dorado
15104,Los Cholos,""
15104,Los Discos,""
15104,Los Franquis,""
15104,Los Guapos,""
15104,Los Huevos,""
15104,Los Ledezmas,""
15104,Los Metros,""
15104,Los Oaxacos,""
15104,Los Peluches,""
15104,Los Perris,""
15104,Los Quemados,Los Reyes Ixtacala 1ra. Sección
15104,Los Rojos,""
15104,Los Tepiteños,""
15104,Los Tiernos,""
15104,Los Viagra,""
15104,M4,""
15104,Serrano,Reforma Urbana
15104,Unión de Sindicatos y Organizaciones Nacionales,""
15105,Cártel Jalisco Nueva Generación,San Pedro Limón
15105,Guerreros Unidos,""
15105,La Nueva Empresa,""
15105,La Nueva Familia Michoacana,""
15106,Banda de Los Sapos,""
15106,Banda de Valle Verde,Valle Verde
15106,Banda del Emilio,""
15106,Cártel Jalisco Nueva Generación,""
15106,Cártel de Sinaloa,""
15106,Guerreros Unidos,""
15106,La Loca Tristeza Mexicana,""
15106,La Línea,""
15106,La Nueva Empresa,San Lorenzo Tepaltitlán Centro; San Felipe Tlalmimilopan
15106,La Nueva Familia Michoacana,El Seminario 1a Sección; San Mateo Otzacatipan; Centro
15106,Los Alfas (CJNG),""
15106,Los Betos,Los Ángeles
15106,Los Bigus,""
15106,Los Chilangos (EDOMEX),San Pedro Totoltepec; San José Guadalupe Otzacatipan
15106,Los Deltas,""
15106,Los Jasso,""
15106,Los Marcelinos,Cacalomacan
15106,Los Paisas,""
15106,Los Peñafieles,""
15106,Los Pizzeros,""
15106,Sindicato Bicentenario,""
15107,La Nueva Empresa,""
15107,La Nueva Familia Michoacana,El Zapote
15108,Cártel del Nuevo Imperio,""
15108,El Buchanas,""
15108,La Empresa (Edomex),""
15108,Los Malportados,Santiago Teyahualco; INFONAVIT C.T.M. San Pablo Tultepec
15108,Los Rickys,San Marcos
15109,Cártel Jalisco Nueva Generación,""
15109,Cártel de Caborca,""
15109,Cártel de Sinaloa,""
15109,Cártel del Nuevo Imperio,""
15109,El Buchanas,""
15109,La Chokiza,San Mateo Cuautepec
15109,La Empresa (Edomex),""
15109,Los Arines,""
15109,Los Flacos,""
15109,Los Gastones,Fuentes del Valle
15109,Los Peluches,""
15110,Cártel Jalisco Nueva Generación,""
15110,Cártel de Sinaloa,""
15110,Guerreros Unidos,""
15110,La Nueva Empresa,""
15110,La Nueva Familia Michoacana,Valle de Bravo
15110,Los Rodolfos,""
15111,La Nueva Familia Michoacana,San Pablo Malacatepec
15112,La Nueva Empresa,San Lucas
15112,La Nueva Familia Michoacana,""
15112,Los Abelardos,""
15113,La Nueva Empresa,Villa Guerrero; Coxcacuaco
15113,La Nueva Familia Michoacana,""
15114,La Nueva Empresa,""
15114,La Nueva Familia Michoacana,""
15115,La Nueva Empresa,""
15115,La Nueva Familia Michoacana,""
15116,Guerreros Unidos,""
15116,La Nueva Empresa,""
15116,La Nueva Familia Michoacana,""
15117,La Nueva Empresa,Gama de la Paz
15117,La Nueva Familia Michoacana,""
15118,Cártel Jalisco Nueva Generación,""
15118,Cártel de Sinaloa,""
15118,La Loca Tristeza Mexicana,""
15118,La Nueva Empresa,""
15118,La Nueva Familia Michoacana,""
15118,Los Alfas (CJNG),San Luis Mextepec
15118,Los Peñafieles,""
15118,Sindicato Bicentenario,""
15119,Cártel Independiente (EDOMEX),""
15119,Cártel Jalisco Nueva Generación,""
15120,Banda de El Ocra,Santiago 2a. Sección
15120,Banda de Los Sapos,""
15120,Cártel Jalisco Nueva Generación,Santo Tomás; Arbolada los Sauces
15120,Cártel de Sinaloa (Los Guzmán),""
15120,El Buchanas,""
15120,La Nueva Familia Michoacana,""
15120,Los Conejitos,""
15120,Organización Sindical Unión 300,""
15120,Sindicato Nacional 25 de Marzo,""
15120,Unión de Sindicatos y Organizaciones Nacionales,""
15121,Banda Vallejo,""
15121,Cártel Jalisco Nueva Generación,""
15121,Cártel de Caborca,""
15121,Cártel de Sinaloa,""
15121,Cártel del Nuevo Imperio,""
15121,El Buchanas,""
15121,La Nueva Alianza,""
15121,La Nueva Familia Michoacana,""
15121,Los Flacos,""
15121,Los Gastones,""
15121,Los Metros,""
15121,Los Rojos,""
15121,Los Viagra,""
15121,M4,""
15121,Unión de Sindicatos y Organizaciones Nacionales,""
15122,Banda del Güero Fresa,San Miguel Xico
15122,Cártel Jalisco Nueva Generación,Alfredo del Mazo
15122,Cártel de Sinaloa,""
15122,Cártel de Tláhuac,""
15122,Fuerza Anti-Unión Tepito,""
15122,La Empresa (Edomex),Guadalupana
15122,La Madame,""
15122,La Nueva Empresa,""
15122,La Nueva Familia Michoacana,""
15122,La Unión Tepito,""
15122,Los Corazones,""
15122,Los Gastones,""
15122,Los Molina,""
15122,Los Rodolfos,""
15122,Los Vázquez,""
15122,Sindicato 22 de Octubre,""
15123,La Nueva Empresa,""
15123,La Nueva Familia Michoacana,""
15124,Banda de Los Guerreros,San José del Rincón
15124,La Nueva Empresa,""
15124,La Nueva Familia Michoacana,""
16000,Banda de la Riviera Maya,""
16000,Cártel Jalisco Nueva Generación,""
16000,Cártel Michoacán Nueva Generación,""
16000,Cártel de Los Arellano Félix,""
16000,Cártel de Santa Rosa de Lima,""
16000,Cártel de Sinaloa,""
16000,Cártel de Sinaloa (Los Zambada),""
16000,Cárteles Unidos,""
16000,Gente Nueva,""
16000,Grupo Calavera,""
16000,Grupo X,""
16000,Guardia Michoacana,""
16000,La Barredora,""
16000,La Familia Michoacana,""
16000,La Nueva Familia Michoacana,""
16000,Los Correa,""
16000,Los Cuinis,""
16000,Los Deltas,""
16000,Los Metros,""
16000,Los RR,""
16000,Los Rojos,""
16000,Los Viagra,""
16002,Comando XXIII,""
16002,Cártel Jalisco Nueva Generación,El Aguaje; El Limoncito; General Lázaro Cárdenas (El Limón); La Bocana de la Barranca del Aguacate; La Granada; Las Juntas; Peña Colorada (la Peña); Rancho Viejo; Voladeros; Dos Aguas
16002,Cártel Michoacán Nueva Generación,""
16002,Cártel de Tepalcatepec,El Aguaje
16002,Cárteles Unidos,Aguililla; Dos Aguas; El Charapo (Palo Alto); El Rodeo; La Granada; El Aguaje
16002,Fuerzas Especiales Mencho,El Aguaje
16002,Guardia Michoacana,El Aguaje
16002,La Nueva Empresa,La Bocana de la Barranca del Aguacate; El Aguaje
16002,La Nueva Familia Michoacana,""
16002,Los Blancos de Troya,El Aguaje
16002,Los Caballeros Templarios,""
16002,Los Deltas,""
16002,Los Valencia,""
16002,Los Viagra,El Aguaje
16003,Cártel Jalisco Nueva Generación,Las Peñas
16003,Grupo X,""
16005,La Nueva Empresa,""
16006,Autodefensas Guardia por la Paz,Santiago Acahuato
16006,Cártel Jalisco Nueva Generación,Cenobio Moreno (Las Colonias); El Alcalde; El Llano Grande; El Pino (El Guayabo); El Tepetate; Ferrocarril; Guanajuatillo; Holanda; José María Morel; La Salatera; Las Bateas (El Venteadero); Loma de los Hoyos; Presa del Rosario; Santiago Acahuato; Satélite; Apatzingán; José María Morelos
16006,Cártel Michoacán Nueva Generación,El Mirador (Tepetates); Los Hornos; Presa del Rosario; Varillero; Cenobio Moreno (Las Colonias)
16006,Cártel de Tepalcatepec,El Alcalde; El Llano Grande; El Tepetate; Las Bateas (El Venteadero); Santiago Acahuato; Apatzingán
16006,Cártel de Zicuirán,""
16006,Cártel de la Virgen,Santiago Acahuato; Acahuato
16006,Cárteles Unidos,Cenobio Moreno (Las Colonias)
16006,Fuerzas Especiales Mencho,El Pino (El Guayabo)
16006,Grupo Reacción,""
16006,Guardia Michoacana,""
16006,La Nueva Empresa,Chandio (Ejido la Concha)
16006,La Nueva Familia Michoacana,""
16006,Los Blancos de Troya,Loma de los Hoyos; Santiago Acahuato; Apatzingán; Cenobio Moreno (Las Colonias); El Mirador (Tepetates); El Recreo; San Juan de los Plátanos
16006,Los Caballeros Templarios,El Alcalde; El Llano Grande; El Mirador (Tepetates); El Pino (El Guayabo); El Tepetate; Holanda; Las Bateas (El Venteadero); Loma de los Hoyos; Presa del Rosario; Santiago Acahuato; Varillero; Apatzingán
16006,Los Viagra,El Alcalde; El Llano Grande; El Molinito (La Primavera); El Pino (El Guayabo); El Tepetate; Holanda; Las Bateas (El Venteadero); Loma de los Hoyos; Presa del Rosario; San José de Chila; Santiago Acahuato; Cenobio Moreno (Las Colonias)
16006,Por un Michoacán Libre,""
16007,La Nueva Empresa,""
16008,Cártel Jalisco Nueva Generación,Aquila; Coire; El Diezmo; El Ranchito; Estopila; La Cofradía de Ostula; Las Haciendas; Maruata; San Pedro Naranjestil; Santa María de Ostula; Zilapa; Chacalapa de Coire
16008,Cártel de Tepalcatepec,""
16008,Cárteles Unidos,""
16008,La Nueva Familia Michoacana,San Pedro Naranjestil
16008,Los Cinco,Placita de Morelos; Aquila
16008,Los Cinco del Cerro,""
16008,Los Coroneles,""
16008,Los Pulido,""
16008,Los Tena,""
16008,Policía Comunal de Aquila,""
16009,Pueblos Unidos Contra la Delincuencia,Ario de Rosales
16010,Autodefensas Guardia por la Paz,""
16010,Cártel Jalisco Nueva Generación,El Ahijadero (El Ahijadero de las Minas)
16010,Cártel Zicuirán Nueva Generación,""
16010,Cárteles Unidos,""
16010,Los Coroneles,""
16010,Los Pulido,""
16010,Los Tena,""
16011,Cártel Jalisco Nueva Generación,""
16011,Cártel de Tepalcatepec,""
16011,Cárteles Unidos,""
16011,Los Viagra,""
16012,Autodefensas Guardia por la Paz,""
16012,Cártel Jalisco Nueva Generación,El Limón de la Luna; El Terrero; Eréndira; Las Colonias de la Luna; Los Charcos; Razo del Órgano (Veintiuno de Mayo); Catalinas
16012,Cártel Michoacán Nueva Generación,18 de Marzo; El Zopilote; Felipe Ángeles; Felipe Carrillo Puerto (La Ruana); Punta del Agua; Santa Ana Amatlán (Centro); Tomatlán; El Limón de la Luna
16012,Cártel de Los Reyes,El Limón de la Luna
16012,Cártel de Tepalcatepec,El Limón de la Luna; Felipe Carrillo Puerto (La Ruana); Las Colonias de la Luna; Los Charcos; Catalinas
16012,Cártel de Zicuirán,""
16012,Cártel de la Virgen,Las Colonias de la Luna; Catalinas
16012,Cárteles Unidos,Pinzándaro; La Huina (La Huina Uno)
16012,Guardia Michoacana,""
16012,La Nueva Empresa,Felipe Carrillo Puerto (La Ruana); Punta del Agua; El Terrero
16012,La Nueva Familia Michoacana,""
16012,Las Vigilantes,El Terrero
16012,Los Blancos de Troya,El Chamizal (Flor de Mayo); Eréndira; Las Colonias de la Luna; Pinzándaro; Santa Ana Amatlán (Centro); Catalinas
16012,Los Caballeros Templarios,Las Colonias de la Luna; Los Charcos; Catalinas
16012,Los Cinco del Pueblo,""
16012,Los Viagra,Buenavista Tomatlán; El Limón de la Luna; El Terrero; El Veinticinco; Eréndira; Felipe Carrillo Puerto (La Ruana); La Huina (La Huina Uno); Las Colonias de la Luna; Los Charcos; Pinzándaro; Santa Ana Amatlán (Centro); Catalinas
16012,Migueladas,""
16013,Cártel Jalisco Nueva Generación,""
16013,Cártel de Tepalcatepec,""
16013,Guardia Michoacana,""
16013,La Nueva Empresa,""
16013,Los Blancos de Troya,""
16013,Los Viagra,""
16014,Comandante Teto,Salsipuedes
16014,Cártel Jalisco Nueva Generación,Salsipuedes; Santa María Miramar; El Ahijadero
16014,Los Caballeros Templarios,""
16014,Los Cinco,""
16014,Los Cinco del Cerro,""
16014,Los Coroneles,""
16014,Los Pulido,""
16014,Los Tena,""
16015,Cártel Jalisco Nueva Generación,El Puerto de las Cruces
16015,Cártel de Tepalcatepec,""
16015,Cárteles Unidos,""
16015,Los Coroneles,""
16015,Los Pulido,""
16015,Los Tena,""
16015,Los Viagra,""
16017,Autodefensas Guardia por la Paz,""
16017,Cártel Jalisco Nueva Generación,""
16017,La Nueva Empresa,""
16018,Cártel Jalisco Nueva Generación,""
16018,Cártel de Santa Rosa de Lima,""
16019,Cártel Jalisco Nueva Generación,Los Gallineros; Calabazas; Plan del Cerro (La Playa)
16019,Cártel de Los Reyes,""
16019,Cártel de Tepalcatepec,""
16019,Cárteles Unidos,Los Gallineros
16019,Ejército Purépecha de Libertad Michoacana,""
16019,Grupo Calavera,""
16019,La Nueva Empresa,""
16019,Los Deltas,""
16019,Los Viagra,Plan del Cerro (La Playa)
16019,Pájaro Sierra,""
16020,Cártel Jalisco Nueva Generación,""
16020,Cártel de Santa Rosa de Lima,""
16020,Cárteles Unidos,""
16020,Los Chiquitos,El Embarcadero
16020,Los Viagra,""
16021,Cártel Jalisco Nueva Generación,Ocumicho
16021,Guardia Michoacana,""
16021,Los Viagra,""
16022,Cártel Jalisco Nueva Generación,""
16022,Grupo X,""
16023,Cártel Jalisco Nueva Generación,""
16024,Autodefensas Guardia por la Paz,""
16024,Cártel Jalisco Nueva Generación,""
16024,Guardia Michoacana,""
16024,Los Viagra,""
16025,Cártel Jalisco Nueva Generación,""
16025,Cártel de Tepalcatepec,""
16025,Guardia Michoacana,""
16025,Los Viagra,""
16026,Cártel Jalisco Nueva Generación,El Ranchual; Huitzontla; Laguna de Calvillo; Tehuantepec; Villa Victoria; Coahuayula (La Silleta)
16026,Cárteles Unidos,""
16026,El Yogurt,Huitzontla
16026,Los Cinco,""
16026,Los Cinco del Cerro,""
16026,Los Coroneles,""
16026,Los Pulido,""
16026,Los Tena,""
16028,Cártel Jalisco Nueva Generación,Patzímaro de Aviña (Patzímaro del Rincón)
16029,Cártel Jalisco Nueva Generación,""
16029,Cártel de Tepalcatepec,""
16029,Cárteles Unidos,""
16029,Guardia Michoacana,""
16029,La Nueva Empresa,""
16029,Los Blancos de Troya,""
16029,Los Viagra,""
16030,Cártel Jalisco Nueva Generación,""
16030,Cártel de Tepalcatepec,""
16030,Cárteles Unidos,""
16030,Los Caballeros Templarios,""
16030,Los Viagra,""
16031,Cártel de Santa Rosa de Lima,""
16031,La Nueva Empresa,""
16032,Cártel Jalisco Nueva Generación,""
16032,Cártel Michoacán Nueva Generación,""
16032,Los Viagra,""
16033,Autodefensas Guardia por la Paz,Lombardía
16033,Cártel Jalisco Nueva Generación,Lombardía
16033,Cártel de Tepalcatepec,""
16033,Guardia Michoacana,""
16033,La Nueva Empresa,""
16033,La Nueva Familia Michoacana,""
16033,Los Blancos de Troya,""
16033,Los Viagra,Lombardía
16034,Cártel Jalisco Nueva Generación,Huajúmbaro
16034,La Nueva Empresa,""
16034,Los Correa,El Caracol; La Palma; San Antonio Villalongín; Ciudad Hidalgo Centro
16035,Autodefensas Guardia por la Paz,""
16035,Cártel Jalisco Nueva Generación,Cupuán del Río; Potrerillos de Rentería (Cupuancillo); Los Olivos; Zicuirán
16035,Cártel Zicuirán Nueva Generación,Zicuirán
16035,Cártel de Tepalcatepec,""
16035,Cárteles Unidos,""
16035,Guardia Michoacana,""
16035,La Nueva Empresa,""
16035,La Nueva Familia Michoacana,""
16035,Los Blancos de Troya,""
16035,Los Caballeros Templarios,""
16035,Los Viagra,Cupuán del Río; Potrerillos de Rentería (Cupuancillo); Los Olivos; Zicuirán
16035,Migueladas,""
16036,Autodefensas Guardia por la Paz,Capacho
16036,Cártel Jalisco Nueva Generación,""
16036,Cártel de Santa Rosa de Lima,""
16037,Cártel Jalisco Nueva Generación,""
16037,Cártel de Santa Rosa de Lima,""
16037,Cárteles Unidos,""
16037,Los Caballeros Templarios,""
16038,Cártel Jalisco Nueva Generación,Baztán del Cobre; Pinzándaro
16038,Cártel Zicuirán Nueva Generación,""
16038,Cártel de Tepalcatepec,""
16038,Cártel de la Virgen,Pinzándaro
16038,Grupo Iris,""
16038,Guardia Michoacana,""
16038,La Nueva Empresa,""
16038,La Nueva Familia Michoacana,""
16038,Los Blancos de Troya,Pinzándaro
16038,Los Viagra,Pinzándaro
16038,Señor del Valle,""
16039,Los Viagra,""
16040,Autodefensas Guardia por la Paz,""
16040,Cártel Jalisco Nueva Generación,""
16040,Grupo X,""
16040,Los Correa,""
16041,Autodefensas Guardia por la Paz,""
16041,La Nueva Empresa,""
16042,Cártel Jalisco Nueva Generación,""
16042,Cárteles Unidos,""
16042,Los Caballeros Templarios,""
16042,Los Viagra,""
16043,Autodefensas Guardia por la Paz,""
16043,Cártel Jalisco Nueva Generación,""
16043,Cártel de Tepalcatepec,""
16043,Los Viagra,""
16044,Cárteles Unidos,Las Colonias
16045,Cártel Jalisco Nueva Generación,Jiquilpan de Juárez Centro
16045,Cártel de Tepalcatepec,""
16045,Cárteles Unidos,""
16045,Ejército Purépecha de Libertad Michoacana,Jiquilpan de Juárez Centro
16045,Los Viagra,""
16046,Cártel Jalisco Nueva Generación,Benito Juárez
16046,La Familia Michoacana,Benito Juárez
16046,La Nueva Empresa,""
16046,La Nueva Familia Michoacana,Benito Juárez
16046,Señor del Valle,""
16047,La Nueva Empresa,""
16049,Cártel Jalisco Nueva Generación,San Diego Curucupatzeo
16049,Los Viagra,""
16050,Autodefensas Guardia por la Paz,""
16050,Cártel Jalisco Nueva Generación,Tecario Jesús del Monte; Llano Grande
16050,Grupo X-CJNG,""
16050,La Nueva Empresa,""
16050,La Nueva Familia Michoacana,""
16050,Los Correa,""
16050,Los Viagra,""
16051,Cártel Jalisco Nueva Generación,San José de Gracia
16051,Cárteles Unidos,""
16051,Pájaro Sierra,San José de Gracia
16052,Clan Zheng,""
16052,Cártel Jalisco Nueva Generación,""
16052,Cártel de Sinaloa,""
16052,Cárteles Unidos,Lázaro Cárdenas
16052,La Nueva Familia Michoacana,Lázaro Cárdenas
16052,Los Coroneles,""
16052,Los Justicieros,""
16052,Los Primos,""
16052,Los Pulido,""
16052,Los Tena,""
16052,Los Viagra,Lázaro Cárdenas
16053,Autodefensas Guardia por la Paz,""
16053,Cártel Jalisco Nueva Generación,INFONAVIT Juana Pavón; Misión del Valle II; Puerto de Buenavista
16053,Cártel Michoacán Nueva Generación,Capula
16053,Cártel Zicuirán Nueva Generación,Las Cruces
16053,Cártel de Tepalcatepec,""
16053,Cárteles Unidos,""
16053,Los Blancos de Troya,""
16053,Los Caballeros Templarios,""
16053,Los Caballeros de Élite,""
16053,Los Cuatreros,La Soledad
16053,Los Señores de Morelia,Heriberto Castillo Martínez
16053,Los Vengadores,""
16053,Los Viagra,Cuto de la Esperanza
16053,Pañuelo Negro,""
16054,Cártel Jalisco Nueva Generación,Villa Morelos
16054,Cártel de Santa Rosa de Lima,Villa Morelos
16054,Cárteles Unidos,Villa Morelos
16054,Los Caballeros Templarios,Villa Morelos
16055,Autodefensas Guardia por la Paz,""
16055,Cártel Jalisco Nueva Generación,El Letrero; Nueva Italia de Ruiz
16055,Cártel Michoacán Nueva Generación,""
16055,Cártel Zicuirán Nueva Generación,Nueva Italia de Ruiz
16055,Cártel de Tepalcatepec,""
16055,Cárteles Unidos,""
16055,Guardia Michoacana,""
16055,La Nueva Empresa,""
16055,Los Blancos de Troya,""
16055,Los Caballeros Templarios,Nueva Italia de Ruiz Siete; El Ceñidor
16055,Los Viagra,El Letrero; Nueva Italia de Ruiz
16055,Migueladas,El Ceñidor
16056,Cártel Jalisco Nueva Generación,""
16056,Guardia Michoacana,""
16056,Los Viagra,""
16057,Cártel Jalisco Nueva Generación,""
16057,Cártel de Tepalcatepec,""
16057,Guardia Michoacana,""
16057,La Nueva Empresa,""
16057,Los Blancos de Troya,""
16057,Los Viagra,""
16058,Cártel Jalisco Nueva Generación,Nuevo San Juan Parangaricutiro
16058,Guardia Michoacana,""
16058,Los Viagra,Nuevo San Juan Parangaricutiro
16059,Cártel Jalisco Nueva Generación,""
16059,Cártel de Tepalcatepec,""
16059,Cárteles Unidos,""
16059,Guardia Michoacana,""
16059,La Nueva Empresa,""
16059,Los Blancos de Troya,""
16059,Los Viagra,""
16060,Cártel Jalisco Nueva Generación,La Angostura
16060,Cártel de Santa Rosa de Lima,La Angostura
16060,Los Viagra,""
16061,La Nueva Empresa,""
16061,Los Correa,""
16062,Cártel Jalisco Nueva Generación,""
16064,Cártel Jalisco Nueva Generación,Las Ordeñitas; Parácuaro; Los Bancos
16064,Cártel Michoacán Nueva Generación,""
16064,Cártel de Tepalcatepec,""
16064,Cártel de la Virgen,""
16064,Cárteles Unidos,""
16064,Guardia Michoacana,""
16064,La Nueva Empresa,Agraria
16064,Los Blancos de Troya,""
16064,Los Caballeros Templarios,Parácuaro; Antúnez (Morelos)
16064,Los Viagra,""
16064,Migueladas,""
16065,Cártel Jalisco Nueva Generación,""
16065,Cártel de Tepalcatepec,""
16065,Guardia Michoacana,""
16065,Los Viagra,""
16066,Cártel Jalisco Nueva Generación,Pátzcuaro Centro
16066,Cártel Michoacán Nueva Generación,""
16066,Cártel de Tepalcatepec,""
16066,Cárteles Unidos,""
16066,La Nueva Empresa,""
16066,Los Blancos de Troya,""
16066,Los Caballeros Templarios,""
16066,Los Caballeros de Élite,""
16066,Los Cornudos,""
16066,Los Panchitos (de Michoacán),La Vitela (Los Pozos)
16066,Los Viagra,""
16066,Migueladas,""
16066,Pueblos Unidos Contra la Delincuencia,""
16067,Cártel Jalisco Nueva Generación,""
16067,Cártel de Santa Rosa de Lima,""
16068,Cártel Jalisco Nueva Generación,""
16068,Cártel de Los Reyes,""
16068,Cárteles Unidos,""
16068,La Nueva Empresa,""
16069,Cártel Jalisco Nueva Generación,Las Cañadas; Los Laureles; Campestre
16069,Cártel de Tepalcatepec,""
16069,Los Areneros,""
16069,Los Viagra,""
16071,Cártel Jalisco Nueva Generación,""
16071,Cárteles Unidos,""
16071,Los Lolos,El Saucito
16071,Los Viagra,""
16072,Cártel Jalisco Nueva Generación,""
16072,Grupo X,Queréndaro
16072,Grupo X-CJNG,""
16072,Los Correa,""
16073,Cártel Jalisco Nueva Generación,""
16073,Los Viagra,""
16074,Cártel Jalisco Nueva Generación,""
16074,Cártel de Tepalcatepec,""
16074,Cárteles Unidos,""
16074,Los Viagra,""
16075,Cártel Jalisco Nueva Generación,""
16075,Cártel de Los Reyes,Villa Oriental; Centro
16075,Cártel de Tepalcatepec,Centro
16075,Cártel del Camaleón,""
16075,Cárteles Unidos,""
16075,Los Areneros,""
16076,Cártel Jalisco Nueva Generación,""
16076,Cártel de Tepalcatepec,""
16076,Los Viagra,""
16077,Cártel Jalisco Nueva Generación,""
16077,Cártel Zicuirán Nueva Generación,""
16077,Cártel de Tepalcatepec,""
16077,Grupo Iris,""
16077,Guardia Michoacana,""
16077,La Nueva Empresa,""
16077,Los Blancos de Troya,""
16077,Los Viagra,""
16079,Cártel Jalisco Nueva Generación,Zirahuén
16079,Cártel Michoacán Nueva Generación,Zirahuén
16079,Cártel del Camaleón,""
16079,Cárteles Unidos,""
16079,Los Viagra,""
16079,Pueblos Unidos Contra la Delincuencia,Santa Clara del Cobre; Opopeo
16080,Autodefensas Guardia por la Paz,""
16080,La Nueva Empresa,""
16081,La Nueva Empresa,""
16082,Cártel Jalisco Nueva Generación,San Rafael Tecario (El Poblado); Tacambaro de Codallos Centro
16082,Cártel de Tepalcatepec,""
16082,Cártel de Zicuirán,""
16082,Los Blancos de Troya,""
16082,Los Viagra,""
16083,Cártel Jalisco Nueva Generación,""
16083,Cártel de Tepalcatepec,""
16083,Cártel de Zicuirán,""
16083,Guardia Michoacana,""
16083,Los Blancos de Troya,""
16083,Los Viagra,""
16084,Cártel Jalisco Nueva Generación,Tarecuato; El Progreso
16084,Cártel de Los Reyes,""
16084,Cártel de Tepalcatepec,""
16084,Guardia Michoacana,""
16084,La Nueva Empresa,""
16084,Los Caballeros Templarios,""
16084,Los Viagra,""
16085,Autodefensas Guardia por la Paz,""
16085,Cártel Jalisco Nueva Generación,Loma Linda
16085,Cártel de Tepalcatepec,""
16085,Cártel de la Virgen,""
16085,Los Viagra,""
16086,Cártel Jalisco Nueva Generación,Tinaja de Vargas
16086,Cárteles Unidos,""
16086,Fuerzas Especiales el Tío Lako,Tinaja de Vargas
16086,Los Guerrero (CJNG),Tinaja de Vargas
16086,Los Guerreros,""
16086,Los Viagra,""
16087,Cártel Jalisco Nueva Generación,Tahuejo
16087,Guardia Michoacana,""
16087,Los Viagra,Tahuejo
16088,Cártel Jalisco Nueva Generación,""
16088,Cártel de Santa Rosa de Lima,""
16088,Los Viagra,""
16089,Autodefensas de Tepalcatepec,La Bocanda; La Estanzuela
16089,Cártel Jalisco Nueva Generación,La Bocanda; Las Mesas del Terrenate; Los Cuches; Pancha López; Pinolapa; La Estanzuela
16089,Cártel Michoacán Nueva Generación,""
16089,Cártel de Los Reyes,Catarino Torres
16089,Cártel de Tepalcatepec,Catarino Torres; Pinolapa; Tepalcatepec; La Bocanda
16089,Cárteles Unidos,La Bocanda; Los Cuches; Pinolapa; La Estanzuela
16089,Grupo Élite,""
16089,Guardia Michoacana,Pinolapa
16089,La Nueva Empresa,Pinolapa
16089,Los Blancos de Troya,El Aguaje Viejo; Pinolapa
16089,Los Caballeros Templarios,""
16089,Los Pulido,Pinolapa
16089,Los Viagra,Pinolapa
16090,Cártel Jalisco Nueva Generación,""
16090,Guardia Michoacana,""
16090,Los Viagra,""
16091,Autodefensas Guardia por la Paz,""
16091,Cártel Jalisco Nueva Generación,Tacátzcuaro
