state.code,state.name,member.firstname,member.lastname1,member.lastname2,member.start_date,member.end_date
25,Sinaloa,Héctor,Jiménez,Aldana,2024-06-12,2024-08-12
25,Sinaloa,José Luis,Chiñas,Silva,2024-08-12,2024-11-04
25,Sinaloa,Jorge Enrique,Martínez,Medina,2024-11-04,
26,Sonora,Benedicto,Santamaría,González,2019-10-29,2021-03-11
26,Sonora,Juan,González,Alvarado,2021-03-11,2022-09-05
26,Sonora,Isaac,Guzmán,Rojas,2022-09-05,2024-12-01
26,Sonora,Anastacio,Santos,Álvarez,2024-12-01,
27,Tabasco,Ernesto,García,Sánchez,2019-10-29,2020-12-22
27,Tabasco,José Felipe,Padilla,Castañeda,2020-12-22,2022-09-13
27,Tabasco,Alejandro,Domínguez,Robles,2022-09-13,2023-10-11
27,Tabasco,Miguel Ángel,Aragón,Vázquez,2023-10-11,2024-11-04
27,Tabasco,Ignacio,Murillo,Rodríguez,2024-11-04,2025-04-01
27,Tabasco,Manuel,Bravo,Alonso,2025-04-07,
28,Tamaulipas,Pedro,Ventura,Vargas,2019-10-29,2021-02-24
28,Tamaulipas,Bernardo,Reyes,Herrera,2021-02-24,2022-04-04
28,Tamaulipas,Adalberto Sergio,Rojas,Mira,2022-04-04,2024-10-04
28,Tamaulipas,Fernando,Colchado,Gómez,2024-10-04,
30,Veracruz,Marcos,Burgos,Legorreta,2019-10-29,2020-02-25
30,Veracruz,Sergio Armando,Moreno,González,2020-02-25,2022-11-07
30,Veracruz,Rogelio,García,Pérez,2023-05-19,2023-10-13
30,Veracruz,Vicente,Dimayuga,Canales,2023-10-13,2025-04-08
30,Veracruz,Iván,Navarrete,Torres,2025-04-08,
31,Yucatán,Francisco,Díaz,González,2019-10-29,2022-03-01
31,Yucatán,Domingo Tito,Bahena,Salgado,2022-03-01,2022-10-26
31,Yucatán,José Inés,Meléndez,Estrada,2022-10-26,2024-02-01
31,Yucatán,Ramón,Guardado,Sánchez,2024-02-01,2025-01-04
31,Yucatán,David,Morales,Hernández,2025-01-04,
32,Zacatecas,Oscar,Zavala,Barrera,2019-10-29,2021-05-17
32,Zacatecas,Francisco,Arroyo,Pilerio,2021-05-17,2022-01-04
32,Zacatecas,José Silvestre,Urzúa,Padilla,2022-01-04,2022-11-24
32,Zacatecas,Leonel,Alcaraz,Alarcón,2022-12-09,2023-10-04
32,Zacatecas,Juan,Manríquez,Moreno,2023-10-04,2025-03-31
32,Zacatecas,Vicente,Dimayuga,Canales,2025-04-01,
29,Tlaxcala,Víctor Manuel,Román,Solares,2019-10-29,2020-08-13
29,Tlaxcala,Jaime,Contreras,Chávez,2020-08-13,2021-12-07
29,Tlaxcala,Vinicio,Perea,Alcaraz,2021-12-07,2023-01-16
29,Tlaxcala,Jorge Antonio,Rebolledo,Zaragoza,2023-01-16,2023-10-01
29,Tlaxcala,Alfredo,Montiel,Godínez,2023-10-01,2025-04-01
29,Tlaxcala,Raúl,Martínez,González,2025-04-01,
