member.role,member.firstname,member.lastname1,member.lastname2,member.start_date,member.end_date
Legislador,Manuel Humberto,Cota,Jiménez,2015-09-01,2018-08-31
Legislador,Lorena,Cuéllar,Cisneros,2015-09-01,2018-08-31
Legislador,Gabriela,Cuevas,Barrón,2015-09-01,2018-08-31
Legislador,Adriana,Dávila,Fernández,2015-09-01,2018-08-31
Legislador,Angélica,de la Peña,Gómez,2015-09-01,2018-08-31
Legislador,Yolanda,de la Torre,Valdez,2016-02-02,2018-08-31
Legislador,Mario Martín,Delgado,Carrillo,2015-09-01,2018-08-31
Legislador,Fidel,Demédicis,Hidalgo,2015-09-01,2018-08-31
Legislador,Rosa Adriana,Díaz,Lizama,2015-09-01,2018-08-31
Legislador,Carmen,Dorantes,Martínez,2016-03-08,2018-08-31
Legislador,Alejandro de Jesús,Encinas,Rodríguez,2015-09-01,2018-08-31
Legislador,Froilán,Esquinca,Cano,2018-04-17,2018-08-31
Legislador,Luis Humberto,Fernández,Fuentes,2015-09-01,2018-08-31
Legislador,Juan Alejandro,Fernández,Sánchez Navarro,2015-09-01,2018-08-31
Legislador,Héctor David,Flores,Ávalos,2015-12-15,2018-08-31
Legislador,Hilda Esthela,Flores,Escalera,2015-09-01,2018-08-31
Legislador,Juan Gerardo,Flores,Ramírez,2015-09-01,2018-08-31
Legislador,Margarita,Flores,Sánchez,2015-09-01,2018-08-31
Legislador,Anastacia Guadalupe,Flores,Valdez,2018-03-21,2018-08-31
Legislador,Emilio Antonio,Gamboa,Patrón,2015-09-01,2018-08-31
Legislador,Ernesto,Gándara,Camou,2015-09-01,2018-08-31
Legislador,Andrea,García,García,2016-02-11,2018-08-31
Legislador,Martha Elena,García,Gómez,2015-09-01,2018-08-31
Legislador,Sandra Luz,García,Guajardo,2016-02-04,2018-08-31
Legislador,Silvia Guadalupe,Garza,Galván,2015-09-01,2018-08-31
Legislador,Diva Hadamira,Gastélum,Bajo,2015-09-01,2018-08-31
Legislador,Mariana,Gómez del Campo,Gurza,2015-09-01,2018-08-31
Legislador,Félix Arturo,González,Canto,2015-09-01,2018-08-31
Legislador,Isaías,González,Cuevas,2015-09-01,2018-08-31
Legislador,Raúl,Gracia,Guzmán,2015-09-01,2018-08-31
Legislador,Marcela,Guerra,Castillo,2015-09-01,2018-08-31
Legislador,Ana Gabriela,Guevara,Espinoza,2015-09-01,2018-08-31
Legislador,María del Rosario,Guzmán,Avilés,2017-02-28,2018-08-31
Legislador,Víctor,Hermosillo,y Celada,2015-09-01,2018-08-31
Legislador,Ismael Alfredo,Hernández,Deras,2015-09-01,2018-08-31
Legislador,Lisbeth,Hernández,Lecona,2015-09-01,2018-08-31
Legislador,Ana Lilia,Herrera,Anzaldo,2015-09-01,2018-08-31
Legislador,Fernando,Herrera,Ávila,2015-09-01,2018-08-31
Legislador,Aarón,Irízar,López,2015-09-01,2018-08-31
Legislador,María del Carmen,Izaguirre,Francos,2016-02-25,2018-08-31
Legislador,Héctor,Larios,Córdova,2015-09-01,2018-08-31
Legislador,Jorge Luis,Lavalle,Maury,2015-09-01,2018-08-31
Legislador,Adriana,Loaiza,Garzón,2018-02-20,2018-08-31
Legislador,Francisco Salvador,López,Brito,2015-09-01,2018-08-31
Legislador,Javier,Lozano,Alarcón,2015-09-01,2018-08-31
Legislador,Miguel Enrique,Lucía,Espejo,2018-02-07,2018-08-31
Legislador,Sylvia Leticia,Martínez,Elizondo,2016-02-23,2018-08-31
Legislador,María Verónica,Martínez,Espinoza,2015-09-01,2018-08-31
Legislador,Patricio,Martínez,García,2015-09-01,2018-08-31
Legislador,José María,Martínez,Martínez,2015-09-01,2018-08-31
Legislador,Fernando Enrique,Mayans,Canabal,2015-09-01,2018-08-31
Legislador,Humberto Domingo,Mayans,Canabal,2015-09-01,2018-08-31
Legislador,Tereso,Medina,Ramírez,2015-09-24,2018-08-31
Legislador,Luis Armando,Melgar,Bravo,2015-09-01,2018-08-31
Legislador,Sonia,Mendoza,Díaz,2015-09-01,2018-08-31
Legislador,Iris Vianey,Mendoza,Mendoza,2015-09-01,2018-08-31
Legislador,Carlos Manuel,Merino,Campos,2015-10-13,2018-08-31
Legislador,Lilia Guadalupe,Merodio,Reza,2015-09-01,2018-08-31
Legislador,David,Monreal,Ávila,2015-09-01,2018-08-31
Legislador,Raúl,Morón,Orozco,2015-09-01,2018-08-31
Legislador,Armando,Neyra,Chávez,2015-09-01,2018-08-31
Legislador,José Marco Antonio,Olvera,Acevedo,2016-02-02,2018-08-31
Legislador,José Ascención,Orihuela,Bárcenas,2015-09-04,2018-08-31
Legislador,María del Pilar,Ortega,Martínez,2015-09-01,2018-08-31
Legislador,Graciela,Ortiz,González,2015-09-01,2018-08-31
Legislador,María de los Dolores,Padierna,Luna,2015-09-01,2018-08-31
Legislador,Martha,Palafox,Gutiérrez,2015-09-01,2018-08-31
Legislador,Isidro,Pedraza,Chávez,2015-09-01,2018-08-31
Legislador,César Octavio,Pedroza,Gaitán,2015-09-01,2018-08-31
Legislador,María del Rocío,Pineda,Gochi,2015-09-01,2018-08-31
Legislador,Raúl Aarón,Pozos,Lanz,2015-09-01,2018-08-31
Legislador,Jorge Luis,Preciado,Rodríguez,2015-09-01,2018-08-31
Legislador,Jesús,Priego,Calva,2016-02-09,2018-08-31
Legislador,Carlos Alberto,Puente,Salas,2015-09-01,2018-08-31
Legislador,Socorro Sofío,Ramírez,Hernández,2015-09-01,2018-08-31
Legislador,Ainara,Rementería,Coello,2018-02-07,2018-08-31
Legislador,Itzel Sarahí,Ríos,de la Mora,2015-09-01,2018-08-31
Legislador,Armando,Ríos,Piter,2015-09-01,2018-08-31
Legislador,Ángel Benjamín,Robles,Montoya,2015-09-01,2018-08-31
Legislador,Sonia,Rocha,Acosta,2015-09-01,2018-08-31
Legislador,Laura Angélica,Rojas,Hernández,2015-09-01,2018-08-31
Legislador,Mely,Romero,Celis,2015-09-01,2018-08-31
Legislador,Carlos Antonio,Romero,Deschamps,2015-09-01,2018-08-31
Legislador,Juan Carlos,Romero,Hicks,2015-09-01,2018-08-31
Legislador,Adolfo,Romero,Lainas,2015-09-01,2018-08-31
Legislador,Miguel,Romo,Medina,2015-09-01,2018-08-31
Legislador,Ernesto,Ruffo,Appel,2015-09-01,2018-08-31
Legislador,Luis Fernando,Salazar,Fernández,2015-09-01,2018-08-31
Legislador,María Lucero,Saldaña,Pérez,2015-09-01,2018-08-31
Legislador,Víctor,Salinas,Balam,2015-09-01,2018-08-31
Legislador,Ninfa Clara,Salinas,Sada,2015-09-01,2018-08-31
Legislador,Gerardo,Sánchez,García,2015-09-01,2018-08-31
Legislador,Venancio Luis,Sánchez,Jiménez,2015-09-01,2018-08-31
Legislador,Layda Elena,Sansores,San Román,2015-09-01,2018-08-31
Legislador,José de Jesús,Santana,García,2016-02-04,2018-08-31
Legislador,Martha Angélica,Tagle,Martínez,2015-09-01,2018-08-31
Legislador,José María,Tapia,Franco,2017-10-17,2018-08-31
Legislador,María Esther,Terán,Velázquez,2018-04-04,2018-08-31
Legislador,Jorge,Toledo,Luis,2015-12-10,2018-08-31
Legislador,Teófilo,Torres,Corzo,2015-09-01,2018-08-31
Legislador,Fernando,Torres,Graciano,2015-09-01,2018-08-31
Legislador,María Marcela,Torres,Peimbert,2015-09-01,2018-08-31
Legislador,Ricardo,Urzúa,Rivera,2015-09-01,2018-08-31
Legislador,Salvador,Vega,Casillas,2015-09-01,2018-08-31
Legislador,Héctor,Yunes,Landa,2015-09-01,2018-08-31
Legislador,Rubén Antonio,Zuarth,Esquinca,2018-02-07,2018-08-31
Legislador,Anabel,Acosta,Islas,2015-02-03,2015-08-31
Legislador,José Rosas,Aispuro,Torres,2012-08-29,2015-08-31
Legislador,Roberto Armando,Albores,Gleason,2012-08-29,2015-08-31
Legislador,Blanca María del Socorro,Alcalá,Ruiz,2012-08-29,2015-08-31
Legislador,Ivonne Liliana,Álvarez,García,2012-08-29,2015-08-31
Legislador,Daniel,Amador,Gaxiola,2012-08-29,2015-08-31
Legislador,Angélica del Rosario,Araujo,Lara,2012-08-29,2015-08-31
Legislador,Jorge,Aréchiga,Ávila,2015-02-03,2015-08-31
Legislador,Mónica Tzasna,Arriola,Gordillo,2012-08-29,2015-08-31
Legislador,Daniel Gabriel,Ávila,Ruiz,2012-08-29,2015-08-31
Legislador,Joel,Ayala,Almeida,2012-08-29,2015-08-31
Legislador,Luis Miguel Gerónimo,Barbosa,Huerta,2012-08-29,2015-08-31
Legislador,María Elena,Barrera,Tapia,2012-08-29,2015-08-31
Legislador,Ricardo,Barroso,Agramont,2012-08-29,2015-08-31
Legislador,Manuel,Bartlett,Díaz,2012-08-29,2015-08-31
Legislador,Luz María,Beristain,Navarrete,2012-08-29,2015-08-31
Legislador,Marco Antonio,Blásquez,Salinas,2012-08-29,2015-08-31
Legislador,Enrique,Burgos,García,2012-08-29,2015-08-31
Legislador,Francisco de Paula,Búrquez,Valenzuela,2012-08-29,2015-08-31
Legislador,Luisa María de Guadalupe,Calderón,Hinojosa,2012-08-29,2015-08-31
Legislador,Jesús,Casillas,Romero,2012-08-29,2015-08-31
Legislador,Manuel,Cavazos,Lerma,2012-08-29,2015-08-31
Legislador,Miguel Ángel,Chico,Herrera,2012-08-29,2015-08-31
Legislador,Ernesto Javier,Cordero,Arroyo,2012-08-29,2015-08-31
Legislador,Javier,Corral,Jurado,2012-08-29,2015-08-31
Legislador,Manuel Humberto,Cota,Jiménez,2012-08-29,2015-08-31
Legislador,Lorena,Cuéllar,Cisneros,2012-08-29,2015-08-31
Legislador,Gabriela,Cuevas,Barrón,2012-08-29,2015-08-31
Legislador,Adriana,Dávila,Fernández,2012-08-29,2015-08-31
Legislador,Angélica,de la Peña,Gómez,2012-08-29,2015-08-31
Legislador,Mario Martín,Delgado,Carrillo,2012-08-29,2015-08-31
Legislador,Fidel,Demédicis,Hidalgo,2012-08-29,2015-08-31
Legislador,Rosa Adriana,Díaz,Lizama,2012-08-29,2015-08-31
Legislador,María Cristina,Díaz,Salazar,2012-08-29,2015-08-31
Legislador,María Hilaria,Domínguez,Arvizu,2015-03-03,2015-08-31
Legislador,Alejandro de Jesús,Encinas,Rodríguez,2012-08-29,2015-08-31
Legislador,Pablo,Escudero,Morales,2012-08-29,2015-08-31
Legislador,Omar,Fayad,Meneses,2012-08-29,2015-08-31
Legislador,Braulio Manuel,Fernández,Aguirre,2012-08-29,2015-08-31
Legislador,Luis Humberto,Fernández,Fuentes,2015-06-18,2015-08-31
Legislador,Juan Alejandro,Fernández,Sánchez Navarro,2015-02-03,2015-08-31
Legislador,Hilda Esthela,Flores,Escalera,2012-08-29,2015-08-31
Legislador,Juan Gerardo,Flores,Ramírez,2012-08-29,2015-08-31
Legislador,Margarita,Flores,Sánchez,2012-08-29,2015-08-31
Legislador,Emilio Antonio,Gamboa,Patrón,2012-08-29,2015-08-31
Legislador,Ernesto,Gándara,Camou,2012-08-29,2015-08-31
Legislador,Francisco Javier,García,Cabeza de Vaca,2012-08-29,2015-08-31
Legislador,Martha Elena,García,Gómez,2012-08-29,2015-08-31
Legislador,Silvia Guadalupe,Garza,Galván,2012-08-29,2015-08-31
Legislador,Diva Hadamira,Gastélum,Bajo,2012-08-29,2015-08-31
Legislador,Roberto,Gil,Zuarth,2012-08-29,2015-08-31
Legislador,Mariana,Gómez del Campo,Gurza,2012-08-29,2015-08-31
Legislador,Félix Arturo,González,Canto,2012-08-29,2015-08-31
Legislador,Isaías,González,Cuevas,2012-08-29,2015-08-31
Legislador,Raúl,Gracia,Guzmán,2012-08-29,2015-08-31
Legislador,Marcela,Guerra,Castillo,2012-08-29,2015-08-31
Legislador,Ana Gabriela,Guevara,Espinoza,2012-08-29,2015-08-31
Legislador,Víctor,Hermosillo,y Celada,2012-08-29,2015-08-31
Legislador,Ismael Alfredo,Hernández,Deras,2012-08-29,2015-08-31
Legislador,Lisbeth,Hernández,Lecona,2012-08-29,2015-08-31
Legislador,Juana Leticia,Herrera,Ale,2012-08-29,2015-08-31
Legislador,Ana Lilia,Herrera,Anzaldo,2012-08-29,2015-08-31
Legislador,Fernando,Herrera,Ávila,2012-08-29,2015-08-31
Legislador,Aarón,Irízar,López,2012-08-29,2015-08-31
Legislador,René,Juárez,Cisneros,2012-08-29,2015-08-31
Legislador,Héctor,Larios,Córdova,2012-08-29,2015-08-31
Legislador,Jorge Luis,Lavalle,Maury,2012-08-29,2015-08-31
Legislador,Francisco Salvador,López,Brito,2012-08-29,2015-08-31
Legislador,Adán Augusto,López,Hernández,2012-08-29,2015-08-31
Legislador,Javier,Lozano,Alarcón,2012-08-29,2015-08-31
Legislador,Patricio,Martínez,García,2012-08-29,2015-08-31
Legislador,José María,Martínez,Martínez,2012-08-29,2015-08-31
Legislador,Fernando Enrique,Mayans,Canabal,2012-08-29,2015-08-31
Legislador,Humberto Domingo,Mayans,Canabal,2012-08-29,2015-08-31
Legislador,Luis Armando,Melgar,Bravo,2012-08-29,2015-08-31
Legislador,Iris Vianey,Mendoza,Mendoza,2012-08-29,2015-08-31
Legislador,Lilia Guadalupe,Merodio,Reza,2012-08-29,2015-08-31
Legislador,David,Monreal,Ávila,2012-08-29,2015-08-31
Legislador,Vianey,Montes,Colunga,2015-02-03,2015-08-31
Legislador,Raúl,Morón,Orozco,2012-08-29,2015-08-31
Legislador,Armando,Neyra,Chávez,2012-08-29,2015-08-31
Legislador,Martín,Orozco,Sandoval,2012-08-29,2015-08-31
Legislador,María del Pilar,Ortega,Martínez,2012-10-09,2015-08-31
Legislador,Maki Esther,Ortiz,Domínguez,2012-08-29,2015-08-31
Legislador,Graciela,Ortiz,González,2012-08-29,2015-08-31
Legislador,María de los Dolores,Padierna,Luna,2012-08-29,2015-08-31
Legislador,Martha,Palafox,Gutiérrez,2012-08-29,2015-08-31
Legislador,Isidro,Pedraza,Chávez,2012-08-29,2015-08-31
Legislador,César Octavio,Pedroza,Gaitán,2012-08-29,2015-08-31
Legislador,David,Penchyna,Grub,2012-08-29,2015-08-31
Legislador,Eviel,Pérez,Magaña,2012-08-29,2015-08-31
Legislador,María del Rocío,Pineda,Gochi,2012-08-29,2015-08-31
Legislador,Raúl Aarón,Pozos,Lanz,2012-08-29,2015-08-31
Legislador,Jorge Luis,Preciado,Rodríguez,2012-08-29,2015-08-31
Legislador,Carlos Alberto,Puente,Salas,2012-08-29,2015-08-31
Legislador,Socorro Sofío,Ramírez,Hernández,2012-08-29,2015-08-31
Legislador,Itzel Sarahí,Ríos ,de la Mora,2012-08-29,2015-08-31
Legislador,Armando,Ríos,Piter,2012-08-29,2015-08-31
Legislador,Zoé Alejandro,Robledo,Aburto,2012-08-29,2015-08-31
Legislador,Ángel Benjamín,Robles,Montoya,2012-08-29,2015-08-31
Legislador,Sonia,Rocha,Acosta,2015-03-03,2015-08-31
Legislador,Laura Angélica,Rojas,Hernández,2012-08-29,2015-08-31
Legislador,Mely,Romero,Celis,2012-08-29,2015-08-31
Legislador,Carlos Antonio,Romero,Deschamps,2012-08-29,2015-08-31
Legislador,Juan Carlos,Romero,Hicks,2012-08-29,2015-08-31
Legislador,Adolfo,Romero,Lainas,2012-08-29,2015-08-31
Legislador,Miguel,Romo,Medina,2012-08-29,2015-08-31
Legislador,Óscar Román,Rosas,González,2012-08-29,2015-08-31
Legislador,Ernesto,Ruffo,Appel,2012-08-29,2015-08-31
Legislador,Luis Fernando,Salazar,Fernández,2012-08-29,2015-08-31
Legislador,Rabindranath,Salazar,Solorio,2012-08-29,2015-08-31
Legislador,María Lucero,Saldaña,Pérez,2012-08-29,2015-08-31
Legislador,Ninfa Clara,Salinas,Sada,2012-08-29,2015-08-31
Legislador,Gerardo,Sánchez,García,2012-08-29,2015-08-31
Legislador,Venancio Luis,Sánchez,Jiménez,2012-08-29,2015-08-31
Legislador,Layda Elena,Sansores,San Román,2012-08-29,2015-08-31
Legislador,Martha Angélica,Tagle,Martínez,2015-08-04,2015-08-31
Legislador,Alejandro,Tello,Cristerna,2012-08-29,2015-08-31
Legislador,Teófilo,Torres,Corzo,2012-08-29,2015-08-31
Legislador,Fernando,Torres,Graciano,2012-08-29,2015-08-31
Legislador,María Marcela,Torres,Peimbert,2012-08-29,2015-08-31
Legislador,Agustín,Trujillo,Íñiguez,2015-02-03,2015-08-31
Legislador,Ricardo,Urzúa,Rivera,2014-09-04,2015-08-31
Legislador,Salvador,Vega,Casillas,2012-08-29,2015-08-31
Legislador,Héctor,Yunes,Landa,2012-08-29,2015-08-31
Legislador,Fernando,Yunes,Márquez,2012-08-29,2015-08-31
Legislador,José Francisco,Yunes,Zorrilla,2012-08-29,2015-08-31
Legislador,Arturo,Zamora,Jiménez,2012-08-29,2015-08-31
Legislador,Carlos Humberto,Aceves,del Olmo,2009-08-31,2012-08-31
Legislador,Marco Humberto,Aguilar,Coronado,2009-08-31,2012-08-31
Legislador,Julio César,Aguirre,Méndez,2009-08-31,2012-08-31
Legislador,Francisco de Paula,Agundis,Arias,2009-08-31,2012-08-31
Legislador,Ángel Juan,Alonso,Díaz Caneja,2009-08-31,2012-08-31
Legislador,Antelmo,Alvarado,García,2010-09-14,2012-08-31
Legislador,Sergio,Álvarez,Mata,2009-08-31,2012-08-31
Legislador,Alberto,Anaya,Gutiérrez,2009-08-31,2012-08-31
Legislador,José Guillermo,Anaya,Llamas,2009-08-31,2012-08-31
Legislador,Humberto,Andrade,Quezada,2009-08-31,2012-08-31
Legislador,René,Arce,Islas,2009-08-31,2012-08-31
Legislador,Francisco Agustín,Arroyo,Vieyra,2009-08-31,2012-08-31
Legislador,Silvano,Aureoles,Conejo,2009-08-31,2012-08-31
Legislador,Fernando,Baeza,Meléndez,2009-08-31,2012-08-31
Legislador,Héctor Miguel,Bautista,López,2009-08-31,2012-08-31
Legislador,Manlio Fabio,Beltrones,Rivera,2009-08-31,2012-08-31
Legislador,Francisco Xavier,Berganza,Escorza,2009-08-31,2012-08-31
Legislador,Juan,Bueno,Torio,2009-08-31,2012-08-31
Legislador,Sebastián,Calderón,Centeno,2009-08-31,2012-08-31
Legislador,Rubén,Camarillo,Ortega,2009-08-31,2012-08-31
Legislador,Eloy,Cantú,Segovia,2009-08-31,2012-08-31
Legislador,Guadalupe Francisco Javier,Castellón,Fonseca,2009-08-31,2012-08-31
Legislador,Javier,Castelo,Parada,2009-08-31,2012-08-31
Legislador,Fernando Jorge,Castro,Trenti,2009-08-31,2012-08-31
Legislador,Armando,Contreras,Castillo,2010-12-02,2012-08-31
Legislador,Eva,Contreras,Sandoval,2012-04-01,2012-08-31
Legislador,Luis Alberto,Coppola,Joffroy,2009-08-31,2012-08-31
Legislador,Claudia Sofía,Corichi,García,2009-08-31,2012-08-31
Legislador,Marko Antonio,Cortés,Mendoza,2009-08-31,2012-08-31
Legislador,Josefina,Cota,Cota,2009-08-31,2012-08-31
Legislador,Santiago,Creel,Miranda,2012-03-02,2012-08-31
Legislador,Dante Alfonso,Delgado,Rannauro,2009-08-31,2012-08-31
Legislador,Blanca Judith,Díaz,Delgado,2012-07-02,2012-08-31
Legislador,Jaime Rafael,Díaz,Ochoa,2009-08-31,2012-08-31
Legislador,Jesús,Dueñas,Llerenas,2009-08-31,2012-08-31
Legislador,Federico,Döring,Casar,2009-08-31,2012-08-31
Legislador,Alfonso,Elías,Serrano,2009-10-06,2012-08-31
Legislador,Fernando,Elizondo,Barragán,2009-08-31,2012-08-31
Legislador,Arturo,Escobar,y Vega,2009-08-31,2012-08-31
Legislador,Norma,Esparza,Herrera,2010-02-01,2012-08-31
Legislador,Carmen Guadalupe,Fonz,Sáenz,2009-08-31,2012-08-31
Legislador,Ramón,Galindo,Noriega,2009-08-31,2012-08-31
Legislador,Andrés,Galván,Rivas,2009-08-31,2012-08-31
Legislador,Ricardo Francisco,García,Cervantes,2009-08-31,2012-08-31
Legislador,Francisco Alcibíades,García,Lizardi,2010-02-01,2012-08-31
Legislador,María del Socorro,García,Quiroz,2009-08-31,2012-08-31
Legislador,José Luis Máximo,García,Zalvidea,2009-08-31,2012-08-31
Legislador,Leonel,Godoy,Rangel,2012-02-15,2012-08-31
Legislador,Pablo,Gómez,Álvarez,2009-08-31,2012-08-31
Legislador,Ericel,Gómez,Nucamendi,2010-02-01,2012-08-31
Legislador,Amira Gricelda,Gómez,Tueme,2009-08-31,2012-08-31
Legislador,Lázara Nelly,González,Aguilar,2009-08-31,2012-08-31
Legislador,Alejandro,González,Alcocer,2009-08-31,2012-08-31
Legislador,Adriana,González,Carrillo,2009-08-31,2012-08-31
Legislador,Felipe,González,González,2009-08-31,2012-08-31
Legislador,José,González,Morfín,2009-08-31,2012-08-31
Legislador,Alejandro,González,Yáñez,2009-08-31,2012-08-31
Legislador,Eugenio Guadalupe,Govea,Arcos,2009-08-31,2012-08-31
Legislador,María del Rosario Gloria,Green,Macías,2009-08-31,2012-08-31
Legislador,José,Guadarrama,Márquez,2009-08-31,2012-08-31
Legislador,Dolores del Carmen,Gutiérrez,Zurita,2012-02-01,2012-08-31
Legislador,Valentín,Guzmán,Soto,2009-08-31,2012-08-31
Legislador,Julián,Güitrón,Fuentevilla,2012-04-11,2012-08-31
Legislador,Minerva,Hernández,Ramos,2009-08-31,2012-08-31
Legislador,Francisco,Herrera,León,2009-08-31,2012-08-31
Legislador,Arturo,Herviz,Reyes,2009-08-31,2012-08-31
Legislador,María del Rosario Leticia,Jasso,Valencia,2010-02-01,2012-08-31
Legislador,Carlos Martín,Jiménez,Macías,2009-08-31,2012-08-31
Legislador,Martha Patricia,Jiménez,Oropeza,2012-03-13,2012-08-31
Legislador,Pedro,Joaquín,Coldwell,2009-08-31,2012-08-31
Legislador,Francisco,Labastida,Ochoa,2009-08-31,2012-08-31
Legislador,Emma Lucía,Larios,Gaxiola,2009-08-31,2012-08-31
Legislador,Augusto César,Leal,Angulo,2009-08-31,2012-08-31
Legislador,Jorge,Legorreta,Ordorica,2009-08-31,2012-08-31
Legislador,Gustavo Enrique,Madero,Muñoz,2009-08-31,2012-08-31
Legislador,Raúl José,Mejía,González,2009-08-31,2012-08-31
Legislador,Antonio,Mejía,Haro,2009-08-31,2012-08-31
Legislador,Nohemí Ludivina,Menchaca,Castellanos,2009-08-31,2012-08-31
Legislador,Jorge,Mendoza,Garza,2009-08-31,2012-08-31
Legislador,María Guadalupe,Mondragón,González,2009-08-31,2012-08-31
Legislador,Ricardo,Monreal,Ávila,2009-08-31,2012-08-31
Legislador,Gerardo,Montenegro,Ibarra,2009-08-31,2012-08-31
Legislador,Melquiades,Morales,Flores,2009-08-31,2012-08-31
Legislador,Rafael Alejandro,Moreno,Cárdenas,2009-08-31,2012-08-31
Legislador,María de los Ángeles,Moreno,Uriegas,2009-08-31,2012-08-31
Legislador,Ramón,Muñoz,Gutiérrez,2009-08-31,2012-08-31
Legislador,Jesús,Murillo,Karam,2009-08-31,2012-08-31
Legislador,Eduardo Tomás,Nava,Bolaños,2009-08-31,2012-08-31
Legislador,Carlos,Navarrete,Ruiz,2009-08-31,2012-08-31
Legislador,Francisco Javier,Obregón,Espinoza,2009-08-31,2012-08-31
Legislador,Jorge Andrés,Ocejo,Moreno,2009-08-31,2012-08-31
Legislador,Rafael,Ochoa,Guzmán,2010-09-07,2012-08-31
Legislador,María Elena,Orantes,López,2009-08-31,2012-08-31
Legislador,Javier,Orozco,Gómez,2009-08-31,2012-08-31
Legislador,María Teresa,Ortuño,Gurza,2009-08-31,2012-08-31
Legislador,Ricardo Fidel,Pacheco,Rodríguez,2009-08-31,2012-08-31
Legislador,Rosalía,Peredo,Aguilar,2009-08-31,2012-08-31
Legislador,Héctor,Pérez,Plazola,2009-08-31,2012-08-31
Legislador,Yeidckol,Polevnsky,Gurwitz,2009-08-31,2012-08-31
Legislador,Juan,Quiñonez,Ruiz,2010-02-23,2012-08-31
Legislador,Heladio Elías,Ramírez,López,2009-08-31,2012-08-31
Legislador,Jesús María,Ramón,Valdés,2009-08-31,2012-08-31
Legislador,Adrián,Rivera,Pérez,2009-08-31,2012-08-31
Legislador,Alfredo,Rodrígue,y Pacheco,2009-08-31,2012-08-31
Legislador,María de Lourdes,Rojo,e Incháustegui,2009-08-31,2012-08-31
Legislador,Rogelio Humberto,Rueda,Sánchez,2009-08-31,2012-08-31
Legislador,Gabriela,Ruiz,del Rincón,2009-08-31,2012-08-31
Legislador,José Julián,Sacramento,Garza,2009-08-31,2012-08-31
Legislador,Alfonso Abraham,Sánchez,Anaya,2009-08-31,2012-08-31
Legislador,Ernesto,Saro,Boardman,2009-08-31,2012-08-31
Legislador,María,Serrano,Serrano,2009-08-31,2012-08-31
Legislador,Martha Leticia,Sosa,Govea,2009-08-31,2012-08-31
Legislador,Carlos,Sotelo,García,2009-08-31,2012-08-31
Legislador,Guillermo Enrique Marcos,Tamborrel,Suárez,2009-08-31,2012-08-31
Legislador,Adolfo Jesús,Toledo,Infanzón,2009-08-31,2012-08-31
Legislador,Tomás,Torres,Mercado,2009-08-31,2012-08-31
Legislador,Ricardo,Torres,Origel,2009-08-31,2012-08-31
Legislador,José Isabel,Trejo,Reyes,2009-08-31,2012-08-31
Legislador,Rubén Fernando,Velázquez,López,2009-08-31,2012-08-31
Legislador,Margarita,Villaescusa,Rojo,2010-03-23,2012-08-31
Legislador,Luis Alberto,Villarreal,García,2009-08-31,2012-08-31
Legislador,María del Rosario,Ybarra,de la Garza,2009-08-31,2012-08-31
Legislador,Rafael,Yerena,Zambrano,2012-04-19,2012-08-31
Legislador,José Alejandro,Zapata,Perogordo,2009-08-31,2012-08-31
Legislador,María Beatriz,Zavala,Peniche,2009-08-31,2012-08-31
Legislador,Renán Cleominio,Zoreda,Novelo,2009-08-31,2012-08-31
