Estado,Organización A,Organización B,2022,2023,2024,2025,Relación
Michoacán,Los Caballeros Templarios,Cártel de la Virgen,,,3,1,Alianza
Chihuahua,Los Cabrera,Los Artistas Asesinos,,,,2,Alianza
Durango,Los CabreraMZ,Los Cabrera,,,,1,Alianza
Oaxaca,Los CabreraMZ,Los Cabrera,,,,1,Alianza
Sinaloa,Los CabreraMZ,Los Cabrera,,,,1,Alianza
,Los Cahuira,Gente Nueva,1,,,,Alianza
Durango,Los Caimanes,Los Cabrera,,,,1,Alianza
Puebla,Los Caltencos,Los Tepeacas,,,,5,Alianza
Distrito Federal,Los Canchola,Cártel Jalisco Nueva Generación,,,,5,Alianza
Distrito Federal,Los Canchola,La Unión Tepito,,3,3,1,Alianza
,Los Cardenales,Los Nuevos Aztecas,1,,,,Alianza
Chihuahua,Los Carnales,Los Nuevos Aztecas,,1,,,Alianza
,Los Cazadores,Gente Nueva,1,,,,Alianza
,Los Cazadores,Los Costeños,1,,,,Alianza
Sonora,Los Cazadores,Cártel de Sinaloa (Los Guzmán),,,4,4,Alianza
Sonora,Los Cazadores,Cártel de Sinaloa (Los Zambada),,,1,4,Alianza
,Los Cázares,Cártel de Sinaloa (Los Guzmán),1,,,,Alianza
,Los Cázares,Cártel de Sinaloa (Los Zambada),1,,,,Alianza
,Los Cebús,Banda del Chore,1,,,,Alianza
,Los Cebús,Banda del Cuervo,1,,,,Alianza
,Los Cebús,La Barredora,1,,,,Alianza
,Los Cebús,Los Compich,1,,,,Alianza
,Los Chilas,La Unión Tepito,1,,,,Alianza
,Los Cholos,Cártel del Nuevo Imperio,1,,,,Alianza
Chihuahua,Los Cholos,Nuevo Cártel de Juárez,,1,,,Alianza
,Los Chontuyos,Banda del Gato,1,,,,Alianza
Chiapas,Los Ciriles,Cártel Jalisco Nueva Generación,,1,,,Alianza
Morelos,Los Colombianos,Cártel de Sinaloa,,1,,,Alianza
Morelos,Los Colombianos,Guerreros Unidos,,1,,,Alianza
,Los Compich,Los Cebús,1,,,,Alianza
,Los Correa,La Nueva Empresa,1,,,,Alianza
,Los Costeños,Gente Nueva,1,,,,Alianza
,Los Costeños,Los Cazadores,1,,,,Alianza
,Los Cuates,Cártel de Sinaloa (Los Zambada),1,,,,Alianza
,Los Cuates,Los Rusos,1,,,,Alianza
,Los Cuinis,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Los de Siempre,La Nueva Empresa,1,,,,Alianza
Michoacán,Los Deltas,Los Viagra,,,1,,Alianza
Sonora,Los Deltas,Los Pelones,,,1,,Alianza
Durango,Los Deltas (Los Guzmán),Los Cazadores,,,,1,Alianza
Sonora,Los Deltas (Los Guzmán),Los Cazadores,,,,1,Alianza
Sonora,Los Deltas (Los Guzmán),Los Pelones,,,,1,Alianza
,Los Demonios,Los Nieblas Ramírez,1,,,,Alianza
México,Los Discos,La Unión Tepito,,1,,,Alianza
,Los Durango,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Los Erres,Cártel de Sinaloa,1,,,,Alianza
Baja California,Los Erres,Cártel Jalisco Nueva Generación,,1,,,Alianza
Guanajuato,Los Escorpiones,Cártel de Santa Rosa de Lima,,1,1,12,Alianza
Querétaro,Los Escorpiones,Cártel de Santa Rosa de Lima,,,,5,Alianza
Querétaro,Los Escorpiones,Cártel Gente Nueva Salazar,,,,1,Alianza
San Luis Potosí,Los Escorpiones,Cártel de Santa Rosa de Lima,,,,1,Alianza
Tamaulipas,Los Escorpiones,Cártel Jalisco Nueva Generación,,,,1,Alianza
Yucatán,Los Escorpiones,Cártel de Santa Rosa de Lima,,,,1,Alianza
,Los Escudero,Cártel de Sinaloa,1,,,,Alianza
,Los Escudero,La Barredora,1,,,,Alianza
,Los Escudero,Los Ninis,1,,,,Alianza
,Los Fabiola,Cártel Jalisco Nueva Generación,1,,,,Alianza
Sonora,Los Fantasmas,Cártel de Sinaloa (Los Guzmán),,,,4,Alianza
Coahuila,Los Filippini,Cártel Jalisco Nueva Generación,,1,,,Alianza
,Los Franquis,Cártel del Nuevo Imperio,1,,,,Alianza
Campeche,Los Gálvez,Cártel del Golfo,,1,,,Alianza
Campeche,Los Gálvez,Cártel Jalisco Nueva Generación,,1,,,Alianza
,Los Garibay,Los Salazar,1,,,,Alianza
Baja California,Los Garibay,Cártel de Sinaloa,,7,,,Alianza
México,Los Gastones,Cártel de Tláhuac,,2,,1,Alianza
Guerrero,Los Granados,Cártel Jalisco Nueva Generación,,,,2,Alianza
,Los Guapos,Cártel del Nuevo Imperio,1,,,,Alianza
,Los Güeros,Los Rodolfos,1,,,,Alianza
Guerrero,Los Hermanos Sánchez,Cártel de Caborca,,,1,,Alianza
Guerrero,Los Hermanos Sánchez,La Nueva Familia Michoacana,,,1,,Alianza
México,Los Hermanos Sánchez,Cártel de Caborca,,1,1,,Alianza
México,Los Hermanos Sánchez,La Nueva Familia Michoacana,,1,1,,Alianza
Veracruz,Los Hermanos Sánchez,Cártel de Caborca,,,1,,Alianza
Veracruz,Los Hermanos Sánchez,La Nueva Familia Michoacana,,,1,,Alianza
Baja California,Los Hernández Salas,Cártel de Sinaloa,,2,,,Alianza
Chiapas,Los Herrera,Cártel Jalisco Nueva Generación,,,,1,Alianza
,Los Huevos,Cártel del Nuevo Imperio,1,,,,Alianza
Distrito Federal,Los Istolinques,Cártel de los Beltrán Leyva,,,,1,Alianza
Distrito Federal,Los Istolinques,La Unión Tepito,,,,1,Alianza
,Los Jaguares,Cártel de Sinaloa,1,,,,Alianza
,Los Jaguares,Gente Nueva,1,,,,Alianza
,Los Jaguares,Los Salazar,1,,,,Alianza
,Los Leal,Cártel de Sinaloa,1,,,,Alianza
,Los Linos,Los Rojos,1,,,,Alianza
Morelos,Los Linos,La Unión Tepito,,,,4,Alianza
Morelos,Los Linos,Los de Siempre,,,,1,Alianza
,Los Maldonado,La Nueva Empresa,1,,,,Alianza
Distrito Federal,Los Malportados,Cártel del Nuevo Imperio,,,,6,Alianza
Guerrero,Los Malportados,Cártel del Nuevo Imperio,,,,1,Alianza
México,Los Malportados,Cártel del Nuevo Imperio,,,,3,Alianza
Morelos,Los Malportados,Cártel del Nuevo Imperio,,,,1,Alianza
Aguascalientes,Los Mazatlecos,La Oficina,,,9,,Alianza
Baja California,Los Mazatlecos,La Oficina,,,1,,Alianza
Guerrero,Los Mazatlecos,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
Sinaloa,Los Mazatlecos,Cártel de Sinaloa (Los Zambada),,,,6,Alianza
Sonora,Los Mazatlecos,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
,Los Meleán,Cártel de Sinaloa,1,,,,Alianza
Tamaulipas,Los Metros,Cártel del Golfo Nueva Era,,,,1,Alianza
Tamaulipas,Los Metros,Cártel Jalisco Nueva Generación,,2,,6,Alianza
,Los Mexicles,Los Artistas Asesinos,1,,,,Alianza
Chihuahua,Los Mexicles,Cártel de Sinaloa,,1,,,Alianza
Coahuila,Los Mexicles,Cártel de Sinaloa,,1,,,Alianza
Nuevo León,Los Mexicles,Cártel de Sinaloa,,1,,,Alianza
Colima,Los Mezcales,Cártel de Sinaloa,,1,,1,Alianza
Sinaloa,Los Mochomitos,Cártel de Sinaloa (Los Guzmán),,,1,,Alianza
,Los Mongoles,Los Sureños 13,1,,,,Alianza
,Los Mongoles,Mara Salvatrucha,1,,,,Alianza
Chiapas,Los Motonetos,Cártel de San Juan Chamula,,1,,,Alianza
Morelos,Los Netos,Los Bolillos,,1,,,Alianza
,Los Niño Serrano,Cártel Jalisco Nueva Generación,1,,,,Alianza
Chihuahua,Los Números,Cártel de Caborca,,,,1,Alianza
Durango,Los Números,Cártel de Caborca,,,,1,Alianza
,Los Oaxacos,Cártel del Nuevo Imperio,1,,,,Alianza
,Los Osos,Los Pelones,1,,,,Alianza
,Los Padrinos,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Los Páez,La Barredora 24/7,1,,,,Alianza
,Los Paredes,Los Salazar,1,,,,Alianza
Baja California,Los Pelones,Cártel Jalisco Nueva Generación,,,1,,Alianza
Sonora,Los Pelones,Los Deltas (Los Guzmán),,,,1,Alianza
México,Los Peluches,Cártel de Caborca,,5,,,Alianza
,Los Peques,Los Tlacos,1,,,,Alianza
,Los Perris,Cártel del Nuevo Imperio,1,,,,Alianza
Baja California,Los Pía,Cártel de Sinaloa,,7,,,Alianza
,Los Pilotos,Organización criminal de la familia Meza Flores,1,,,,Alianza
Veracruz,Los Piña,Fuerzas Especiales Grupo Sombra,,,,1,Alianza
Baja California,Los Piscacha,Los Rusos,,,,1,Alianza
Sonora,Los Ponchis,Cártel de Sinaloa (Los Guzmán),,,,4,Alianza
Baja California Sur,Los Primos,Cártel del Golfo,,,,1,Alianza
Baja California Sur,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Chihuahua,Los Primos,Cártel del Golfo,,,,1,Alianza
Chihuahua,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Coahuila,Los Primos,Cártel del Golfo,,,,2,Alianza
Coahuila,Los Primos,Cártel Jalisco Nueva Generación,,,,2,Alianza
Jalisco,Los Primos,Cártel del Golfo,,,,1,Alianza
Jalisco,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
México,Los Primos,Cártel del Golfo,,,,1,Alianza
México,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Michoacán,Los Primos,Cártel del Golfo,,,,1,Alianza
Michoacán,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Nuevo León,Los Primos,Cártel del Golfo,,,,1,Alianza
Nuevo León,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Querétaro,Los Primos,Cártel del Golfo,,,,1,Alianza
Querétaro,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Quintana Roo,Los Primos,Cártel del Golfo,,,,1,Alianza
Quintana Roo,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
San Luis Potosí,Los Primos,Cártel del Golfo,,,,1,Alianza
San Luis Potosí,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Sinaloa,Los Primos,Cártel del Golfo,,,,1,Alianza
Sinaloa,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Tamaulipas,Los Primos,Cártel del Golfo,,,,2,Alianza
Tamaulipas,Los Primos,Cártel Jalisco Nueva Generación,,,,2,Alianza
Veracruz,Los Primos,Cártel del Golfo,,,,1,Alianza
Veracruz,Los Primos,Cártel Jalisco Nueva Generación,,,,1,Alianza
,Los Pulido,Cárteles Unidos,1,,,,Alianza
,Los Querreques,Cártel de Los Arellano Félix,1,,,,Alianza
Chihuahua,Los Ramoncillos,Los Arellanes,,1,,,Alianza
,Los Reyes,Los Salgueiro,1,,,,Alianza
México,Los Rodolfos,Cártel Jalisco Nueva Generación,,4,,,Alianza
México,Los Rodolfos,Los Güeros,,4,,,Alianza
Nuevo León,Los Rodos NCI,Cártel de Sinaloa,,1,,,Alianza
Guerrero,Los Rodríguez,Cártel Jalisco Nueva Generación,,,1,,Alianza
Guerrero,Los Rodríguez,La Nueva Familia Michoacana,,,1,,Alianza
Guerrero,Los Rojos,Cártel del Sur,,,,1,Alianza
Guerrero,Los Rojos,Los Tlacos,,,,1,Alianza
Durango,Los Ruachos,Los Cabrera,,,,2,Alianza
Baja California,Los Rusos,Cártel de Sinaloa,,5,,,Alianza
Baja California,Los Rusos,Los Arzate,,1,,,Alianza
Baja California,Los Rusos,Cártel de Sinaloa (Los Zambada),,5,,,Alianza
Guerrero,Los Rusos,Cártel de Caborca,,,2,,Alianza
Guerrero,Los Rusos,Cártel Jalisco Nueva Generación,,,1,,Alianza
,Los Rusos (de Guerrero),Cártel de Caborca,1,,,,Alianza
,Los Rusos (de Guerrero),Los Arizmendi,1,,,,Alianza
,Los Salazar,Los Paredes,1,,,,Alianza
Baja California,Los Salazar,Cártel de Sinaloa (Los Guzmán),,7,,,Alianza
,Los Salgueiro,Familia Núñez Meza,1,,,,Alianza
,Los Sillas,Cártel de Sinaloa,1,,,,Alianza
,Los Sureños 13,Los Mongoles,1,,,,Alianza
,Los Sureños 13,Mara Salvatrucha,1,,,,Alianza
,Los Talibanes,Cártel de Sinaloa (Los Zambada),1,,,,Alianza
Coahuila,Los Talibanes,Cártel Jalisco Nueva Generación,,1,,,Alianza
Nuevo León,Los Talibanes,Cártel de Sinaloa,,1,,,Alianza
,Los Tanzanios,Cártel de Tláhuac,1,,,,Alianza
Distrito Federal,Los Tanzanios,Los Duques,,2,,,Alianza
,Los Tena,Los Viagra,1,,,,Alianza
Puebla,Los Tepeacas,Los Caltencos,,,,5,Alianza
,Los Tepiteños,Cártel del Nuevo Imperio,1,,,,Alianza
Morelos,Los Tepiteños,La Unión Tepito,,,,1,Alianza
,Los Tequileros,Cártel Jalisco Nueva Generación,1,,,,Alianza
México,Los Tiernos,Cártel del Nuevo Imperio,,3,,,Alianza
,Los Tlacos,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Los Tlacos,Los Peques,1,,,,Alianza
Guerrero,Los Tlacos,Cártel del Sur,,,,3,Alianza
Guerrero,Los Tlacos,Los Rojos,,,,1,Alianza
,Los Trinis,Cártel de Caborca,1,,,,Alianza
,Los Trinis,Organización criminal de la familia Meza Flores,1,,,,Alianza
,Los Vampiros,Cártel de Sinaloa,1,,,,Alianza
Baja California,Los Venados,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
Baja California Sur,Los Venados,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
,Los Viagra,Guardia Michoacana,1,,,,Alianza
Guanajuato,Los Viagra,Cártel de Sinaloa,,,1,,Alianza
Guanajuato,Los Viagra,La Unión León,,,1,,Alianza
México,Los Viagra,Cártel Jalisco Nueva Generación,,,,1,Alianza
Michoacán,Los Viagra,Cártel de la Virgen,,,4,1,Alianza
Michoacán,Los Viagra,Cártel de Los Reyes,,,1,,Alianza
Michoacán,Los Viagra,Cártel Jalisco Nueva Generación,,,11,4,Alianza
Michoacán,Los Viagra,Los Blancos de Troya,,,5,2,Alianza
,Los Viejos Aztecas,La Línea,1,,,,Alianza
,Los Villafán,La Ronda 88,1,,,,Alianza
,Los Zamarripa,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Los Zamarripa,Cártel Nueva Plaza,1,,,,Alianza
Nuevo León,Los Zetas Vieja Escuela,Cártel de Sinaloa,,1,,,Alianza
Tamaulipas,Los Zetas Vieja Escuela,Los Metros,,1,,,Alianza
,Los Zorros,Cártel de Sinaloa (Los Zambada),1,,,,Alianza
Baja California,Los Zorros,Los Arzate,,1,,,Alianza
Baja California,Los Zorros,Los Rusos,,1,,,Alianza
,Los Zuki,Los Epitacio,1,,,,Alianza
,Machete de la Chapiza,Banda de Los Gota a Gota,1,,,,Alianza
,Machete de la Chapiza,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Mafia Filipini,Cártel Jalisco Nueva Generación,1,,,,Alianza
Sonora,Mata Salas,La Plaza,,,,5,Alianza
,Nuevo Cártel del Tigre,Gente Nueva,1,,,,Alianza
Chihuahua,Nuevo Cártel del Tigre,Cártel de Sinaloa (Los Zambada),,,,10,Alianza
Sonora,Nuevo Cártel Independiente de Sonora,Los Cazadores,,,,1,Alianza
Sonora,Nuevo Cártel Independiente de Sonora,Los Paredes,,,,1,Alianza
Sonora,Nuevo Cártel Independiente de Sonora,Los Salazar,,,,2,Alianza
,Organización criminal de Corozal,Cártel de Sinaloa,1,,,,Alianza
,Organización criminal de la familia Meza Flores,Cártel de Los Arellano Félix,1,,,,Alianza
,Organización criminal Machado,Cártel de Sinaloa,1,,,,Alianza
,Organización de Don Pilo,Cártel de Sinaloa,1,,,,Alianza
,Organización de Don Pilo,Cártel de Sinaloa (Los Zambada),1,,,,Alianza
,Organización de los Hernández Salas,Cártel de Sinaloa (Los Guzmán),1,,,,Alianza
México,Organización Sindical Unión 300,Los Conejitos,,,,7,Alianza
Guanajuato,Paramilitares Colombianos,Cártel de Santa Rosa de Lima,,9,,,Alianza
Tabasco,Pueblos Unidos,Cártel de Sinaloa (Los Guzmán),,,,1,Alianza
,Sangre Brava Morelense,La Nueva Empresa,1,,,,Alianza
,Sangre Brava Morelense,Los Rojos,1,,,,Alianza
,Sindicato 22 de Octubre,La Nueva Empresa,1,,,,Alianza
México,Sindicato 22 de Octubre,Unión de Sindicatos y Organizaciones Nacionales,,,,1,Alianza
México,Sindicato Bicentenario,La Nueva Familia Michoacana,,,8,,Alianza
,Sindicato Libertad,Cártel de Juchitán,1,,,,Alianza
,Sindicato Libertad,Cártel de Oaxaca,1,,,,Alianza
,Sindicato Libertad,Guerreros Unidos,1,,,,Alianza
Morelos,Trébol,Federación Morelense,,,,1,Alianza
,Unión de Sindicatos y Organizaciones Nacionales,Federación Morelense,1,,,,Alianza
Distrito Federal,Unión de Sindicatos y Organizaciones Nacionales,La Chokiza,,,,4,Alianza
Distrito Federal,Unión de Sindicatos y Organizaciones Nacionales,La Nueva Familia Michoacana,,,,4,Alianza
Distrito Federal,Unión de Sindicatos y Organizaciones Nacionales,Los Maya,,,,4,Alianza
Distrito Federal,Unión de Sindicatos y Organizaciones Nacionales,Sindicato 22 de Octubre,,,,4,Alianza
Distrito Federal,Unión de Sindicatos y Organizaciones Nacionales,Sindicato Nacional 25 de Marzo,,,,4,Alianza
México,Unión de Sindicatos y Organizaciones Nacionales,La Chokiza,,,,1,Alianza
México,Unión de Sindicatos y Organizaciones Nacionales,La Nueva Familia Michoacana,,,,1,Alianza
México,Unión de Sindicatos y Organizaciones Nacionales,Los Maya,,,,1,Alianza
México,Unión de Sindicatos y Organizaciones Nacionales,Sindicato 22 de Octubre,,,,1,Alianza
México,Unión de Sindicatos y Organizaciones Nacionales,Sindicato Nacional 25 de Marzo,,,,1,Alianza
,Vieja Guardia,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Vieja Guardia,Cártel Nueva Plaza,1,,,,Alianza
Tamaulipas,Cártel del Golfo,Cártel Jalisco Nueva Generación,,,,1,Alianza
Guerrero,Cártel del Sur,Los Ardillos,,,,1,Alianza
Chiapas,Cártel Jalisco Nueva Generación,Cártel Chiapas y Guatemala,,,,4,Alianza
Chiapas,Cártel Jalisco Nueva Generación,El Maíz,,,,4,Alianza
Puebla,La Barredora,Cártel Jalisco Nueva Generación,,,,1,Alianza
Chihuahua,La Empresa,La Línea,,3,1,1,Alianza
Chihuahua,La Empresa,Los Mexicles,,,,1,Alianza
Chihuahua,La Línea,La Empresa,,,,1,Alianza
Chihuahua,La Línea,Los Mexicles,,8,,1,Alianza
Chihuahua,La Línea,Los Nuevos Aztecas,,8,,1,Alianza
Guerrero,Los Ardillos,Cártel del Sur,,,,1,Alianza
Guerrero,Los Ardillos,Los Rojos,,,,1,Alianza
Michoacán,Los Caballeros Templarios,Cártel de Tepalcatepec,,,1,1,Alianza
Michoacán,Los Caballeros Templarios,Los Blancos de Troya,,,3,1,Alianza
Tamaulipas,Los Ciclones,Los Escorpiones,,1,,11,Alianza
Distrito Federal,Los Gastones,Cártel de Tláhuac,,,,3,Alianza
Chiapas,Los Huistas,Cártel de Sinaloa,,,1,1,Alianza
Chiapas,Los Huistas,Cártel Jalisco Nueva Generación,,1,1,1,Alianza
Chihuahua,Los Mexicles,La Empresa,,,,1,Alianza
Chihuahua,Los Mexicles,La Línea,,,,1,Alianza
Chihuahua,Los Nuevos Aztecas,La Línea,,,,1,Alianza
Sonora,Los Pelones,Cártel de Sinaloa (Los Guzmán),,,1,1,Alianza
Guerrero,Los Rojos,Los Ardillos,,,,1,Alianza
,Ántrax,Cártel Jalisco Nueva Generación,1,,,,Conflicto
,Autodefensas de San Cristóbal,Los Motonetos,1,,,,Conflicto
,Autodefensas de Tepalcatepec,Cártel Jalisco Nueva Generación,1,,,,Conflicto
Michoacán,Autodefensas Guardia por la Paz,Cártel Jalisco Nueva Generación,,1,,,Conflicto
,Banda de El América,Banda de El Chita,1,,,,Conflicto
,Banda de El América,Banda de El Geisha,1,,,,Conflicto
,Banda de El América,Banda de El Parka,1,,,,Conflicto
,Banda de El América,Banda del Jefe de Jefes,1,,,,Conflicto
,Banda de El Charal,Cártel Jalisco Nueva Generación,1,,,,Conflicto
,Banda de El Chita,Banda de El América,1,,,,Conflicto
,Banda de El Chita,Banda de El Geisha,1,,,,Conflicto
,Banda de El Chita,Banda del Jefe de Jefes,1,,,,Conflicto
,Banda de El Geisha,Banda de El América,1,,,,Conflicto
,Banda de El Geisha,Banda de El Chita,1,,,,Conflicto
,Banda de El Geisha,Banda del Jefe de Jefes,1,,,,Conflicto
,Banda de El Loco Téllez,Los Coronas,1,,,,Conflicto
,Banda de El Loco Téllez,Los Villegas,1,,,,Conflicto
Puebla,Banda de El Mamer,Banda de El Toñín,,,,1,Conflicto
Puebla,Banda de El Mamer,Sangre Nueva Zeta,,,,1,Conflicto
,Banda de El Masero,Banda de El Tortillero,1,,,,Conflicto
,Banda de El Parka,Banda de El Talachas,1,,,,Conflicto
,Banda de El Talachas,Banda de El Parka,1,,,,Conflicto
,Banda de la Riviera Maya,Hermanos Marcu,1,,,,Conflicto
,Banda del Caracol,Los Maceros,1,,,,Conflicto
,Banda del Chore,Banda del Dober,1,,,,Conflicto
Yucatán,Banda del Chore,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
,Banda del Cuervo,Los Compich,1,,,,Conflicto
,Banda del Cuervo,Los Pelones,1,,,,Conflicto
,Banda del Dober,Banda del Chore,1,,,,Conflicto
,Banda del Dober,La Barredora,1,,,,Conflicto
,Banda del Dober,Los Cebús,1,,,,Conflicto
,Banda del Galleta,Los Güeros,1,,,,Conflicto
,Banda del Gigan,La Hermandad,1,,,,Conflicto
,Banda del Jefe de Jefes,Banda de El América,1,,,,Conflicto
,Banda del Jefe de Jefes,Banda de El Chita,1,,,,Conflicto
,Banda del Jefe de Jefes,Banda de El Geisha,1,,,,Conflicto
,Banda del Kalimba,Cártel del Pelón de Playas,1,,,,Conflicto
,Banda del Kalimba,CNR,1,,,,Conflicto
Distrito Federal,Banda del Niñote,Los Rodolfos,,,1,,Conflicto
,Banda del Picasso,Los Epitacio,1,,,,Conflicto
Baja California,Banda del Tigre,Cártel Jalisco Nueva Generación,,1,,,Conflicto
,Banda del Valente,Los Güeros,1,,,,Conflicto
Chiapas,Barrio 18,Mara Salvatrucha,,12,,,Conflicto
Chiapas,Cártel Chiapas y Guatemala,Cártel de Sinaloa,,,1,1,Conflicto
Chiapas,Cártel Chiapas y Guatemala,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Chiapas,Cártel Chiapas y Guatemala,Los Huistas,,,1,,Conflicto
Chiapas,Cártel Chiapas y Guatemala,Los Motonetos,,,1,,Conflicto
Chiapas,Cártel Chiapas y Guatemala,Mara Salvatrucha,,,1,,Conflicto
,Cártel de Caborca,Los Deltas (Los Guzmán),1,,,,Conflicto
,Cártel de Caborca,Los Rusos (de Guerrero),1,,,,Conflicto
México,Cártel de Caborca,La Nueva Alianza,,,8,,Conflicto
Quintana Roo,Cártel de Caborca,Cártel de Sinaloa,,2,,,Conflicto
Sonora,Cártel de Caborca,Cártel de Sinaloa (Los Guzmán),,,1,,Conflicto
Sonora,Cártel de Caborca,Los Rusos,,,1,,Conflicto
,Cártel de Cancún,Cártel Jalisco Nueva Generación,1,,,,Conflicto
,Cártel de Ensenada,Cártel Jalisco Nueva Generación,1,,,,Conflicto
,Cártel de Ensenada,Los Mercenarios,1,,,,Conflicto
,Cártel de la Costa,Cártel de Sinaloa,1,,,,Conflicto
,Cártel de la Costa,Cártel Jalisco Nueva Generación,1,,,,Conflicto
Michoacán,Cártel de la Virgen,Cártel de Tepalcatepec,,,3,,Conflicto
Michoacán,Cártel de la Virgen,Los Caballeros Templarios,,,3,,Conflicto
Nuevo León,Cártel de Los Alemanes,Cártel del Noreste,,1,,,Conflicto
Nuevo León,Cártel de Los Alemanes,Cártel Jalisco Nueva Generación,,1,,,Conflicto
Nuevo León,Cártel de Los Alemanes,Los Zetas Vieja Escuela,,1,,,Conflicto
San Luis Potosí,Cártel de Los Alemanes,Cártel Jalisco Nueva Generación,,10,,,Conflicto
Baja California,Cártel de Los Arellano Félix,Cártel de Sinaloa,,7,6,,Conflicto
Baja California,Cártel de Los Arellano Félix,Cártel de Sinaloa (Los Zambada),,,1,3,Conflicto
Chihuahua,Cártel de Los Arellano Félix,La Línea,,,,4,Conflicto
Chihuahua,Cártel de Los Arellano Félix,Los Viejos Aztecas,,,,4,Conflicto
Colima,Cártel de Los Arellano Félix,Cártel Jalisco Nueva Generación,,,,3,Conflicto
Michoacán,Cártel de Los Arellano Félix,Los Caballeros Templarios,,,,1,Conflicto
Michoacán,Cártel de Los Arellano Félix,Los Viagra,,,,1,Conflicto
Nayarit,Cártel de Los Arellano Félix,Cártel Jalisco Nueva Generación,,,,3,Conflicto
Puebla,Cártel de Los Arellano Félix,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Puebla,Cártel de Los Arellano Félix,La Nueva Familia Michoacana,,,,1,Conflicto
Puebla,Cártel de Los Arellano Félix,Los Caballeros Templarios,,,,1,Conflicto
Puebla,Cártel de Los Arellano Félix,Los Zetas Vieja Escuela,,,,1,Conflicto
Sinaloa,Cártel de Los Arellano Félix,Cártel de Sinaloa (Los Guzmán),,,,4,Conflicto
Sinaloa,Cártel de Los Arellano Félix,Cártel de Sinaloa (Los Zambada),,,,4,Conflicto
Sonora,Cártel de Los Arellano Félix,Cártel de Caborca,,,,4,Conflicto
Sonora,Cártel de Los Arellano Félix,Cártel Jalisco Nueva Generación,,,,4,Conflicto
Sonora,Cártel de Los Arellano Félix,Los Mazatlecos,,,,4,Conflicto
Baja California,Cártel de Los Beltrán Leyva,Cártel de Sinaloa,,1,,,Conflicto
Baja California,Cártel de Los Beltrán Leyva,Cártel de Tijuana Nueva Generación,,1,,,Conflicto
Baja California,Cártel de Los Beltrán Leyva,Cártel Jalisco Nueva Generación,,1,,,Conflicto
Baja California Sur,Cártel de Los Beltrán Leyva,Cártel de Sinaloa,,2,,,Conflicto
Baja California Sur,Cártel de Los Beltrán Leyva,Cártel Jalisco Nueva Generación,,2,,,Conflicto
Chiapas,Cártel de Los Beltrán Leyva,Cártel de San Juan Chamula,,,1,,Conflicto
Chiapas,Cártel de Los Beltrán Leyva,Cártel de Sinaloa,,,1,,Conflicto
Chiapas,Cártel de Los Beltrán Leyva,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Chiapas,Cártel de Los Beltrán Leyva,Los Zetas Vieja Escuela,,,1,,Conflicto
Chiapas,Cártel de Los Beltrán Leyva,Mara Salvatrucha,,,1,,Conflicto
Sinaloa,Cártel de Los Beltrán Leyva,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
Zacatecas,Cártel de Los Maestros,Cártel de Sinaloa,,,,1,Conflicto
Zacatecas,Cártel de Los Maestros,Cártel del Noreste,,,,1,Conflicto
Zacatecas,Cártel de Los Maestros,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Michoacán,Cártel de Los Reyes,Cártel Jalisco Nueva Generación,,,,1,Conflicto
,Cártel de Oaxaca,Cártel Jalisco Nueva Generación,1,,,,Conflicto
,Cártel de San Juan Chamula,Los Motonetos,1,,,,Conflicto
Chiapas,Cártel de San Juan Chamula,Cártel de Los Beltrán Leyva,,,1,,Conflicto
Chiapas,Cártel de San Juan Chamula,Cártel de Sinaloa,,,1,,Conflicto
Chiapas,Cártel de San Juan Chamula,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Chiapas,Cártel de San Juan Chamula,Los Zetas Vieja Escuela,,,1,,Conflicto
Guanajuato,Cártel de Santa Rosa de Lima,Cártel Jalisco Nueva Generación,,18,28,17,Conflicto
