original_index,Municipio,Presidente Municipal,Inicio,Conclusión,full_code,firstname,lastname1,lastname2
3409,Iguala de la Independencia,ANTONIO S. JAIMES HERRERA,2006-01-01,2008-12-31,12035,Antonio S.,Jaimes,Herrera
3410,Iguala de la Independencia,RAUL TOVAR TAVERA,2009-01-01,2012-09-29,12035,Raul,Tovar,Tavera
3411,Iguala de la Independencia,JOSE LUIS ABARCA VELAZQUEZ,2012-09-30,2015-09-29,12035,Jose Luis,Abarca,Velazquez
3412,Iguala de la Independencia,ESTEBAN ALBARRAN MENDOZA,2015-09-30,2016-10-11,12035,Esteban,Albarran,Mendoza
3413,Iguala de la Independencia,HERON DELGADO CASTAÑEDA,2016-10-12,2018-09-30,12035,Heron,Delgado,Castañeda
3414,Iguala de la Independencia,ANTONIO SALVADOR JAIMES HERRERA,2018-10-01,2021-09-29,12035,Antonio Salvador,Jaimes,Herrera
3415,Iguala de la Independencia,DAVID GAMA PEREZ,2021-09-30,2024-08-31,12035,David,Gama,Perez
3416,Iguala de la Independencia,ERIK CATALAN RENDON,2024-09-01,2027-08-31,12035,Erik,Catalan,Rendon
3417,Igualapa,NOE JAVIER JUAREZ,2002-01-12,2005-01-11,12036,Noe,Javier,Juarez
3418,Igualapa,APOLONIO ALVAREZ MONTES,2005-01-12,2008-12-31,12036,Apolonio,Alvarez,Montes
3419,Igualapa,ORLANDO HESIQUIO CRUZ,2009-01-01,2012-09-29,12036,Orlando,Hesiquio,Cruz
3420,Igualapa,OMAR GONZALEZ ALVAREZ,2012-09-30,2015-09-29,12036,Omar,Gonzalez,Alvarez
3421,Igualapa,ELOY CARRASCO HESIQUIO,2015-09-30,2018-09-30,12036,Eloy,Carrasco,Hesiquio
3422,Igualapa,APOLONIO ALVAREZ MONTES,2018-10-01,2021-09-29,12036,Apolonio,Alvarez,Montes
3423,Igualapa,OMAR GONZALEZ ALVAREZ,2021-09-30,2024-08-31,12036,Omar,Gonzalez,Alvarez
3424,Igualapa,ALFREDO GONZALEZ NICOLAS,2024-09-01,2027-08-31,12036,Alfredo,Gonzalez,Nicolas
3425,Ixcateopan de Cuauhtémoc,RAFAEL CELIO BARRERA RODRIGUEZ,2002-01-12,2005-01-11,12037,Rafael Celio,Barrera,Rodriguez
3426,Ixcateopan de Cuauhtémoc,ULISES RIOS CABRERA,2005-01-12,2005-12-31,12037,Ulises,Rios,Cabrera
3427,Ixcateopan de Cuauhtémoc,ULIOSES RÍOS CBRERA,2006-01-01,2008-12-31,12037,Ulioses,Ríos,Cbrera
3428,Ixcateopan de Cuauhtémoc,DARIO PEREZ MORALES,2009-01-01,2012-09-29,12037,Dario,Perez,Morales
3429,Ixcateopan de Cuauhtémoc,FILIBERTA HONELIA BARRERA BAHENA,2012-09-30,2015-09-29,12037,Filiberta Honelia,Barrera,Bahena
3430,Ixcateopan de Cuauhtémoc,VICTOR DELGADO NAVA,2015-09-30,2018-09-30,12037,Victor,Delgado,Nava
3431,Ixcateopan de Cuauhtémoc,NAUCELIA CASTILLO BAUTISTA,2018-10-01,2024-08-31,12037,Naucelia,Castillo,Bautista
3432,Ixcateopan de Cuauhtémoc,JUAN CARLOS RODRIGUEZ BARRERA,2024-09-01,2027-08-31,12037,Juan Carlos,Rodriguez,Barrera
3433,Juan R. Escudero,ISMAEL PABLO AVILA RAMIREZ,2002-01-12,2005-01-11,12039,Ismael Pablo,Avila,Ramirez
3434,Juan R. Escudero,HECTOR VELA CARBAJAL,2005-01-12,2008-12-31,12039,Hector,Vela,Carbajal
3435,Juan R. Escudero,PORFIRIO LEYVA MUÑOZ,2009-01-01,2012-09-30,12039,Porfirio,Leyva,Muñoz
3436,Juan R. Escudero,ELIZABETH GUTIERREZ PAZ,2012-10-01,2015-09-29,12039,Elizabeth,Gutierrez,Paz
3437,Juan R. Escudero,LEONEL LEYVA MUÑOZ,2015-09-30,2018-09-30,12039,Leonel,Leyva,Muñoz
3438,Juan R. Escudero,DELFINO TERRONES RAMIREZ,2018-10-01,2021-09-29,12039,Delfino,Terrones,Ramirez
3439,Juan R. Escudero,DIANA CAROLINA COSTILLA VILLANUEVA,2021-09-30,2024-08-31,12039,Diana Carolina,Costilla,Villanueva
3440,Juan R. Escudero,OSCAR SANCHEZ LUNA,2024-09-01,2027-08-31,12039,Oscar,Sanchez,Luna
3441,Leonardo Bravo,LEOPOLDO RAMIRO CABRERA CHAVEZ,2002-01-12,2005-01-11,12040,Leopoldo Ramiro,Cabrera,Chavez
3442,Leonardo Bravo,WILIBALDO VALENTE PASTOR,2005-01-12,2008-12-31,12040,Wilibaldo,Valente,Pastor
3443,Leonardo Bravo,ISIDRO ALARCON CATALAN,2009-01-01,2012-09-29,12040,Isidro,Alarcon,Catalan
3444,Leonardo Bravo,LEOPOLDO RAMIRO CABRERA CHAVEZ,2012-09-30,2015-09-29,12040,Leopoldo Ramiro,Cabrera,Chavez
3445,Leonardo Bravo,ALFREDO ALARCON RODRIGUEZ,2015-09-30,2018-09-30,12040,Alfredo,Alarcon,Rodriguez
3446,Leonardo Bravo,ISMAEL CASTULO GUZMAN,2018-10-01,2021-09-29,12040,Ismael,Castulo,Guzman
3447,Leonardo Bravo,JORGE SAUL VILLA ADAME,2021-09-30,2024-08-31,12040,Jorge Saul,Villa,Adame
3448,Leonardo Bravo,LEONARDO MALDONADO ZÚÑIGA,2024-09-01,2027-08-31,12040,Leonardo,Maldonado,Zúñiga
3449,Malinaltepec,APOLONIO CRUZ ROSAS,2002-01-12,2005-01-11,12041,Apolonio,Cruz,Rosas
3450,Malinaltepec,ZOTICO JERONIMO GARCIA,2005-01-12,2008-12-31,12041,Zotico,Jeronimo,Garcia
3451,Malinaltepec,ALFREDO JERONIMO CRISTINO,2009-01-01,2012-09-30,12041,Alfredo,Jeronimo,Cristino
3452,Malinaltepec,ARISTOTELES TITO ARROYO,2012-10-01,2015-09-29,12041,Aristoteles,Tito,Arroyo
3453,Malinaltepec,SEBASTIAN RAMIREZ HERNANDEZ,2015-09-30,2018-09-30,12041,Sebastian,Ramirez,Hernandez
3454,Malinaltepec,ABEL BRUNO ARRIAGA,2018-10-01,2021-09-29,12041,Abel,Bruno,Arriaga
3455,Malinaltepec,ACASIO FLORES GUERRERO,2021-09-30,2024-08-31,12041,Acasio,Flores,Guerrero
3456,Malinaltepec,JHON NAVARRO MATEOS,2024-09-01,2027-08-31,12041,Jhon,Navarro,Mateos
3457,Mártir de Cuilapan,ANTONIO VILIULFO MORALES IGLESIAS,2002-01-12,2005-01-11,12042,Antonio Viliulfo,Morales,Iglesias
3458,Mártir de Cuilapan,GERARDO CELINO FLORES,2005-01-12,2008-12-31,12042,Gerardo,Celino,Flores
3459,Mártir de Cuilapan,FELICITAS MUÑIZ GOMEZ,2009-01-01,2012-09-28,12042,Felicitas,Muñiz,Gomez
3460,Mártir de Cuilapan,JOSE GUADALUPE RIVERA OCAMPO,2012-09-29,2015-09-29,12042,Jose Guadalupe,Rivera,Ocampo
3461,Mártir de Cuilapan,FELICITAS MUÑIZ GOMEZ,2015-09-30,2018-09-30,12042,Felicitas,Muñiz,Gomez
3462,Mártir de Cuilapan,JENNY GONZALEZ OCAMPO,2018-10-01,2024-08-31,12042,Jenny,Gonzalez,Ocampo
3463,Mártir de Cuilapan,JESUS VAZQUEZ GARCIA,2024-09-01,2027-08-31,12042,Jesus,Vazquez,Garcia
3464,Metlatónoc,SAUL RIVERA MERCENARIO,2002-01-12,2005-01-11,12043,Saul,Rivera,Mercenario
3465,Metlatónoc,RUTILIO VITERVO AGUILAR,2005-01-12,2008-12-31,12043,Rutilio,Vitervo,Aguilar
3466,Metlatónoc,ROBERTO GUEVARA MALDONADO,2009-01-01,2012-09-29,12043,Roberto,Guevara,Maldonado
3467,Metlatónoc,NEFTALI HERNANDEZ AGUILAR,2012-09-30,2015-09-29,12043,Neftali,Hernandez,Aguilar
3468,Metlatónoc,MATIAS ORTIZ RODRIGUEZ,2015-09-30,2018-09-30,12043,Matias,Ortiz,Rodriguez
3469,Metlatónoc,ZEFERINO VILLANUEVA GALINDO,2018-10-01,2021-09-29,12043,Zeferino,Villanueva,Galindo
3470,Metlatónoc,IDELFONSO MONTEALEGRE VAZQUEZ,2021-09-30,2024-08-31,12043,Idelfonso,Montealegre,Vazquez
3471,Metlatónoc,ISAIAS ROJAS RAMIREZ,2024-09-01,2027-08-31,12043,Isaias,Rojas,Ramirez
3472,Mochitlán,ISAIAS LOPEZ SANCHEZ,2002-01-12,2005-01-11,12044,Isaias,Lopez,Sanchez
3473,Mochitlán,DELFINO ALARCON BELLO,2005-01-12,2008-12-31,12044,Delfino,Alarcon,Bello
3474,Mochitlán,IMELDA ESPIRITU JIMENEZ,2009-01-01,2012-09-30,12044,Imelda,Espiritu,Jimenez
3475,Mochitlán,CEVERO ESPIRITU VALENZO,2012-10-01,2015-09-29,12044,Cevero,Espiritu,Valenzo
3476,Mochitlán,JHOBANNY JIMENEZ MENDOZA,2015-09-30,2021-09-29,12044,Jhobanny,Jimenez,Mendoza
3477,Mochitlán,GERARDO MOSSO LOPEZ,2021-09-30,2027-08-31,12044,Gerardo,Mosso,Lopez
3478,Olinalá,VICTOR APREZA SALGADO,2002-01-12,2005-01-11,12045,Victor,Apreza,Salgado
3479,Olinalá,HECTOR ROMEO TORRES ORTEGA,2005-01-12,2008-12-31,12045,Hector Romeo,Torres,Ortega
3480,Olinalá,JOSE OSEA ROSENDO SANCHEZ,2009-01-01,2012-09-29,12045,Jose Osea,Rosendo,Sanchez
3481,Olinalá,EUSEBIO GONZALEZ RODRIGUEZ,2012-09-30,2015-09-29,12045,Eusebio,Gonzalez,Rodriguez
3482,Olinalá,SAUL APREZA PATRON,2015-09-30,2018-09-30,12045,Saul,Apreza,Patron
3483,Olinalá,JOSE JUAN HERREJON ORTIZ,2018-10-01,2021-09-29,12045,Jose Juan,Herrejon,Ortiz
3484,Olinalá,MIGUEL REYES PATRON,2021-09-30,2024-08-31,12045,Miguel,Reyes,Patron
3485,Olinalá,MANUEL SANCHEZ ROSENDO,2024-09-01,2027-08-31,12045,Manuel,Sanchez,Rosendo
3486,Ometepec,Z. FRANCISCO ESPINOZA HILARIO,2002-01-12,2005-01-11,12046,Z. Francisco,Espinoza,Hilario
3487,Ometepec,EDUARDO MONTAÑO SALINAS,2005-01-12,2008-12-31,12046,Eduardo,Montaño,Salinas
3488,Ometepec,EFREN ADAME MONTALBAN,2009-01-01,2012-09-29,12046,Efren,Adame,Montalban
3489,Ometepec,ANTONIO ATENOGENES VAZQUEZ RODRIGUEZ,2012-09-30,2015-09-29,12046,Antonio Atenogenes,Vazquez,Rodriguez
3490,Ometepec,OMAR ESTRADA BUSTOS,2015-09-30,2018-09-30,12046,Omar,Estrada,Bustos
3491,Ometepec,EFREN ADAME MONTALVAN,2018-10-01,2024-08-31,12046,Efren,Adame,Montalvan
3492,Ometepec,RIGOBERTO CHACON MELO,2024-09-01,2027-08-31,12046,Rigoberto,Chacon,Melo
3493,Pedro Ascencio Alquisiras,CIRILO JULIAN OCAMPO VILLALOBOS,2002-01-12,2005-01-11,12047,Cirilo Julian,Ocampo,Villalobos
3494,Pedro Ascencio Alquisiras,EUSTORGIO SANCHEZ BELTRAN,2009-01-01,2012-09-29,12047,Eustorgio,Sanchez,Beltran
3495,Pedro Ascencio Alquisiras,FRANCISCO PRUDENCIO HERNANDEZ BASAVE,2012-09-30,2015-09-29,12047,Francisco Prudencio,Hernandez,Basave
3496,Pedro Ascencio Alquisiras,LORENIA ARMENTA ALVAREZ,2015-09-30,2018-09-30,12047,Lorenia,Armenta,Alvarez
3497,Pedro Ascencio Alquisiras,OLIVIA AZUCENA LOPEZ ROGEL,2018-10-01,2021-09-29,12047,Olivia Azucena,Lopez,Rogel
3498,Pedro Ascencio Alquisiras,AUSTREBERTA LOPEZ ROGEL,2021-09-30,2027-08-31,12047,Austreberta,Lopez,Rogel
3499,Petatlán,FRANCISCO JAVIER RODRIGUEZ ACEVES,2002-01-12,2005-01-11,12048,Francisco Javier,Rodriguez,Aceves
3500,Petatlán,JOSE ANTONIO ARMENTA MIRALRIO,2005-01-12,2008-12-31,12048,Jose Antonio,Armenta,Miralrio
3501,Petatlán,JOSE ALBINO LACUNZA SANTOS,2009-01-01,2012-09-29,12048,Jose Albino,Lacunza,Santos
3502,Petatlán,JORGE RAMIREZ ESPINO,2012-09-30,2015-09-29,12048,Jorge,Ramirez,Espino
3503,Petatlán,ARTURO GOMEZ PEREZ,2015-09-30,2018-09-30,12048,Arturo,Gomez,Perez
3504,Petatlán,ESTEBAN CARDENAS SANTANA,2018-10-01,2021-09-29,12048,Esteban,Cardenas,Santana
3505,Petatlán,PERFECTO JAVIER AGUILAR SILVA,2021-09-30,2024-08-31,12048,Perfecto Javier,Aguilar,Silva
3506,Petatlán,JOSE POPOCA MARTINEZ,2024-09-01,2027-08-31,12048,Jose,Popoca,Martinez
3507,Pilcaya,HECTOR TOMAS BUSTOS ESTRADA,2002-01-12,2005-01-11,12049,Hector Tomas,Bustos,Estrada
3508,Pilcaya,E. MARDONIO REYNA CASTAÑEDA,2005-01-12,2008-12-31,12049,E. Mardonio,Reyna,Castañeda
3509,Pilcaya,IGNACIO PAULINO GARCIA FLORES,2009-01-01,2012-09-30,12049,Ignacio Paulino,Garcia,Flores
3510,Pilcaya,SANDRA VELAZQUEZ LARA,2012-10-01,2015-09-29,12049,Sandra,Velazquez,Lara
3511,Pilcaya,ELLERY GUADALUPE FIGUEROA MACEDO,2015-09-30,2018-09-30,12049,Ellery Guadalupe,Figueroa,Macedo
3512,Pilcaya,SANDRA VELAZQUEZ LARA,2018-10-01,2024-08-31,12049,Sandra,Velazquez,Lara
3513,Pilcaya,FERNANDO AVILA ZAGAL,2024-09-01,2027-08-31,12049,Fernando,Avila,Zagal
3514,Pungarabato,AMBROSIO SOTO DUARTE,2002-01-12,2005-01-11,12050,Ambrosio,Soto,Duarte
3515,Pungarabato,VICTOR ADOLFO MOJICA WENCES,2005-01-12,2008-12-31,12050,Victor Adolfo,Mojica,Wences
3516,Pungarabato,JESUS CASTILLO ROMERO,2009-01-01,2012-09-29,12050,Jesus,Castillo,Romero
3517,Pungarabato,REYNEL RODRIGUEZ MUÑOZ,2012-09-30,2015-09-29,12050,Reynel,Rodriguez,Muñoz
3518,Pungarabato,AMBROSIO SOTO DUARTE,2015-09-30,2016-07-17,12050,Ambrosio,Soto,Duarte
3519,Pungarabato,DANIEL BASULTO DE NOVA,2016-07-18,2018-09-30,12050,Daniel Basulto,De,Nova
3520,Pungarabato,REYNEL RODRIGUEZ MUÑOZ,2018-10-01,2021-09-29,12050,Reynel,Rodriguez,Muñoz
3521,Pungarabato,CUAUHTEMOC MASTACHI AGUARIO,2021-09-30,2024-08-31,12050,Cuauhtemoc,Mastachi,Aguario
3522,Pungarabato,BRENDA JANETH NUÑEZ PEÑALOZA,2024-09-01,2027-08-31,12050,Brenda Janeth,Nuñez,Peñaloza
3523,Quechultenango,BERNARDO ORTEGA JIMENEZ,2002-01-12,2005-01-11,12051,Bernardo,Ortega,Jimenez
3524,Quechultenango,NAPOLEON SILVA GARCIA,2005-01-12,2008-12-31,12051,Napoleon,Silva,Garcia
3525,Quechultenango,LEONEL ANGEL NAVA,2009-01-01,2012-09-28,12051,Leonel,Angel,Nava
3526,Quechultenango,ANTONIO NAVARRETE CORTEZ,2012-09-29,2015-09-29,12051,Antonio,Navarrete,Cortez
3527,Quechultenango,ALBERTO RODRIGUEZ JIMENEZ,2015-09-30,2018-09-30,12051,Alberto,Rodriguez,Jimenez
3528,Quechultenango,CRISOFORO CASTRO CASTRO,2018-10-01,2024-08-31,12051,Crisoforo,Castro,Castro
3529,Quechultenango,DAVID ASTUDILLO MORALES,2024-09-01,2027-08-31,12051,David,Astudillo,Morales
3530,San Luis Acatlán,GENARO VAZQUEZ SOLIS,2002-01-12,2005-01-11,12052,Genaro,Vazquez,Solis
3531,San Luis Acatlán,SANTACRUZ NAVA LEZAMA,2005-01-12,2008-12-31,12052,Santacruz,Nava,Lezama
3533,San Luis Acatlán,VICARIO PORTILLO MARTINEZ,2009-01-01,2012-09-29,12052,Vicario,Portillo,Martinez
3534,San Luis Acatlán,ALEJANDRO CONTRERAS VELASCO,2012-09-30,2015-09-29,12052,Alejandro,Contreras,Velasco
3535,San Luis Acatlán,JAVIER VAZQUEZ GARCIA,2015-09-30,2018-09-30,12052,Javier,Vazquez,Garcia
3536,San Luis Acatlán,AGUSTIN RICARDO MORALES,2018-10-01,2021-09-29,12052,Agustin,Ricardo,Morales
3537,San Luis Acatlán,ADAIR HERNANDEZ MARTINEZ,2021-09-30,2027-08-31,12052,Adair,Hernandez,Martinez
3538,San Marcos,FERNANDO SOTELO DEL CARMEN,2002-01-12,2005-01-11,12053,Fernando Sotelo,Del,Carmen
3539,San Marcos,ARMANDO BIBIANO GARCIA,2005-01-12,2008-12-31,12053,Armando,Bibiano,Garcia
3540,San Marcos,ARTURO HEREDIA AGATON,2009-01-01,2012-09-29,12053,Arturo,Heredia,Agaton
3541,San Marcos,GUSTAVO VILLANUEVA BARRERA,2012-09-30,2015-09-29,12053,Gustavo,Villanueva,Barrera
3542,San Marcos,JUAN CARLOS MOLINA VILLANUEVA,2015-09-30,2018-09-30,12053,Juan Carlos,Molina,Villanueva
3543,San Marcos,TOMAS HERNANDEZ PALMA,2018-10-01,2024-08-31,12053,Tomas,Hernandez,Palma
3544,San Marcos,MISAEL LORENZO CASTILLO,2024-09-01,2027-08-31,12053,Misael,Lorenzo,Castillo
3545,San Miguel Totolapan,DANIEL TORRES GARCIA,2002-01-12,2005-01-11,12054,Daniel,Torres,Garcia
3546,San Miguel Totolapan,MIGUEL JAIMES PALACIOS,2005-01-12,2008-12-31,12054,Miguel,Jaimes,Palacios
3547,San Miguel Totolapan,EDGY JULIAN GOMEZ,2009-01-01,2012-09-30,12054,Edgy,Julian,Gomez
3548,San Miguel Totolapan,SAUL BELTRAN OROZCO,2012-10-01,2015-09-29,12054,Saul,Beltran,Orozco
3549,San Miguel Totolapan,JUAN MENDOZA ACOSTA,2015-09-30,2021-09-29,12054,Juan,Mendoza,Acosta
3550,San Miguel Totolapan,CONRADO MENDOZA ALMEDA,2021-09-30,2024-08-31,12054,Conrado,Mendoza,Almeda
3551,San Miguel Totolapan,ARTURO JULIAN GOMEZ,2024-09-01,2027-08-31,12054,Arturo,Julian,Gomez
3552,Taxco de Alarcón,ABRAHAM PONCE GUADARRAMA,2002-01-12,2005-01-11,12055,Abraham,Ponce,Guadarrama
3553,Taxco de Alarcón,RAMIRO JAIMES GOMEZ,2005-01-12,2008-12-31,12055,Ramiro,Jaimes,Gomez
3554,Taxco de Alarcón,SALOMON MAJUL GONZALEZ,2012-09-30,2015-09-29,12055,Salomon,Majul,Gonzalez
3555,Taxco de Alarcón,OMAR JALIL FLORES MAJUL,2015-09-30,2018-09-30,12055,Omar Jalil,Flores,Majul
3556,Taxco de Alarcón,MARCOS EFREN PARRA GOMEZ,2018-10-01,2021-09-29,12055,Marcos Efren,Parra,Gomez
3557,Taxco de Alarcón,MARIO FIGUEROA MUNDO,2021-09-30,2024-08-31,12055,Mario,Figueroa,Mundo
3558,Taxco de Alarcón,JUAN ANDRES VEGA CARRANZA,2024-09-01,2027-08-31,12055,Juan Andres,Vega,Carranza
3559,Tecoanapa,IGNACIO LUNA GERONIMO,2002-01-12,2005-01-11,12056,Ignacio,Luna,Geronimo
3560,Tecoanapa,ALVARO MORALES GARCIA,2005-01-12,2008-12-31,12056,Alvaro,Morales,Garcia
3561,Tecoanapa,JUVENAL POBLETE VELAZQUEZ,2009-01-01,2012-09-29,12056,Juvenal,Poblete,Velazquez
3562,Tecoanapa,MANUEL QUIÑONEZ CORTES,2012-09-30,2015-09-29,12056,Manuel,Quiñonez,Cortes
3563,Tecoanapa,RENE MORALES LEYVA,2015-09-30,2018-09-30,12056,Rene,Morales,Leyva
3564,Tecoanapa,HENOS ROQUE RAMIREZ,2018-10-01,2021-09-29,12056,Henos,Roque,Ramirez
3565,Tecoanapa,CARMEN ILIANA CASTILLO AVILA,2021-09-30,2024-08-31,12056,Carmen Iliana,Castillo,Avila
3566,Tecoanapa,JUVENAL POBLETE VELAZQUEZ,2024-09-01,2027-08-31,12056,Juvenal,Poblete,Velazquez
3567,Técpan de Galeana,JESUS ORBE TORRES,2002-01-12,2005-01-11,12057,Jesus,Orbe,Torres
3568,Técpan de Galeana,ELFEGO MARTINEZ GONZALEZ,2005-01-12,2008-12-31,12057,Elfego,Martinez,Gonzalez
3569,Técpan de Galeana,FRANCISCO JAVIER LOPEZ MANDUJANO,2009-01-01,2012-09-29,12057,Francisco Javier,Lopez,Mandujano
3570,Técpan de Galeana,CRISOFORO OTERO HEREDIA,2012-09-30,2015-09-29,12057,Crisoforo,Otero,Heredia
3571,Técpan de Galeana,LEOPOLDO SOBERANIS HERNANDEZ,2015-09-30,2018-09-30,12057,Leopoldo,Soberanis,Hernandez
3572,Técpan de Galeana,JESUS YASIR DELOYA DIAZ,2018-10-01,2024-08-31,12057,Jesus Yasir,Deloya,Diaz
3573,Técpan de Galeana,ALBA IRIS SOBERANIS HERNANDEZ,2024-09-01,2027-08-31,12057,Alba Iris,Soberanis,Hernandez
3574,Teloloapan,MODESTO BRITO GONZALEZ,2002-01-12,2005-01-11,12058,Modesto,Brito,Gonzalez
3575,Teloloapan,TIMOTEO MANJARREZ MEDINA,2005-01-12,2008-12-31,12058,Timoteo,Manjarrez,Medina
3576,Teloloapan,GABRIEL OLMO SALGADO,2009-01-01,2012-09-29,12058,Gabriel,Olmo,Salgado
3577,Teloloapan,ROBELL URIOSTEGUI PATIÑO,2015-09-30,2018-09-30,12058,Robell,Uriostegui,Patiño
3578,Teloloapan,EFREN ANGEL ROMERO SOTELO,2018-10-01,2021-09-29,12058,Efren Angel,Romero,Sotelo
3579,Teloloapan,HOMERO HURTADO FLORES,2021-09-30,2024-08-31,12058,Homero,Hurtado,Flores
3580,Teloloapan,NARVEL MOJICA SOTELO,2024-09-01,2027-08-31,12058,Narvel,Mojica,Sotelo
3581,Tepecoacuilco de Trujano,PABLO LANDA SOTELO,2002-01-12,2005-01-11,12059,Pablo,Landa,Sotelo
3582,Tepecoacuilco de Trujano,IGNACIO OCAMPO ZAVALETA,2005-01-12,2008-12-31,12059,Ignacio,Ocampo,Zavaleta
3583,Tepecoacuilco de Trujano,IGNACIO GONGORA LIZAMA,2009-01-01,2012-09-29,12059,Ignacio,Gongora,Lizama
3584,Tepecoacuilco de Trujano,ANTONIO GALARZA ZAVALETA,2012-09-30,2015-09-29,12059,Antonio,Galarza,Zavaleta
3585,Tepecoacuilco de Trujano,JULIO ALBERTO GALARZA CASTRO,2015-09-30,2018-09-30,12059,Julio Alberto,Galarza,Castro
3586,Tepecoacuilco de Trujano,IGNACIO OCAMPO ZAVALETA,2018-10-01,2021-09-29,12059,Ignacio,Ocampo,Zavaleta
3587,Tepecoacuilco de Trujano,FELIX LOPEZ OLIVARES,2021-09-30,2024-08-31,12059,Felix,Lopez,Olivares
3588,Tepecoacuilco de Trujano,JULIO ALBERTO GALARZA CASTRO,2024-09-01,2027-08-31,12059,Julio Alberto,Galarza,Castro
3589,Tetipac,SERAFIN AYALA RAMOS,2002-01-12,2005-01-11,12060,Serafin,Ayala,Ramos
3590,Tetipac,ABEL URIBE LANDA,2005-01-12,2008-12-31,12060,Abel,Uribe,Landa
3591,Tetipac,JOSE MARIO GOMEZ FIGUEROA,2009-01-01,2012-09-29,12060,Jose Mario,Gomez,Figueroa
3592,Tetipac,NESTOR SERRANO RODRIGUEZ,2012-09-30,2015-09-29,12060,Nestor,Serrano,Rodriguez
3593,Tetipac,VIOLA FIGUEROA ARRIAGA,2015-09-30,2018-09-30,12060,Viola,Figueroa,Arriaga
3594,Tetipac,VICENTE JAIMES ZAGAL,2018-10-01,2021-09-29,12060,Vicente,Jaimes,Zagal
3595,Tetipac,BARBARA MERCADO ARCE,2021-09-30,2024-08-31,12060,Barbara,Mercado,Arce
3596,Tetipac,RITA PATIÑO MUÑOZ,2024-09-01,2027-08-31,12060,Rita,Patiño,Muñoz
3597,Tixtla de Guerrero,EDGARDO ASTUDILLO MORALES,2002-01-12,2005-01-11,12061,Edgardo,Astudillo,Morales
3598,Tixtla de Guerrero,ROGELIO NAVA PERALTA,2005-01-12,2008-12-31,12061,Rogelio,Nava,Peralta
3599,Tixtla de Guerrero,JORGE LUIS CAMPOS ESPIRITU,2009-01-01,2012-09-30,12061,Jorge Luis,Campos,Espiritu
3600,Tixtla de Guerrero,GUSTAVO ALFREDO ALCARAZ ABARCA,2012-10-01,2015-09-29,12061,Gustavo Alfredo,Alcaraz,Abarca
3601,Tixtla de Guerrero,SAUL NAVA ASTUDILLO,2015-09-30,2018-09-30,12061,Saul,Nava,Astudillo
3602,Tixtla de Guerrero,ERIKA ALCARAZ SOSA,2018-10-01,2021-09-29,12061,Erika,Alcaraz,Sosa
3603,Tixtla de Guerrero,MOISES ANTONIO GONZALEZ CABAÑAS,2021-09-30,2024-08-31,12061,Moises Antonio,Gonzalez,Cabañas
3604,Tixtla de Guerrero,ALBERTO MICHI CAMPOS,2024-09-01,2027-08-31,12061,Alberto,Michi,Campos
3605,Tlacoachistlahuaca,REY HERNANDEZ GARCIA,2002-01-12,2005-01-11,12062,Rey,Hernandez,Garcia
3606,Tlacoachistlahuaca,ELOY SALMERON DIAZ,2005-01-12,2005-12-31,12062,Eloy,Salmeron,Diaz
3607,Tlacoachistlahuaca,ELOY SALMERON DÍAZ,2006-01-01,2008-12-31,12062,Eloy,Salmeron,Díaz
3608,Tlacoachistlahuaca,OSVALDO SOCRATES SALMERON GUERRERO,2009-01-01,2012-09-29,12062,Osvaldo Socrates,Salmeron,Guerrero
3609,Tlacoachistlahuaca,AMANDO RAMOS BRITO,2012-09-30,2015-09-29,12062,Amando,Ramos,Brito
3610,Tlacoachistlahuaca,JUAN JAVIER CARMONA VILLAVICENCIO,2015-09-30,2018-09-30,12062,Juan Javier,Carmona,Villavicencio
3611,Tlacoachistlahuaca,BASILIO FLORENTINO DIAZ,2018-10-01,2021-09-29,12062,Basilio,Florentino,Diaz
3612,Tlacoachistlahuaca,YARETH SARAI PINEDA ARCE,2021-09-30,2024-08-31,12062,Yareth Sarai,Pineda,Arce
3613,Tlacoachistlahuaca,EMMANUEL CUEVAS RODRÍGUEZ,2024-09-01,2027-08-31,12062,Emmanuel,Cuevas,Rodríguez
3614,Tlacoapa,JESUS NAVARRO SIERRA,2002-01-12,2005-01-11,12063,Jesus,Navarro,Sierra
3615,Tlacoapa,LORENZO ARCE TAMARIT,2005-01-12,2008-12-31,12063,Lorenzo,Arce,Tamarit
3616,Tlacoapa,TEOFILO BERISTAIN GALVEZ,2009-01-01,2012-09-29,12063,Teofilo,Beristain,Galvez
3617,Tlacoapa,EFREN MERINO SIERRA,2012-09-30,2015-09-29,12063,Efren,Merino,Sierra
3618,Tlacoapa,DAVID GABINO GONZALEZ,2015-09-30,2018-09-30,12063,David,Gabino,Gonzalez
3619,Tlacoapa,ALFREDO CANTU FAUSTINO,2018-10-01,2021-09-29,12063,Alfredo,Cantu,Faustino
3620,Tlacoapa,AMADO BASURTO GALVEZ,2021-09-30,2024-08-31,12063,Amado,Basurto,Galvez
3621,Tlacoapa,ALFREDO CANTU FAUSTINO,2024-09-01,2027-08-31,12063,Alfredo,Cantu,Faustino
3622,Tlalchapa,MARIA GUADALUPE EGUILUZ BAUTISTA,2002-01-12,2005-01-11,12064,Maria Guadalupe,Eguiluz,Bautista
3623,Tlalchapa,EPIFANIO SERRATO SANCHEZ,2005-01-12,2008-12-31,12064,Epifanio,Serrato,Sanchez
