id,state.name,state.code,name,full_code
160,Chiapas,7,Simojovel,7081
161,Chiapas,7,Sitalá,7082
162,Chiapas,7,Socoltenango,7083
163,Chiapas,7,Solosuchiapa,7084
164,Chiapas,7,Soyaló,7085
165,Chiapas,7,Suchiapa,7086
166,Chiapas,7,Suchiate,7087
167,Chiapas,7,Sunuapa,7088
168,Chiapas,7,Tapachula,7089
169,Chiapas,7,Tapalapa,7090
170,Chiapas,7,Tapilula,7091
171,Chiapas,7,Tecpatán,7092
172,Chiapas,7,Tenejapa,7093
173,Chiapas,7,Teopisca,7094
174,Chiapas,7,Tila,7096
175,Chiapas,7,Tonalá,7097
176,Chiapas,7,Totolapa,7098
177,Chiapas,7,La Trinitaria,7099
178,Chiapas,7,Tumbalá,7100
179,Chiapas,7,Tuxtla Gutiérrez,7101
180,Chiapas,7,Tuxtla Chico,7102
181,Chiapas,7,Tuzantán,7103
182,Chiapas,7,Tzimol,7104
183,Chiapas,7,Unión Juárez,7105
184,Chiapas,7,Venustiano Carranza,7106
185,Chiapas,7,Villa Corzo,7107
186,Chiapas,7,Villaflores,7108
187,Chiapas,7,Yajalón,7109
188,Chiapas,7,San Lucas,7110
189,Chiapas,7,Zinacantán,7111
190,Chiapas,7,San Juan Cancuc,7112
191,Chiapas,7,Aldama,7113
192,Chiapas,7,Benemérito de las Américas,7114
193,Chiapas,7,Maravilla Tenejapa,7115
194,Chiapas,7,Marqués de Comillas,7116
195,Chiapas,7,Montecristo de Guerrero,7117
196,Chiapas,7,San Andrés Duraznal,7118
197,Chiapas,7,Santiago el Pinar,7119
198,Chihuahua,8,Ahumada,8001
199,Chihuahua,8,Aquiles Serdán,8004
200,Chihuahua,8,Ascensión,8005
201,Chihuahua,8,Bachíniva,8006
202,Chihuahua,8,Balleza,8007
203,Chihuahua,8,Batopilas,8008
204,Chihuahua,8,Bocoyna,8009
205,Chihuahua,8,Buenaventura,8010
206,Chihuahua,8,Camargo,8011
207,Chihuahua,8,Carichí,8012
208,Chihuahua,8,Casas Grandes,8013
209,Chihuahua,8,Coronado,8014
210,Chihuahua,8,Coyame del Sotol,8015
211,Chihuahua,8,La Cruz,8016
212,Chihuahua,8,Cusihuiriachi,8018
213,Chihuahua,8,Chihuahua,8019
214,Chihuahua,8,Chínipas,8020
215,Chihuahua,8,Delicias,8021
216,Chihuahua,8,Dr. Belisario Domínguez,8022
217,Chihuahua,8,Galeana,8023
218,Chihuahua,8,Santa Isabel,8024
219,Chihuahua,8,Gómez Farías,8025
220,Chihuahua,8,Gran Morelos,8026
221,Chihuahua,8,Guachochi,8027
222,Chihuahua,8,Guadalupe,8028
223,Chihuahua,8,Guadalupe y Calvo,8029
224,Chihuahua,8,Guazapares,8030
225,Chihuahua,8,Hidalgo del Parral,8032
226,Chihuahua,8,Huejotitán,8033
227,Chihuahua,8,Ignacio Zaragoza,8034
228,Chihuahua,8,Janos,8035
229,Chihuahua,8,Julimes,8038
230,Chihuahua,8,López,8039
231,Chihuahua,8,Madera,8040
232,Chihuahua,8,Maguarichi,8041
233,Chihuahua,8,Manuel Benavides,8042
234,Chihuahua,8,Matachí,8043
