DATE,MUNICIPALITY,ORGANIZATION,TYPE
2020-01-15 00:00:00 UTC,San Martín Chalchicuautla,Cártel Jalisco Nueva Generación,Narcomensaje
2020-01-15 00:00:00 UTC,Tampacán,Cártel Jalisco Nueva Generación,Narcomensaje
