ZONA METROPOLITANA,MUNICIPIO,FECHA EJECUCIÓN,NÚM MUERTOS EJECUCIÓN,TIPO DE LUGAR,FUENTES
La Laguna,Torreón,09/03/2019,1,"",https://democratacoahuila.com/2019/03/09/nueva-victima-de-la-inseguridad-que-vive-torreon-asesinan-a-joven-de-21-anos/ 
La Laguna,Torreón,10/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/11/mueren-acribillados-785075.html 
La Laguna,Torreón,10/11/2019,1,Calle,https://www.elsiglodetorreon.com.mx/noticia/1640528.localizan-cuerpo-sin-vida-en-vivienda-de-la-colonia-la-merced-ii.html 
La Laguna,Torreón,10/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/11/mueren-acribillados-785075.html 
La Laguna,Torreón,11/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/12/asesinan-menor-edad-torreon-785322.html 
La Laguna,Torreón,11/04/2019,1,En su casa,http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/12/allanan-domicilio-ultiman-sujeto-807336.html 
La Laguna,Torreón,11/06/2019,1,Vía pública,https://www.eldiariodecoahuila.com.mx/seguridad/2019/6/14/muere-tras-recibir-balazo-en-la-cabeza-821425.html https://www.elsiglodetorreon.com.mx/noticia/1586553.muere-hombre-que-fue-baleado-en-el-centro-de-torreon.html 
La Laguna,Torreón,12/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/13/despachan-tiro-cabeza-785548.html 
La Laguna,Torreón,12/03/2019,1,"",https://democratacoahuila.com/2019/03/12/1comerciantes-es-abatido-a-tiros-por-dos-hombres-que-viajaban-en-moto/ 
La Laguna,Torreón,14/05/2019,1,"",https://democratacoahuila.com/2019/05/14/ejecutan-a-uno-mas-no-cesan-las-ejecuciones-en-calles-de-torreon/ http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/15/hallan-cadaver-desnudo-huellas-violencia-815027.html 
--,Acuña,30/07/2019,1,"",https://www.eldiariodecoahuila.com.mx/locales/policiaca/2019/8/1/hallan-enterrado-persona-en-el-patio-trasero-de-vivienda-831136.html 
La Laguna,Torreón,14/10/2019,1,Calle,https://democratacoahuila.com/2019/10/14/ejecutan-a-uno-en-la-duranguena-le-dan-balazo-en-la-cabeza/ https://www.elsiglodetorreon.com.mx/noticia/1630613.fallece-hombre-por-impacto-de-bala-en-la-duranguena.html 
La Laguna,Torreón,15/03/2019,1,"",https://democratacoahuila.com/2019/03/15/siembra-el-terror-la-banda-del-torniquete-ahora-ejecuta-a-jovencita/ 
La Laguna,Torreón,15/02/2019,1,"",https://democratacoahuila.com/2019/02/15/encuentran-a-hombre-encajuelado-lo-mataron-a-cuchilladas/ https://informatelaguna.com/2019/02/15/hallan-un-encajuelado-en-ejido-de-torreon/ 
La Laguna,Torreón,15/09/2019,1,Casa,https://www.elsiglodetorreon.com.mx/noticia/1619794.aun-sin-identificar-mujer-asesinada-en-la-colonia-torreon-y-anexas.html https://www.elsiglodetorreon.com.mx/noticia/1618643.localizan-a-mujer-muerta-en-la-colonia-torreon-y-anexas.html 
La Laguna,Torreón,16/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/17/acribillan-menos-tres-horas-786439.html 
La Laguna,Torreón,16/10/2019,1,Vía pública,https://informatelaguna.com/2019/10/16/asesinan-a-joven-en-la-colonia-el-arenal/ https://www.eldiariodecoahuila.com.mx/seguridad/2019/10/17/ejecutan-peaton-847354.html 
La Laguna,Torreón,16/05/2019,1,"",https://www.milenio.com/policia/encuentran-cuerpo-de-mujer-en-la-colonia-aviacion http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/16/muere-policia-sufrio-ataque-armado-815448.html 
La Laguna,Torreón,16/12/2019,1,Hospital,https://informatelaguna.com/2019/12/16/muere-el-joven-abogado-baleado-en-su-auto/ https://informatelaguna.com/2019/12/04/balean-a-joven-abogado-afuera-del-hotel-calvete/ 
La Laguna,Torreón,17/11/2019,1,Vía Pública,https://www.elsoldehidalgo.com.mx/republica/sociedad/balacera-mancha-desfile-de-torreon-muere-una-mujer-4468225.html https://laverdadnoticias.com/crimen/Matan-a-mujer-durante-desfile-en-el-centro-de-Torreon-era-maestra-VIDEO-20191117-0147.html 
La Laguna,Torreón,18/01/2019,1,"",https://vanguardia.com.mx/articulo/encuentran-en-el-ejido-de-torreon-cuerpo-de-ejecutado http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/20/hallan-cuerpo-tenia-tiro-cabeza-787159.html 
La Laguna,Torreón,18/11/2019,1,Banqueta,https://informatelaguna.com/2019/11/18/asesinan-a-sujeto-en-la-colonia-division-del-norte/ 
La Laguna,Torreón,19/07/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1599654.hallan-a-joven-sin-vida-en-colonia-pancho-villa-de-torreon.html https://www.eldiariodecoahuila.com.mx/locales/policiaca/2019/7/21/balazos-acaban-con-la-vida-de-un-joven-de-24-anos-829022.html 
La Laguna,Torreón,19/04/2019,1,Hospital,http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/20/muere-baleado-tras-agonia-809206.html 
La Laguna,Torreón,19/01/2019,1,Taxi,https://www.elsiglodetorreon.com.mx/noticia/1538601.matan-a-taxista-en-la-colonia-abastos-de-torreon.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/21/ejecutan-taxista-calles-torreon-787289.html 
La Laguna,Torreón,19/09/2019,1,Calle,https://democratacoahuila.com/2019/09/19/disparan-a-hombre-7-veces-dos-balas-impactan-su-espalda-y-muere/ 
La Laguna,Torreón,20/06/2019,1,Vía Pública,https://www.elsiglodetorreon.com.mx/noticia/1588735.balean-y-matan-a-hombre-en-la-moderna.html https://democratacoahuila.com/2019/06/19/termina-la-falsa-paz-de-torreon-ejecutan-a-balazos-a-uno-en-la-moderna/ 
La Laguna,Torreón,20/08/2019,1,"",https://www.milenio.com/policia/encuentran-cuerpo-de-hombre-al-oriente-de-torreon https://informatelaguna.com/2019/08/20/hallan-cuerpo-encobijado-en-el-ejido-el-aguila/ 
La Laguna,Torreón,21/01/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1539031.asesinan-a-hombre-afuera-de-un-bar-del-sector-alianza-hay-un-lesionado.html https://www.elsiglodetorreon.com.mx/noticia/1539208.lo-asesinan-a-tiros-en-sector-alianza-de-torreon.html 
La Laguna,Torreón,21/11/2019,1,Calle,https://laverdadnoticias.com/crimen/En-Coahuila-hallan-cuerpo-DESCUARTIZADO-dentro-de-maleta-20191122-0151.html https://www.milenio.com/policia/en-torreon-andonan-cuerpo-de-hombre-dentro-de-maleta 
La Laguna,Torreón,21/09/2019,1,Automóvil,https://www.elsiglodetorreon.com.mx/noticia/1621985.identifican-a-joven-muerto-por-agentes-en-diagonal-reforma.html https://informatelaguna.com/2019/09/19/elementos-del-gate-persiguen-y-balean-a-dos-uno-muere/ 
La Laguna,Torreón,21/01/2019,1,"",https://www.valorportamaulipas.info/2019/01/lo-torturan-y-matan-abandonado-en.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/22/reportan-cadaver-torniquete-otro-encobijado-787543.html 
La Laguna,Torreón,22/09/2019,1,Vía Pública,https://www.elsiglodetorreon.com.mx/noticia/1622195.localizan-osamenta-de-mujer-en-ejido.html 
La Laguna,Torreón,22/10/2019,1,Local comercial,https://democratacoahuila.com/2019/10/22/entra-sicario-a-una-tienda-pide-cigarros-y-ejecuta-a-comerciante/ https://informatelaguna.com/2019/10/22/matan-a-balazos-a-comerciante-de-la-concha/ 
La Laguna,Torreón,22/10/2019,1,Hospital,https://informatelaguna.com/2019/10/22/mure-en-el-imss-joven-baleado/ 
La Laguna,Torreón,23/02/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/2/23/hallan-cadaver-balazos-794500.html https://democratacoahuila.com/2019/02/23/torturan-a-joven-y-luego-lo-ejecutan-de-dos-balazos-en-la-cabeza/ 
La Laguna,Torreón,23/08/2019,1,"",https://informatelaguna.com/2019/08/23/asesinan-a-balazos-a-probable-automovilista/ https://www.elsiglodetorreon.com.mx/noticia/1611907.matan-de-siete-disparos-a-taxista-en-torreon.html 
La Laguna,Torreón,24/07/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1600966.asesinan-de-tres-balazos-a-joven-en-torreon.html https://www.eldiariodecoahuila.com.mx/locales/policiaca/2019/7/25/ejecutan-de-tres-tiros-un-joven-829781.html 
La Laguna,Torreón,24/10/2019,1,Calle,https://informatelaguna.com/2019/10/25/matan-a-joven-en-la-colonia-san-joaquin/ 
La Laguna,Torreón,25/01/2019,1,Estacionamiento,https://www.elsiglodetorreon.com.mx/noticia/1540476.asesinan-a-un-hombre-en-el-estacionamiento-del-mercado-alianza.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/26/matan-sujeto-mercado-alianza-788508.html 
La Laguna,Torreón,25/02/2019,1,"",https://informatelaguna.com/2019/02/25/lo-matan-por-la-espalda-en-el-ejido-el-aguila-de-torreon/ 
La Laguna,Torreón,26/08/2019,1,"",https://informatelaguna.com/2019/08/26/lo-balean-afuera-de-miscelanea-en-ejido-la-union/ https://www.elsiglodetorreon.com.mx/noticia/1612670.hombre-muere-de-5-balazos-en-hospital-universitario-de-torreon.html 
La Laguna,Torreón,26/09/2019,1,Calle,https://www.elsiglodetorreon.com.mx/noticia/1624734.en-semefo-restos-de-cuerpos-no-identificados.html 
La Laguna,Torreón,27/05/2019,1,Hospital,https://www.elsiglodetorreon.com.mx/noticia/1580837.fallece-mujer-tras-disparo-en-el-rostro.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/29/atentado-cobra-segunda-victima-818128.html 
La Laguna,Torreón,28/11/2019,1,En una casa,https://www.milenio.com/policia/encuentran-cuerpo-de-hombre-al-poniente-de-torreon https://informatelaguna.com/2019/11/28/hallan-en-vivienda-a-joven-asesinado/ 
La Laguna,Torreón,29/09/2019,1,Calle,https://www.elsiglodetorreon.com.mx/noticia/1624932.abandonan-cadaver-en-la-colonia-vicente-guerrero-de-torreon.html 
La Laguna,Torreón,29/12/2019,1,Vía Pública,https://www.elsiglodetorreon.com.mx/noticia/1657416.encuentran-cuerpo-sin-vida-en-la-colonia-ana-de-torreon.html https://informatelaguna.com/2019/12/29/asesinan-a-balazos-a-joven-en-la-colonia-ana/ 
La Laguna,Torreón,30/06/2019,1,Vía Pública,https://democratacoahuila.com/2019/06/30/encuentran-cuerpo-de-hombre-decapitado-junto-a-vias-del-tren/ 
La Laguna,Torreón,30/11/2019,1,Vía Pública,https://www.milenio.com/policia/hallan-mujer-muerta-bote-basura-torreon https://www.milenio.com/policia/mujer-encontrada-muerta-contenedor-basura-policia 
La Laguna,Torreón,31/01/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1542415.matan-a-hombre-frente-a-complejo-la-jabonera.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/2/1/ejecutan-peaton-789782.html 
La Laguna,Torreón,31/08/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1614528.localizan-cuerpo-con-multiples-impactos-de-bala.html https://www.elsiglodetorreon.com.mx/noticia/1614655.hallan-cuerpo-con-impactos-de-bala-en-la-colonia-moderna-de-torreon.html 
La Laguna,Torreón,31/07/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1603435.matan-a-hombre-de-cinco-balazos-en-torreon.html https://democratacoahuila.com/2019/07/31/pasa-3-anos-en-prision-lo-liberan-y-un-comando-lo-ejecuta-de-5-disparos/ 
La Laguna,Torreón,31/12/2019,1,Finca,https://informatelaguna.com/2019/12/31/ejecutan-a-sujeto-en-una-vivienda-de-la-union/ 
--,San Pedro,03/02/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/2/4/asesinaron-sujeto-varios-balazos-790398.html https://informatelaguna.com/2019/02/04/en-el-centro-de-san-pedro-matan-a-uno-a-balazos/ 
--,San Pedro,16/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/17/acribillan-menos-tres-horas-786439.html 
--,San Pedro,18/09/2019,1,Vía Pública,https://www.elsiglodetorreon.com.mx/noticia/1621185.encuentran-cuerpo-putrefacto-en-san-pedro.html 
--,San Pedro,31/07/2019,1,"",https://www.milenio.com/estados/encuentran-cuerpo-en-estado-de-descomposicion-en-carretera 
--,San Juan de Sabinas,15/05/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/16/muere-policia-sufrio-ataque-armado-815448.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/17/muere-policia-sufrio-ataque-armado-815505.html 
--,San Juan de Sabinas,28/04/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/29/ejecutan-jovenes-dejan-narcomensajes-811214.html 
Saltillo,Saltillo,03/06/2019,1,En su casa,https://democratacoahuila.com/2019/06/03/aparece-cuarta-victima-en-casa-de-la-latino-funcionario-podria-estar-entre-los-muertos/ https://democratacoahuila.com/2019/06/03/ejecutan-a-familia-en-la-colonia-latinoamericana-hay-tres-muertos/ 
Saltillo,Saltillo,04/02/2019,1,"",https://democratacoahuila.com/2019/02/04/balacean-y-matan-a-hombre-durante-rina-en-la-colonia-mario-ortiz/ 
Saltillo,Saltillo,07/06/2019,1,Vía Pública,https://www.elsiglodetorreon.com.mx/noticia/1584755.hallan-a-hombre-baleado-en-la-saltillo-torreon.html https://democratacoahuila.com/2019/06/07/1identifican-a-encobijado-vivia-en-mirasierra-lo-mataron-por-ajuste-de-cuentas/ 
Saltillo,Saltillo,10/10/2019,1,Vía pública,https://democratacoahuila.com/2019/10/10/emboscan-civiles-armados-a-estatales-al-repeler-agresion-matan-a-uno/ 
Saltillo,Saltillo,11/10/2019,1,No especificado,https://www.eldiariodecoahuila.com.mx/seguridad/2019/10/11/le-dan-balazo-en-la-cabeza-846031.html 
Saltillo,Saltillo,24/08/2019,1,Lote Baldío,http://www.elsoldenayarit.mx/nota-roja/67669-localizan-sin-vida-a-mujer-desaparecida-en-coahuila https://www.milenio.com/policia/coahuila-encuentran-a-mujer-desmembrada-en-saltillo 
Saltillo,Saltillo,24/03/2019,1,"",https://democratacoahuila.com/2019/03/24/ejecutan-a-uno-en-la-ampliacion-morelos-le-dan-2-balazos-en-la-cabeza/ 
Saltillo,Saltillo,25/05/2019,1,Taxi,http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/26/ejecutan-taxista-lomas-zapaliname-817532.html https://www.elsiglodetorreon.com.mx/noticia/1580641.localizan-a-taxista-sin-vida-en-saltillo.html 
Saltillo,Saltillo,26/04/2019,1,Predio,http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/27/balacera-saltillo-deja-muertos-pertenecian-grupo-delictivo-810892.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/27/ejecutan-mujer-810831.html 
--,Viesca,20/05/2019,1,"",https://www.milenio.com/policia/encuentran-cuerpo-de-mujer-entre-matorrales-de-viesca 
--,Viesca,30/12/2019,1,Camino de Terracería,https://www.elsiglodetorreon.com.mx/noticia/1657775.localizan-a-hombre-sin-vida-en-brecha-de-viesca.html https://informatelaguna.com/2019/12/30/lo-matan-de-un-machetazo-en-el-cuello/ 
La Laguna,Torreón,01/09/2019,1,Casa,https://www.elsiglodetorreon.com.mx/noticia/1614655.hallan-cuerpo-con-impactos-de-bala-en-la-colonia-moderna-de-torreon.html 
La Laguna,Torreón,01/07/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1592618.localizan-a-hombre-fallecido-en-finca-de-torreon.html https://www.elsiglodetorreon.com.mx/noticia/1592715.encuentran-cuerpo-en-finca-de-torreon.html 
La Laguna,Torreón,01/05/2019,1,"",https://informatelaguna.com/2019/05/02/asesinan-a-joven-dentro-de-su-casa/ http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/3/matan-adultos-reporta-policia-nino-lesionado-812229.html 
La Laguna,Torreón,02/07/2019,1,Lote Baldío,https://www.milenio.com/policia/abandonan-cuerpo-hombre-senales-tortura-torreon https://www.elsiglodetorreon.com.mx/noticia/1592878.hallan-cuerpo-sin-vida-en-la-colonia-rincon-del-bosque.html 
La Laguna,Torreón,02/07/2019,1,Casa,https://www.elsiglodetorreon.com.mx/noticia/1592878.hallan-cuerpo-sin-vida-en-la-colonia-rincon-del-bosque.html https://www.elsiglodetorreon.com.mx/noticia/1592715.encuentran-cuerpo-en-finca-de-torreon.html 
La Laguna,Torreón,02/02/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/2/3/acribillan-mujer-afuera-casa-790217.html 
La Laguna,Torreón,02/02/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/2/2/hallan-cadaver-sentado-sillon-impacto-bala-790041.html 
La Laguna,Torreón,02/04/2019,1,"",https://democratacoahuila.com/2019/04/02/asesinan-a-mujer-y-queman-su-cuerpo-para-que-no-sea-identificada/ 
--,Francisco I. Madero,30/09/2019,1,Parajes,https://www.elsiglodetorreon.com.mx/noticia/1625007.encuentran-cadaver-en-francisco-i-madero.html 
Monclova-Frontera,Castaños,01/11/2019,1,Barrancas,https://democratacoahuila.com/2019/11/01/encuentran-restos-humanos-en-castanos-podrian-ser-de-nina-desaparecida/ 
Saltillo,Arteaga,08/02/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/2/8/hallan-cadaver-horas-despues-791426.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/2/8/confirma-necropsia-ejecucion-791480.html 
Saltillo,Arteaga,19/10/2019,1,Vía Pública,https://www.eldiariodecoahuila.com.mx/seguridad/2019/10/19/hallan-restos-oseos-847801.html 
Saltillo,Arteaga,19/12/2019,1,Carretera,https://democratacoahuila.com/2019/12/27/cae-pareja-que-secuestro-y-desmembro-a-una-persona-en-arteaga/ https://democratacoahuila.com/2019/12/20/tiran-cuerpo-desmembrado-en-la-curva-de-bella-union-cdn-se-adjudica-crimen/ 
--,Acuña,07/04/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/7/encuentran-decapitado-costado-brecha-806229.html 
--,Acuña,22/07/2019,1,"",https://www.eldiariodecoahuila.com.mx/locales/policiaca/2019/7/23/tiran-cadaver-con-impactos-de-bala-debajo-de-un-puente-829365.html 
La Laguna,Torreón,14/08/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1608780.localizan-osamenta-cerca-de-planta-tratadora.html 
Saltillo,Saltillo,29/03/2019,1,"",https://democratacoahuila.com/2019/03/29/a-cuchilladas-asesinan-a-el-lavacoches-en-pleno-centro-de-saltillo/ 
--,Sabinas,07/10/2019,1,En su casa,https://democratacoahuila.com/2019/10/07/el-chufo-fue-ejecutado-de-balazo-en-la-cabeza-luego-queman-su-rancho/ 
Saltillo,Ramos Arizpe,20/07/2019,1,"",https://democratacoahuila.com/2019/07/20/por-andar-cobrando-le-pagaron-con-la-muerte-dejan-cuerpo-sosteniendo-billete-de-100-pesos/ 
