ZONA METROPOLITANA,MUNICIPIO,FECHA EJECUCIÓN,NÚM MUERTOS EJECUCIÓN,TIPO DE LUGAR,FUENTES
--,Múzquiz,19/05/2019,1,"",https://democratacoahuila.com/2019/05/19/enfrentamiento-a-balazos-deja-12-muertos-y-una-decena-de-heridos/ https://www.elsoldezacatecas.com.mx/republica/justicia/refriega-entre-policias-y-presuntos-criminales-deja-seis-muertos-en-coahuila-muzquiz-3646921.html 
--,Múzquiz,20/09/2019,1,En su casa,https://democratacoahuila.com/2019/09/20/ejecutan-a-hombre-en-el-barrio-la-nogalera-en-muzquiz/ https://www.eldiariodecoahuila.com.mx/seguridad/2019/9/21/hallan-muerto-desaparecido-841919.html 
--,Múzquiz,27/12/2019,1,"",https://democratacoahuila.com/2019/12/27/noche-sangrienta-en-palau-atacan-a-2-agentes-de-la-policia-investigadora-uno-murio/ https://informatelaguna.com/2019/12/27/otra-vez-atacan-a-policias-en-coahuila-muere-uno/ 
--,Morelos,18/03/2019,1,"",https://democratacoahuila.com/2019/03/18/ejecutado-en-morelos-tenia-vinculos-con-grupos-criminales-seguridad/ 
Monclova-Frontera,Monclova,16/11/2019,1,Arroyo,https://democratacoahuila.com/2019/11/16/1cdg-ejecuta-a-joven-tiran-su-cuerpo-en-el-rio-monclova/ 
Monclova-Frontera,Monclova,16/09/2019,1,Casa,https://democratacoahuila.com/2019/09/16/el-chachalaco-fue-ejecutado-por-el-cdn-le-dan-un-balazo-en-la-cabeza/ https://informatelaguna.com/2019/09/16/ejecutan-a-probable-narco-menudista-y-dejan-mensaje/ 
Monclova-Frontera,Monclova,18/07/2019,1,"",https://democratacoahuila.com/2019/07/18/asesino-a-mujer-en-la-colonia-progreso-e-intento-deshacerse-del-cuerpo/ 
Monclova-Frontera,Monclova,18/04/2019,1,En su casa,https://democratacoahuila.com/2019/04/18/asesinan-a-hombre-en-el-interior-de-su-casa-en-la-colonia-el-pueblo/ 
Monclova-Frontera,Monclova,18/07/2019,1,Vía Pública,https://democratacoahuila.com/2019/07/18/ejecutan-a-el-monchis-y-dejan-narcomensaje-sobre-su-cuerpo/ https://www.eldiariodecoahuila.com.mx/seguridad/2019/7/19/lo-matan-en-monclova-828595.html 
Monclova-Frontera,Monclova,27/04/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/28/matan-hieren-otro-811032.html 
Monclova-Frontera,Monclova,29/04/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/29/ejecutan-jovenes-dejan-narcomensajes-811214.html 
Monclova-Frontera,Monclova,31/03/2019,1,"",https://democratacoahuila.com/2019/03/31/comerciante-denuncia-abusos-de-fuerza-coahuila-y-la-ejecutan/ https://democratacoahuila.com/2019/03/31/fuerza-coahuila-estaria-detras-de-ejecucion-de-vivi-fiscalia-ya-investiga/ 
La Laguna,Matamoros,01/05/2019,1,"",https://informatelaguna.com/2019/05/01/muere-en-el-imss-ejidatario-baleado-en-matamoros/ http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/3/matan-adultos-reporta-policia-nino-lesionado-812229.html 
La Laguna,Matamoros,02/09/2019,1,Vía pública,https://informatelaguna.com/2019/09/02/matan-a-balazos-a-ejidatario-de-matamoros/ 
La Laguna,Matamoros,05/03/2019,1,"",https://democratacoahuila.com/2019/03/06/arrojan-desde-un-trailer-cuerpo-desmembrado-de-un-hombre/ 
La Laguna,Matamoros,07/08/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1606350.hallan-restos-en-relleno-sanitario-de-matamoros.html 
La Laguna,Matamoros,07/09/2019,1,Local comercial,https://democratacoahuila.com/2019/09/07/asesinan-a-el-pantera-dentro-de-expendio-de-cerveza/ https://informatelaguna.com/2019/09/07/matan-empleado-del-restaurant-el-viejo-oeste/ 
La Laguna,Matamoros,10/11/2019,1,En una casa,https://informatelaguna.com/2019/11/10/con-un-balazo-en-la-cabeza-hallan-encobijado-a-un-capitan-del-ejercito-mexicano/ https://www.elsiglodetorreon.com.mx/noticia/1640349.encuentran-muerto-a-militar-en-su-domicilio-en-matamoros.html 
La Laguna,Matamoros,11/09/2019,1,Vía Pública,https://www.elsiglodetorreon.com.mx/noticia/1618269.encuentran-cuerpo-putrefacto-de-hombre-en-matamoros.html 
La Laguna,Matamoros,15/06/2019,1,Lote Baldío,https://www.elsiglodetorreon.com.mx/noticia/1587103.hallan-cuerpo-en-pozo-de-matamoros.html 
La Laguna,Matamoros,21/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/22/reportan-cadaver-torniquete-otro-encobijado-787543.html https://www.elsiglodetorreon.com.mx/noticia/1539223.hallan-cuerpo-en-ejido-de-matamoros.html 
La Laguna,Matamoros,24/12/2019,1,Camino de Terracería,https://www.elsiglodetorreon.com.mx/noticia/1656020.localizan-a-hombre-sin-vida-en-ejido-de-matamoros.html https://informatelaguna.com/2019/12/24/hallan-en-ejido-el-cuije-un-cuerpo-acuchillado/ 
La Laguna,Matamoros,25/09/2019,1,Lote Baldío,https://www.eldiariodecoahuila.com.mx/seguridad/2019/9/25/tiran-cadaver-en-una-bolsa-para-basura-842726.html https://informatelaguna.com/2019/09/24/dejan-cadaver-embolsado-en-matamoros/ 
La Laguna,Matamoros,29/01/2019,1,Predio,http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/29/hallan-kilos-restos-calcinados-789099.html 
--,Hidalgo,31/05/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/31/hallan-cadaver-impactos-bala-818506.html 
--,General Cepeda,05/09/2019,1,Vía Pública,https://www.eldiariodecoahuila.com.mx/seguridad/2019/9/5/localizan-mujer-sin-vida-con-huellas-de-violencia-838555.html https://democratacoahuila.com/2019/09/05/ejecutan-a-joven-mujer-en-paradero-de-la-saltillo-torreon/ 
--,General Cepeda,08/06/2019,1,Vía Pública,https://www.eldiariodecoahuila.com.mx/seguridad/2019/6/8/ejecutan-vulcanizador-820186.html 
--,Francisco I. Madero,04/07/2019,1,Canal de Riego,https://www.milenio.com/policia/coahuila-hallan-cuerpo-en-canal-de-riego https://www.elsiglodetorreon.com.mx/noticia/1593951.hallan-cuerpo-en-el-ejido-san-agustin.html 
--,Francisco I. Madero,04/08/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1605442.hombre-fallece-apunalado-en-ejido-de-madero.html 
--,Francisco I. Madero,09/03/2019,1,"",https://democratacoahuila.com/2019/03/09/ejecutan-a-hombre-mientras-dormia-le-dan-cuatro-balazos/ 
--,Hidalgo,29/05/2019,0,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/29/abaten-enfrentamiento-hidalgo-coahuila-818275.html https://democratacoahuila.com/2019/05/29/son-dos-los-muertos-abatidos-durante-enfrentamiento-en-piedras-negras/ 
--,Acuña,22/05/2019,0,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/22/abaten-fuerzas-seguridad-civiles-armados-acuna-816734.html https://democratacoahuila.com/2019/05/22/llegan-hasta-acuna-los-enfrentamientos-a-balazos-hay-dos-civiles-muertos/ 
--,Acuña,30/04/2019,0,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/30/abate-policia-presuntos-plagiarios-811689.html https://democratacoahuila.com/2019/04/30/se-registra-nuevo-enfrentamiento-a-balazos-hay-dos-civiles-muertos/ 
Monclova-Frontera,Monclova,25/01/2019,0,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/26/operativo-matan-elemento-grupo-gatem-788569.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/27/policia-abate-civil-armado-788675.html 
Saltillo,Saltillo,27/04/2019,0,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/27/alerta-saltillo-reporta-balacera-colonia-lomalinda-810887.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/27/balacera-saltillo-deja-muertos-pertenecian-grupo-delictivo-810892.html 
--,San Pedro,10/05/2019,0,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/11/enfrentamiento-deja-persona-muerta-814173.html 
--,Hidalgo,03/05/2019,0,"",https://democratacoahuila.com/2019/05/03/balacera-entre-delincuentes-y-policias-en-la-riberena-deja-un-muerto-y-2-heridos/ 
--,Francisco I. Madero,21/07/2019,0,"",https://www.eldiariodecoahuila.com.mx/locales/policiaca/2019/7/22/policias-repelen-ataque-matan-civil-armado-829126.html https://democratacoahuila.com/2019/07/22/se-enfrentan-a-balazos-policias-y-delincuentes-hay-un-muerto/ 
