id,state.name,state.code,name,full_code
214,Chihuahua,08,Chínipas,08020
197,Chiapas,07,Santiago el Pinar,07119
216,Chihuahua,08,Dr. Belisario Domínguez,08022
217,Chihuahua,08,Galeana,08023
218,Chihuahua,08,Santa Isabel,08024
220,Chihuahua,08,Gran Morelos,08026
221,Chihuahua,08,Guachochi,08027
223,Chihuahua,08,Guadalupe y Calvo,08029
224,Chihuahua,08,Guazapares,08030
226,Chihuahua,08,Huejotitán,08033
228,Chihuahua,08,Janos,08035
229,Chihuahua,08,Julimes,08038
231,Chihuahua,08,Madera,08040
232,Chihuahua,08,Maguarichi,08041
234,Chihuahua,08,Matachí,08043
235,Chihuahua,08,Meoqui,08045
237,Chihuahua,08,Namiquipa,08048
238,Chihuahua,08,Nonoava,08049
239,Chihuahua,08,Nuevo Casas Grandes,08050
240,Chihuahua,08,Ojinaga,08052
243,Chihuahua,08,Rosales,08055
244,Chihuahua,08,Rosario,08056
245,Chihuahua,08,San Francisco de Borja,08057
246,Chihuahua,08,San Francisco de Conchos,08058
247,Chihuahua,08,San Francisco del Oro,08059
248,Chihuahua,08,Santa Bárbara,08060
249,Chihuahua,08,Satevó,08061
252,Chihuahua,08,El Tule,08064
253,Chihuahua,08,Urique,08065
254,Chihuahua,08,Uruachi,08066
270,Durango,10,Canatlán,10001
271,Durango,10,Canelas,10002
272,Durango,10,Coneto de Comonfort,10003
273,Durango,10,Cuencamé,10004
278,Durango,10,Guanaceví,10009
279,Durango,10,Indé,10011
281,Durango,10,Mapimí,10013
283,Durango,10,Nazas,10015
285,Durango,10,El Oro,10018
286,Durango,10,Otáez,10019
287,Durango,10,Pánuco de Coronado,10020
288,Durango,10,Peñón Blanco,10021
289,Durango,10,Poanas,10022
291,Durango,10,Rodeo,10024
38,Coahuila,05,Castaños,05006
198,Chihuahua,08,Ahumada,08001
312,Guanajuato,11,Celaya,11007
320,Guanajuato,11,Guanajuato,11015
325,Guanajuato,11,León,11020
296,Durango,10,San Luis del Cordero,10029
297,Durango,10,San Pedro del Gallo,10030
327,Guanajuato,11,Pénjamo,11023
300,Durango,10,Súchil,10033
301,Durango,10,Tamazula,10034
302,Durango,10,Tepehuanes,10035
303,Durango,10,Tlahualilo,10036
330,Guanajuato,11,Salamanca,11027
334,Guanajuato,11,San Francisco del Rincón,11031
304,Durango,10,Topia,10037
336,Guanajuato,11,San Luis de la Paz,11033
306,Durango,10,Nuevo Ideal,10039
340,Guanajuato,11,Silao,11037
309,Guanajuato,11,Apaseo el Alto,11004
310,Guanajuato,11,Apaseo el Grande,11005
311,Guanajuato,11,Atarjea,11006
376,Guerrero,12,Chilapa de Álvarez,12028
383,Guerrero,12,Iguala de la Independencia,12035
313,Guanajuato,11,Manuel Doblado,11008
314,Guanajuato,11,Comonfort,11009
316,Guanajuato,11,Cortazar,11011
317,Guanajuato,11,Cuerámaro,11012
318,Guanajuato,11,Doctor Mora,11013
323,Guanajuato,11,Jaral del Progreso,11018
324,Guanajuato,11,Jerécuaro,11019
326,Guanajuato,11,Moroleón,11021
329,Guanajuato,11,Romita,11026
335,Guanajuato,11,San José Iturbide,11032
338,Guanajuato,11,Santa Cruz de Juventino Rosas,11035
339,Guanajuato,11,Santiago Maravatío,11036
342,Guanajuato,11,Tarimoro,11039
343,Guanajuato,11,Tierra Blanca,11040
346,Guanajuato,11,Victoria,11043
347,Guanajuato,11,Villagrán,11044
348,Guanajuato,11,Xichú,11045
351,Guerrero,12,Ahuacuotzingo,12002
352,Guerrero,12,Ajuchitlán del Progreso,12003
353,Guerrero,12,Alcozauca de Guerrero,12004
354,Guerrero,12,Alpoyeca,12005
355,Guerrero,12,Apaxtla,12006
357,Guerrero,12,Atenango del Río,12008
359,Guerrero,12,Atlixtac,12010
360,Guerrero,12,Atoyac de Álvarez,12011
362,Guerrero,12,Azoyú,12013
363,Guerrero,12,Buenavista de Cuéllar,12015
364,Guerrero,12,Coahuayutla de José María Izazaga,12016
365,Guerrero,12,Cocula,12017
366,Guerrero,12,Copala,12018
367,Guerrero,12,Copalillo,12019
368,Guerrero,12,Copanatoyac,12020
369,Guerrero,12,Coyuca de Benítez,12021
371,Guerrero,12,Cuajinicuilapa,12023
372,Guerrero,12,Cualác,12024
373,Guerrero,12,Cuautepec,12025
378,Guerrero,12,Florencio Villarreal,12030
379,Guerrero,12,General Canuto A. Neri,12031
380,Guerrero,12,General Heliodoro Castillo,12032
382,Guerrero,12,Huitzuco de los Figueroa,12034
384,Guerrero,12,Igualapa,12036
385,Guerrero,12,Ixcateopan de Cuauhtémoc,12037
73,Colima,06,Comala,06003
295,Durango,10,San Juan del Río,10028
2116,Veracruz,30,Tatatila,30156
403,Guerrero,12,Taxco de Alarcón,12055
80,Colima,06,Villa de Álvarez,06010
476,Hidalgo,13,Pachuca de Soto,13048
390,Guerrero,12,Mártir de Cuilapan,12042
391,Guerrero,12,Metlatónoc,12043
392,Guerrero,12,Mochitlán,12044
394,Guerrero,12,Ometepec,12046
395,Guerrero,12,Pedro Ascencio Alquisiras,12047
396,Guerrero,12,Petatlán,12048
397,Guerrero,12,Pilcaya,12049
399,Guerrero,12,Quechultenango,12051
400,Guerrero,12,San Luis Acatlán,12052
402,Guerrero,12,San Miguel Totolapan,12054
404,Guerrero,12,Tecoanapa,12056
406,Guerrero,12,Teloloapan,12058
407,Guerrero,12,Tepecoacuilco de Trujano,12059
408,Guerrero,12,Tetipac,12060
409,Guerrero,12,Tixtla de Guerrero,12061
411,Guerrero,12,Tlacoapa,12063
412,Guerrero,12,Tlalchapa,12064
414,Guerrero,12,Tlapa de Comonfort,12066
415,Guerrero,12,Tlapehuala,12067
416,Guerrero,12,La Unión de Isidoro Montes de Oca,12068
417,Guerrero,12,Xalpatláhuac,12069
418,Guerrero,12,Xochihuehuetlán,12070
419,Guerrero,12,Xochistlahuaca,12071
421,Guerrero,12,Zirándaro,12073
422,Guerrero,12,Zitlala,12074
