Chimalhuacán,519 859,,,
Seguro,,,98 862,19
Inseguro,,,420 997,81
Cuautitlán Izcalli,467 619,,,
Seguro,,,77 578,16.6
Inseguro,,,389 345,83.3
,,,,
Michoacán de Ocampo,,,,
Morelia,509 942,,,
Seguro,,,136 091,26.7
Inseguro,,,373 093,73.2
Uruapan,201 426,,,
Seguro,,,37 248,18.5
Inseguro,,,164 178,81.5
Lázaro Cárdenas,202 835,,,
Seguro,,,75 735,37.3
Inseguro,,,119 206,58.8
,,,,
Morelos,,,,
Cuernavaca,633 124,,,
Seguro,,,113 730,18
Inseguro,,,511 642,80.8
,,,,
Nayarit,,,,
Tepic,326 193,,,
Seguro,,,183 169,56.2
Inseguro,,,142 217,43.6
,,,,
Nuevo León,,,,
Monterrey,1 014 627,,,
Seguro,,,323 769,31.9
Inseguro,,,673 522,66.4
San Pedro Garza García,115 434,,,
Seguro,,,96 289,83.4
Inseguro,,,19 145,16.6
Apodaca,378 405,,,
Seguro,,,200 392,53
Inseguro,,,178 013,47
Guadalupe,604 908,,,
Seguro,,,335 522,55.5
Inseguro,,,267 823,44.3
General Escobedo,282 287,,,
Seguro,,,144 954,51.3
Inseguro,,,129 746,46
San Nicolás de los Garza,411 274,,,
Seguro,,,262 857,63.9
Inseguro,,,148 417,36.1
Santa Catarina,235 052,,,
Seguro,,,125 075,53.2
Inseguro,,,109 360,46.5
,,,,
Oaxaca,,,,
Oaxaca de Juárez,415 378,,,
Seguro,,,99 905,24.1
Inseguro,,,315 473,75.9
,,,,
Puebla,,,,
Heroica Puebla de Zaragoza,1 551 406,,,
Seguro,,,330 658,21.3
Inseguro,,,1 213 044,78.2
,,,,
Querétaro,,,,
Querétaro,706 045,,,
Seguro,,,379 377,53.7
Inseguro,,,326 668,46.3
,,,,
Quintana Roo,,,,
Cancún,604 525,,,
Seguro,,,108 734,18
Inseguro,,,492 662,81.5
,,,,
San Luis Potosí,,,,
San Luis Potosí,769 080,,,
Seguro,,,125 841,16.4
Inseguro,,,643 239,83.6
,,,,
Sinaloa,,,,
