Hermosillo, 552 668,,,
Seguro,,, 100 366,18.2
Inseguro,,, 452 302,81.8
Nogales, 151 127,,,
Seguro,,, 68 700,45.5
Inseguro,,, 82 427,54.5
,,,,
Tabasco,,,,
Villahermosa, 304 945,,,
Seguro,,, 9 887,3.2
Inseguro,,, 294 653,96.6
,,,,
Tamaulipas,,,,
Tampico, 600 190,,,
Seguro,,, 261 230,43.5
Inseguro,,, 323 741,53.9
Reynosa, 414 914,,,
Seguro,,, 43 054,10.4
Inseguro,,, 371 860,89.6
Nuevo Laredo, 259 599,,,
Seguro,,, 68 930,26.6
Inseguro,,, 188 878,72.8
,,,,
Tlaxcala,,,,
Tlaxcala de Xicohténcatl, 496 423,,,
Seguro,,, 227 298,45.8
Inseguro,,, 266 296,53.6
,,,,
Veracruz de Ignacio de la Llave,,,,
Veracruz, 510 268,,,
Seguro,,, 77 581,15.2
Inseguro,,, 429 792,84.2
Coatzacoalcos, 203 734,,,
Seguro,,, 21 476,10.5
Inseguro,,, 182 258,89.5
,,,,
Yucatán,,,,
Mérida, 742 156,,,
Seguro,,, 513 955,69.3
Inseguro,,, 228 201,30.7
,,,,
Zacatecas,,,,
Zacatecas, 178 712,,,
Seguro,,, 23 602,13.2
Inseguro,,, 155 110,86.8
Fresnillo, 83 256,,,
Seguro,,, 9 920,11.9
Inseguro,,, 73 336,88.1
