Estados Unidos Mexicanos,  37 265 504,,,
   Seguro,,, 9 243 883,24.8
   Inseguro,,, 27 900 222,74.9
,,,,
Aguascalientes,,,,
Aguascalientes,  570 671,,,
   Seguro,,,  207 629,36.4
   Inseguro,,,  363 042,63.6
,,,,
Baja California,,,,
Mexicali,  552 640,,,
   Seguro,,,  154 583,28.0
   Inseguro,,,  398 057,72.0
Tijuana, 1 113 196,,,
   Seguro,,,  217 928,19.6
   Inseguro,,,  895 268,80.4
,,,,
Baja California Sur,,,,
La Paz,  204 699,,,
   Seguro,,,  103 460,50.5
   Inseguro,,,  98 224,48.0
Los Cabos1,  125 563,,,
   Seguro,,,  69 721,55.5
   Inseguro,,,  55 493,44.2
,,,,
Campeche,,,,
San Francisco de Campeche,  182 590,,,
   Seguro,,,  94 620,51.8
   Inseguro,,,  84 097,46.1
Ciudad del Carmen,  138 977,,,
   Seguro,,,  44 838,32.3
   Inseguro,,,  94 139,67.7
,,,,
Coahuila de Zaragoza,,,,
Saltillo,  596 738,,,
   Seguro,,,  354 724,59.4
   Inseguro,,,  233 445,39.1
La Laguna2,  783 351,,,
   Seguro,,,  353 679,45.1
   Inseguro,,,  429 672,54.9
Piedras Negras,  106 648,,,
   Seguro,,,  45 922,43.1
   Inseguro,,,  60 726,56.9
,,,,
Colima,,,,
Colima,  208 126,,,
   Seguro,,,  74 616,35.9
   Inseguro,,,  132 626,63.7
Manzanillo,  108 595,,,
   Seguro,,,  37 053,34.1
   Inseguro,,,  71 542,65.9
,,,,
Chiapas,,,,
Tuxtla Gutiérrez,  436 998,,,
   Seguro,,,  105 746,24.2
   Inseguro,,,  331 252,75.8
Tapachula,  168 189,,,
   Seguro,,,  16 124,9.6
   Inseguro,,,  152 065,90.4
,,,,
Chihuahua,,,,
Chihuahua,  638 401,,,
   Seguro,,,  176 973,27.7
   Inseguro,,,  458 822,71.9
Juárez,  979 120,,,
   Seguro,,,  213 742,21.8
   Inseguro,,,  765 378,78.2
,,,,
Ciudad de México,,,,
Norte3, 1 572 430,,,
   Seguro,,,  190 362,12.1
   Inseguro,,, 1 378 712,87.7
Sur4, 1 545 092,,,
   Seguro,,,  396 669,25.7
   Inseguro,,, 1 144 454,74.1
Oriente5, 2 064 820,,,
   Seguro,,,  213 881,10.4
   Inseguro,,, 1 848 895,89.5
Poniente6, 1 757 056,,,
   Seguro,,,  409 582,23.3
   Inseguro,,, 1 326 018,75.5
,,,,
Durango,,,,
Durango,  396 041,,,
   Seguro,,,  235 662,59.5
   Inseguro,,,  158 484,40.0
La Laguna2,  783 351,,,
   Seguro,,,  353 679,45.1
   Inseguro,,,  429 672,54.9
,,,,
Guanajuato,,,,
León de los Aldama, 1 012 650,,,
   Seguro,,,  200 656,19.8
   Inseguro,,,  811 994,80.2
Guanajuato,  86 041,,,
   Seguro,,,  13 016,15.1
   Inseguro,,,  72 573,84.3
,,,,
Guerrero,,,,
Acapulco de Juárez,  512 518,,,
   Seguro,,,  62 177,12.1
   Inseguro,,,  444 690,86.8
Chilpancingo de los Bravo,  138 281,,,
   Seguro,,,  14 091,10.2
   Inseguro,,,  124 190,89.8
Ixtapa-Zihuatanejo,  70 210,,,
   Seguro,,,  14 695,20.9
   Inseguro,,,  55 433,79.0
,,,,
Hidalgo,,,,
Pachuca de Soto,  282 628,,,
   Seguro,,,  106 337,37.6
   Inseguro,,,  176 291,62.4
,,,,
Jalisco,,,,
Guadalajara, 1 256 604,,,
   Seguro,,,  167 227,13.3
   Inseguro,,, 1 082 859,86.2
Tonalá,  333 620,,,
   Seguro,,,  86 080,25.8
   Inseguro,,,  247 540,74.2
Tlajomulco de Zúñiga,  60 767,,,
   Seguro,,,  15 876,26.1
   Inseguro,,,  44 673,73.5
San Pedro Tlaquepaque,  453 166,,,
   Seguro,,,  116 702,25.8
   Inseguro,,,  336 464,74.2
Zapopan,  921 868,,,
   Seguro,,,  299 046,32.4
   Inseguro,,,  622 822,67.6
Puerto Vallarta,  170 517,,,
   Seguro,,,  99 953,58.6
   Inseguro,,,  70 564,41.4
,,,,
Estado de México,,,,
Toluca de Lerdo,  975 175,,,
   Seguro,,,  167 796,17.2
   Inseguro,,,  807 379,82.8
Ecatepec de Morelos, 1 417 813,,,
   Seguro,,,  52 474,3.7
   Inseguro,,, 1 365 339,96.3
Ciudad Nezahualcóyotl,  966 819,,,
   Seguro,,,  109 861,11.4
   Inseguro,,,  856 958,88.6
,,,,
Michoacán de Ocampo,,,,
Morelia,  493 196,,,
   Seguro,,,  97 244,19.7
   Inseguro,,,  393 038,79.7
Uruapan,  194 214,,,
   Seguro,,,  21 476,11.1
   Inseguro,,,  172 738,88.9
Lázaro Cárdenas,  105 090,,,
   Seguro,,,  22 228,21.2
   Inseguro,,,  82 584,78.6
,,,,
Morelos,,,,
Cuernavaca,  613 355,,,
   Seguro,,,  105 732,17.2
   Inseguro,,,  503 157,82.0
,,,,
Nayarit,,,,
Tepic,  306 135,,,
   Seguro,,,  94 032,30.7
   Inseguro,,,  212 103,69.3
,,,,
Nuevo León,,,,
Monterrey,  975 938,,,
   Seguro,,,  184 913,18.9
   Inseguro,,,  777 781,79.7
San Pedro Garza García,  114 002,,,
   Seguro,,,  89 364,78.4
   Inseguro,,,  24 638,21.6
Apodaca,  377 653,,,
   Seguro,,,  133 454,35.3
   Inseguro,,,  234 112,62.0
Guadalupe,  595 166,,,
   Seguro,,,  223 783,37.6
   Inseguro,,,  371 383,62.4
General Escobedo,  260 304,,,
   Seguro,,,  126 860,48.7
   Inseguro,,,  133 444,51.3
San Nicolás de los Garza,  419 267,,,
   Seguro,,,  263 518,62.9
   Inseguro,,,  143 440,34.2
Santa Catarina,  228 176,,,
   Seguro,,,  112 077,49.1
   Inseguro,,,  113 903,49.9
,,,,
Oaxaca,,,,
Oaxaca de Juárez,  412 832,,,
   Seguro,,,  69 675,16.9
   Inseguro,,,  343 157,83.1
,,,,
Puebla,,,,
Heroica Puebla de Zaragoza, 1 522 253,,,
   Seguro,,,  229 325,15.1
   Inseguro,,, 1 292 928,84.9
,,,,
Querétaro,,,,
Querétaro,  673 912,,,
   Seguro,,,  266 141,39.5
   Inseguro,,,  406 185,60.3
,,,,
Quintana Roo,,,,
Cancún,  572 385,,,
   Seguro,,,  36 794,6.4
   Inseguro,,,  531 453,92.8
,,,,
San Luis Potosí,,,,
San Luis Potosí,  732 185,,,
   Seguro,,,  84 460,11.5
   Inseguro,,,  647 725,88.5
,,,,
Sinaloa,,,,
Culiacán Rosales,  511 571,,,
   Seguro,,,  136 537,26.7
   Inseguro,,,  375 034,73.3
Mazatlán,  304 591,,,
   Seguro,,,  122 471,40.2
   Inseguro,,,  180 970,59.4
Los Mochis,  207 941,,,
   Seguro,,,  74 112,35.6
   Inseguro,,,  133 829,64.4
,,,,
Sonora,,,,
Hermosillo,  586 961,,,
   Seguro,,,  146 174,24.9
   Inseguro,,,  440 787,75.1
Nogales,  165 279,,,
   Seguro,,,  55 233,33.4
   Inseguro,,,  110 046,66.6
,,,,
Tabasco,,,,
Villahermosa,  320 804,,,
   Seguro,,,  17 797,5.5
   Inseguro,,,  303 007,94.5
,,,,
Tamaulipas,,,,
Tampico,  604 415,,,
   Seguro,,,  335 042,55.4
   Inseguro,,,  266 635,44.1
Reynosa,  455 447,,,
   Seguro,,,  26 183,5.7
   Inseguro,,,  429 264,94.3
Nuevo Laredo,  287 354,,,
   Seguro,,,  59 271,20.6
   Inseguro,,,  228 083,79.4
,,,,
Tlaxcala,,,,
Tlaxcala de Xicohténcatl,  505 608,,,
   Seguro,,,  184 970,36.6
   Inseguro,,,  320 638,63.4
,,,,
Veracruz de Ignacio de la Llave,,,,
Veracruz,  538 378,,,
   Seguro,,,  130 483,24.2
   Inseguro,,,  407 895,75.8
Coatzacoalcos,  214 448,,,
   Seguro,,,  21 774,10.2
   Inseguro,,,  192 674,89.8
,,,,
Yucatán,,,,
Mérida,  786 500,,,
   Seguro,,,  486 961,61.9
   Inseguro,,,  299 539,38.1
,,,,
Zacatecas,,,,
Zacatecas,  184 907,,,
   Seguro,,,  35 223,19.0
   Inseguro,,,  149 181,80.7
Fresnillo,  86 619,,,
   Seguro,,,  7 075,8.2
   Inseguro,,,  78 691,90.8
